Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
隱私,隱私,隱私,隱私,名詞,普通名詞,一般,*,*,*,True,*,*,1
權,権,ケン,權,接尾辞,名詞的,一般,*,*,*,False,*,*,1
政策,政策,セイサク,政策,名詞,普通名詞,一般,*,*,*,False,*,*,1
服務,服務,フクム,服務,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
自由時報,自由時報,ジユウジホウ,自由時報,名詞,固有名詞,一般,*,*,*,False,自由-時報,自由-時報,1
電子,電子,デンシ,電子,名詞,普通名詞,一般,*,*,*,False,*,*,1
報,報,ホウ,報,接尾辞,名詞的,一般,*,*,*,False,*,*,1
為達,為達,タメタツ,為達,名詞,固有名詞,人名,名,*,*,False,*,*,1
最,最,サイ,最,接頭辞,*,*,*,*,*,False,*,*,1
佳,佳,ケイ,佳,名詞,固有名詞,人名,名,*,*,False,*,*,1
瀏,瀏,リュウ,瀏,名詞,固有名詞,人名,名,*,*,False,*,*,1
覽效,覽效,覽效,覽效,名詞,普通名詞,一般,*,*,*,True,*,*,1
果,果て,ハテ,果,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
建議,建議,ケンギ,建議,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
使用,使用,シヨウ,使用,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
Chrome,Chrome,クローム,Chrome,名詞,固有名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
Firefox,Firefox,ファイアーフォックス,Firefox,名詞,固有名詞,一般,*,*,*,False,*,*,1
或,或る,アル,或,連体詞,*,*,*,*,*,False,*,*,1
Microsoft Edge,Microsoft Edge,マイクロソフトエッジ,Microsoft Edge,名詞,固有名詞,一般,*,*,*,False,*,*,1
的,的,マト,的,名詞,普通名詞,一般,*,*,*,False,*,*,1
瀏,瀏,リュウ,瀏,名詞,固有名詞,人名,名,*,*,False,*,*,1
覽器,覽器,覽器,覽器,名詞,普通名詞,一般,*,*,*,True,*,*,1
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*,1
請,受け,ウケ,請,名詞,普通名詞,一般,*,*,*,False,*,*,1
