Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
バックパック,バックパック,バックパック,バックパック,名詞,普通名詞,一般,*,*,*,False,*,*,1
バッグ,バッグ,バッグ,バッグ,名詞,普通名詞,一般,*,*,*,False,*,*,1
スーツケース,スーツケース,スーツケース,スーツケース,名詞,普通名詞,一般,*,*,*,False,*,*,1
TUMI,TUMI,トゥミ,TUMI,名詞,固有名詞,一般,*,*,*,False,*,*,1
トゥミ,TUMI,トゥミ,トゥミ,名詞,固有名詞,一般,*,*,*,False,*,*,1
公式サイト,公式サイト,コウシキサイト,公式サイト,名詞,普通名詞,一般,*,*,*,False,公式-サイト,公式-サイト,1
ビジネス,ビジネス,ビジネス,ビジネス,名詞,普通名詞,一般,*,*,*,False,*,*,1
バッグ,バッグ,バッグ,バッグ,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
ブリーフケース,ブリーフケース,ブリーフケース,ブリーフケース,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
キャリー,キャリー,キャリー,キャリー,名詞,固有名詞,人名,一般,*,*,False,*,*,1
ケース,ケース,ケース,ケース,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
3,3,サン,3,名詞,数詞,*,*,*,*,False,*,*,1
way,ウエー,ウエー,Way,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
バックパック,バックパック,バックパック,バックパック,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
重要,重要,ジュウヨウ,重要,形状詞,一般,*,*,*,*,False,*,*,1
価格,価格,カカク,価格,名詞,普通名詞,一般,*,*,*,False,*,*,1
改定,改定,カイテイ,改定,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ,1
トゥミ,TUMI,トゥミ,トゥミ,名詞,固有名詞,一般,*,*,*,False,*,*,1
PGA,PGA,ピージーエー,PGA,名詞,固有名詞,一般,*,*,*,False,*,*,1
TOUR,ツアー,ツアー,Tour,名詞,普通名詞,一般,*,*,*,False,*,*,1
LPGA,LPGA,エルピージーエー,LPGA,名詞,固有名詞,一般,*,*,*,False,*,*,1
オフィシャル,オフィシャル,オフィシャル,オフィシャル,形状詞,一般,*,*,*,*,False,*,*,1
ラゲージ,ラゲージ,ラゲージ,ラゲージ,名詞,普通名詞,一般,*,*,*,False,*,*,1
ブランド,ブランド,ブランド,ブランド,名詞,普通名詞,一般,*,*,*,False,*,*,1
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*,1
ゴルフ,ゴルフ,ゴルフ,ゴルフ,名詞,普通名詞,一般,*,*,*,False,*,*,1
アイテム,アイテム,アイテム,アイテム,名詞,普通名詞,一般,*,*,*,False,*,*,1
見る,見る,ミル,見る,動詞,非自立可能,*,*,上一段-マ行,終止形-一般,False,*,*,1
