Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
各種,各種,カクシュ,各種,名詞,普通名詞,一般,*,*,*,False,*,*,1
規約,規約,キヤク,規約,名詞,普通名詞,一般,*,*,*,False,*,*,1
Emma,EMMA,emma,EMMA,名詞,固有名詞,一般,*,*,*,False,*,*,1
Francis,FRANCIS,フランシスコ,FRANCIS,名詞,固有名詞,人名,一般,*,*,False,*,*,1
エマ,エマ,エマ,エマ,名詞,固有名詞,人名,姓,*,*,False,*,*,1
フランシス,フランシス,フランシス,フランシス,名詞,固有名詞,人名,一般,*,*,False,*,*,1
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*,1
オンライン,オンライン,オンライン,オンライン,名詞,普通名詞,一般,*,*,*,False,*,*,1
ストア,ストア,ストア,ストア,名詞,普通名詞,一般,*,*,*,False,*,*,1
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*,1
使い,使い,ツカイ,使い,名詞,普通名詞,一般,*,*,*,False,*,*,1
ブラウザ,ブラウザ,ブラウザ,ブラウザ,名詞,普通名詞,一般,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
JavaScript,JavaScript,ジャバスクリプト,JavaScript,名詞,固有名詞,一般,*,*,*,False,*,*,1
機能,機能,キノウ,機能,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
有効,有効,ユウコウ,有効,形状詞,一般,*,*,*,*,False,*,*,1
なっ,成る,ナッ,なる,動詞,非自立可能,*,*,五段-ラ行,連用形-促音便,False,*,*,1
い,居る,イ,いる,動詞,非自立可能,*,*,上一段-ア行,連用形-一般,False,*,*,1
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*,1
この,此の,コノ,この,連体詞,*,*,*,*,*,False,*,*,1
ウェブサイト,ウェブサイト,ウェブサイト,ウェブサイト,名詞,普通名詞,一般,*,*,*,False,*,*,1
機能,機能,キノウ,機能,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
ご利用,ご利用,ゴリヨウ,ご利用,名詞,普通名詞,一般,*,*,*,False,*,ご-利用,1
さ,為る,サ,する,動詞,非自立可能,*,*,サ行変格,未然形-サ,False,*,*,1
場合,場合,バアイ,場合,名詞,普通名詞,副詞可能,*,*,*,False,*,*,1
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,1
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*,1
使い,使い,ツカイ,使い,名詞,普通名詞,一般,*,*,*,False,*,*,1
ブラウザ,ブラウザ,ブラウザ,ブラウザ,名詞,普通名詞,一般,*,*,*,False,*,*,1
JavaScript,JavaScript,ジャバスクリプト,JavaScript,名詞,固有名詞,一般,*,*,*,False,*,*,1
有効,有効,ユウコウ,有効,形状詞,一般,*,*,*,*,False,*,*,1
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*,1
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*,1
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*,1
