Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
ATOM,Atom,アトム,Atom,名詞,固有名詞,一般,*,*,*,False,*,*,2
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*,2
ストア,ストア,ストア,ストア,名詞,普通名詞,一般,*,*,*,False,*,*,2
コンテンツ,コンテンツ,コンテンツ,コンテンツ,名詞,普通名詞,一般,*,*,*,False,*,*,2
スキップ,スキップ,スキップ,スキップ,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,終止形-一般,False,*,*,2
カート,カート,カート,カート,名詞,普通名詞,一般,*,*,*,False,*,*,2
追加,追加,ツイカ,追加,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
済み,済み,ズミ,済み,接尾辞,名詞的,一般,*,*,*,False,*,*,2
数量,数量,スウリョウ,数量,名詞,普通名詞,一般,*,*,*,False,*,*,2
カート,カート,カート,カート,名詞,普通名詞,一般,*,*,*,False,*,*,2
見る,見る,ミル,見る,動詞,非自立可能,*,*,上一段-マ行,終止形-一般,False,*,*,2
買い物,買い物,カイモノ,買い物,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
続ける,続ける,ツヅケル,続ける,動詞,非自立可能,*,*,下一段-カ行,終止形-一般,False,*,*,2
送信,送信,ソウシン,送信,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
閉じる,閉じる,トジル,閉じる,動詞,一般,*,*,上一段-ザ行,終止形-一般,False,*,*,2
ATOM,atom,アトム,atom,名詞,普通名詞,一般,*,*,*,False,*,*,2
ストア,ストア,ストア,ストア,名詞,普通名詞,一般,*,*,*,False,*,*,2
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ,2
コミュニティ,コミュニティー,コミュニティ,コミュニティ,名詞,普通名詞,一般,*,*,*,False,*,*,2
サポート,サポート,サポート,サポート,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
アプリ,アプリ,アプリ,アプリ,名詞,普通名詞,一般,*,*,*,False,*,*,2
企業情報,企業情報,キギョウジョウホウ,企業情報,名詞,普通名詞,一般,*,*,*,False,企業-情報,企業-情報,2
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
カート,カート,カート,カート,名詞,普通名詞,一般,*,*,*,False,*,*,2
0,0,レイ,0,名詞,数詞,*,*,*,*,False,*,*,2
個,個,コ,個,名詞,普通名詞,一般,*,*,*,False,*,*,2
メニュー,メニュー,メニュー,メニュー,名詞,普通名詞,一般,*,*,*,False,*,*,2
ATOM,atom,アトム,atom,名詞,普通名詞,一般,*,*,*,False,*,*,2
ストア,ストア,ストア,ストア,名詞,普通名詞,一般,*,*,*,False,*,*,2
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ,2
コミュニティ,コミュニティー,コミュニティ,コミュニティ,名詞,普通名詞,一般,*,*,*,False,*,*,2
サポート,サポート,サポート,サポート,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
アプリ,アプリ,アプリ,アプリ,名詞,普通名詞,一般,*,*,*,False,*,*,2
企業情報,企業情報,キギョウジョウホウ,企業情報,名詞,普通名詞,一般,*,*,*,False,企業-情報,企業-情報,2
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,2
概要,概要,ガイヨウ,概要,名詞,普通名詞,一般,*,*,*,False,*,*,2
アトム,アトム,アトム,アトム,名詞,普通名詞,一般,*,*,*,False,*,*,2
テック,テック,テック,テック,名詞,普通名詞,一般,*,*,*,False,*,*,2
株式会社,株式会社,カブシキガイシャ,株式会社,名詞,普通名詞,一般,*,*,*,False,株式-会社,株式-会社,2
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*,2
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*,2
いい,言う,イイ,いう,動詞,一般,*,*,五段-ワア行,連用形-一般,False,*,*,2
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*,2
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,2
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*,2
提供,提供,テイキョウ,提供,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,連体形-一般,False,*,*,2
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
ご利用,ご利用,ゴリヨウ,ご利用,名詞,普通名詞,一般,*,*,*,False,*,ご-利用,2
また,又,マタ,また,接続詞,*,*,*,*,*,False,*,*,2
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*,2
販売,販売,ハンバイ,販売,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,連体形-一般,False,*,*,2
製品,製品,セイヒン,製品,名詞,普通名詞,一般,*,*,*,False,*,*,2
購入,購入,コウニュウ,購入,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,連体形-一般,False,*,*,2
すべて,全て,スベテ,すべて,名詞,普通名詞,副詞可能,*,*,*,False,*,*,2
お客様,御客様,オキャクサマ,お客様,名詞,普通名詞,一般,*,*,*,False,*,お-客-様,2
プライバシー,プライバシー,プライバシー,プライバシー,名詞,普通名詞,一般,*,*,*,False,*,*,2
尊重,尊重,ソンチョウ,尊重,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*,2
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*,2
当,当,トウ,当,接頭辞,*,*,*,*,*,False,*,*,2
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,2
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*,2
当社,当社,トウシャ,当社,名詞,普通名詞,一般,*,*,*,False,*,*,2
収集,収集,シュウシュウ,収集,名詞,普通名詞,サ変可能,*,*,*,False,*,*,2
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,連体形-一般,False,*,*,2
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報,2
種類,種類,シュルイ,種類,名詞,普通名詞,一般,*,*,*,False,*,*,2
その,其の,ソノ,その,連体詞,*,*,*,*,*,False,*,*,2
利用目的,利用目的,リヨウモクテキ,利用目的,名詞,普通名詞,一般,*,*,*,False,利用-目的,利用-目的,2
概要,概要,ガイヨウ,概要,名詞,普通名詞,一般,*,*,*,False,*,*,2
