rank,url,traffic,increase_traffic
1,yahoo.co.jp,216M,+10M
2,youtube.com,207M,+25M
3,ja.wikipedia.org,205M,−1.1M
4,twitter.com,137M,+9.8M
5,amazon.co.jp,123M,+8.7M
6,rakuten.co.jp,119M,+6.2M
7,instagram.com,74M,+13M
8,cookpad.com,48M,+2.1M
9,tenki.jp,43M,+1.2M
10,tabelog.com,41M,+1.4M
11,tiktok.com,41M,+8.7M
12,pixiv.net,38M,+1.7M
13,pornhub.com,38M,+2.6M
14,dmm.co.jp,32M,−27K
15,apple.com,32M,+1.4M
16,mynavi.jp,31M,−362K
17,hotpepper.jp,30M,+299K
18,missav.com,30M,+3.4M
19,kakaku.com,29M,+1.2M
20,gamewith.jp,27M,+1.3M
21,delishkitchen.tv,27M,+4.0M
22,weblio.jp,26M,−1.3M
23,game8.jp,26M,+310K
24,goo.ne.jp,25M,+1.6M
25,kurashiru.com,24M,−581K
26,dmm.com,22M,+1.2M
27,jalan.net,22M,+664K
28,my-best.com,21M,−26K
29,nhk.or.jp,21M,+1.6M
30,ameblo.jp,21M,+1.5M
31,docomo.ne.jp,20M,+370K
32,16personalities.com,19M,+2.2M
33,pinterest.jp,19M,+1.8M
34,weathernews.jp,18M,+1.5M
35,mercari.com,18M,+1.2M
36,nikkei.com,17M,+155K
37,uta-net.com,16M,+755K
38,carsensor.net,16M,+644K
39,play.google.com,16M,+1.7M
40,eroterest.net,14M,−222K
41,oricon.co.jp,14M,+580K
42,mhlw.go.jp,13M,+651K
43,altema.jp,13M,+962K
44,japanpost.jp,13M,−208K
45,note.com,13M,+1.6M
46,line.me,13M,+688K
47,microsoft.com,12M,−286K
48,navitime.co.jp,12M,+362K
49,indeed.com,12M,+154K
50,retty.me,12M,−53K
51,goo-net.com,12M,+343K
52,oceans-nadia.com,12M,+391K
53,kotobank.jp,12M,−1.5M
54,macaro-ni.jp,11M,+373K
55,sirogohan.com,11M,+782K
56,asahi.com,11M,+1.0M
57,eiga.com,11M,+1.2M
58,cosme.net,9.8M,+200K
59,toyokeizai.net,9.8M,+1.4M
60,xvideos.com,9.7M,+43K
61,jorudan.co.jp,9.6M,−180K
62,prtimes.jp,9.5M,−749K
63,facebook.com,9.4M,+737K
64,spankbang.com,9.2M,+509K
65,nicovideo.jp,9.1M,+122K
66,nikkansports.com,9.1M,+1.4M
67,baitoru.com,9.0M,+877K
68,mamastar.jp,8.5M,+474K
69,p-world.co.jp,8.3M,+555K
70,gnavi.co.jp,8.3M,+63K
71,ajinomoto.co.jp,8.2M,+414K
72,minkabu.jp,8.1M,+565K
73,toyota.jp,8.1M,+106K
74,nintendo.com,7.9M,+924K
75,itmedia.co.jp,7.8M,+711K
76,nta.go.jp,7.8M,−2.6M
77,1geki.jp,7.8M,+909K
78,tbs.co.jp,7.6M,+571K
79,biccamera.com,7.6M,+101K
80,cmoa.jp,7.5M,+473K
81,suumo.jp,7.3M,+169K
82,impress.co.jp,7.2M,−70K
83,ikyu.com,7.2M,−333K
84,benesse.ne.jp,7.1M,+252K
85,kabutan.jp,7.1M,+1.8M
86,biglobe.ne.jp,7.1M,−210K
87,abema.tv,7.1M,+405K
88,rakuten-sec.co.jp,7.1M,−268K
89,zozo.jp,7.0M,+45K
90,kikkoman.co.jp,7.0M,+406K
91,alc.co.jp,6.9M,+98K
92,bunshun.jp,6.8M,+1.1M
93,yomiuri.co.jp,6.7M,+1.0M
94,kamigame.jp,6.7M,+222K
95,mechacomic.jp,6.5M,+501K
96,homes.co.jp,6.5M,+344K
97,blog.jp,6.4M,+123K
98,hochi.news,6.4M,+236K
99,??????.com/,6.4M,+1.3M
100,sbisec.co.jp,6.4M,+204K
