surface,normalized,dictionary,POS
儿童,儿童,儿童,n
隐私,隐私,隐私,b
保护,保护,保护,v
政策,政策,政策,n
 , , ,x
儿童,儿童,儿童,n
隐私,隐私,隐私,b
保护,保护,保护,v
政策,政策,政策,n
 , , ,x
更新,更新,更新,d
日期,日期,日期,t
 , , ,x
2020,2020,2020,m
 , , ,x
年,年,年,m
 , , ,x
8,8,8,x
 , , ,x
月,月,月,m
 , , ,x
7,7,7,x
 , , ,x
日,日,日,m
 , , ,x
生效,生效,生效,n
日期,日期,日期,t
 , , ,x
2020,2020,2020,m
 , , ,x
年,年,年,m
 , , ,x
8,8,8,x
 , , ,x
月,月,月,m
 , , ,x
7,7,7,x
 , , ,x
日,日,日,m
 , , ,x
杭州,杭州,杭州,ns
游卡,游卡,游卡,nr
网络,网络,网络,n
技术,技术,技术,n
有限公司,有限公司,有限公司,n
统称,统称,统称,v
杭州,杭州,杭州,ns
游卡,游卡,游卡,n
深知,深知,深知,v
儿童,儿童,儿童,n
指,指,指,n
未满,未满,未满,v
十四周岁,十四周岁,十四周岁,m
未成年人,未成年人,未成年人,l
下同,下同,下同,v
个人信息,个人信息,个人信息,n
隐私,隐私,隐私,b
重要性,重要性,重要性,n
游卡,游卡,游卡,n
通行证,通行证,通行证,n
用户服务,用户服务,用户服务,n
协议,协议,协议,n
用户,用户,用户,n
协议,协议,协议,n
用户,用户,用户,n
隐私,隐私,隐私,b
政策,政策,政策,n
外,外,外,f
还,还,还,d
儿童,儿童,儿童,n
隐私,隐私,隐私,b
保护,保护,保护,v
政策,政策,政策,n
政策,政策,政策,n
进一步,进一步,进一步,d
收集,收集,收集,v
存储,存储,存储,j
共享,共享,共享,v
儿童,儿童,儿童,n
指,指,指,n
未满,未满,未满,v
十四周岁,十四周岁,十四周岁,m
未成年人,未成年人,未成年人,l
个人信息,个人信息,个人信息,n
情况,情况,情况,n
权利义务,权利义务,权利义务,n
各项,各项,各项,r
产品,产品,产品,n
服务,服务,服务,vn
统称,统称,统称,v
服务,服务,服务,vn
前,前,前,f
请,请,请,v
儿童,儿童,儿童,n
儿童,儿童,儿童,n
父母,父母,父母,n
监护人,监护人,监护人,n
统称,统称,统称,v
监护人,监护人,监护人,n
务必,务必,务必,d
仔细阅读,仔细阅读,仔细阅读,n
透彻,透彻,透彻,v
理解,理解,理解,v
政策,政策,政策,n
确认,确认,确认,v
理解,理解,理解,v
同意,同意,同意,d
条款,条款,条款,n
后,后,后,f
再,再,再,d
 , , ,x
提示,提示,提示,v
 , , ,x
 , , ,x
14,14,14,m
 , , ,x
周岁,周岁,周岁,m
儿童,儿童,儿童,n
监护人,监护人,监护人,n
仔细阅读,仔细阅读,仔细阅读,n
政策,政策,政策,n
征得,征得,征得,v
监护人,监护人,监护人,n
同意,同意,同意,d
后,后,后,f
产品,产品,产品,n
服务,服务,服务,vn
提供,提供,提供,v
信息,信息,信息,n
产品,产品,产品,n
服务,服务,服务,vn
提交,提交,提交,v
个人信息,个人信息,个人信息,n
都,都,都,d
监护人,监护人,监护人,n
许可,许可,许可,nr
监护人,监护人,监护人,n
均,均,均,d
同意,同意,同意,d
政策,政策,政策,n
收集,收集,收集,v
储存,储存,储存,n
分享,分享,分享,v
个人信息,个人信息,个人信息,n
 , , ,x
目录,目录,目录,n
 , , ,x
收集,收集,收集,v
儿童,儿童,儿童,n
个人信息,个人信息,个人信息,n
 , , ,x
二,二,二,m
