surface,normalized,dictionary,POS
CSA,csa,CSA,eng
 , , ,x
C,c,C,x
-,-,-,x
STAR,star,STAR,eng
云,云,云,ns
计算,计算,计算,v
评估,评估,评估,vn
认证,认证,认证,v
 , , ,x
返回,返回,返回,v
 , , ,x
CSA,csa,CSA,eng
 , , ,x
C,c,C,x
-,-,-,x
STAR,star,STAR,eng
云,云,云,ns
计算,计算,计算,v
评估,评估,评估,vn
认证,认证,认证,v
 , , ,x
2017,2017,2017,m
年,年,年,m
1,1,1,m
月,月,月,m
3,3,3,m
日,日,日,m
115,115,115,m
科技,科技,科技,n
云,云,云,ns
联盟,联盟,联盟,j
CSAC,csac,CSAC,eng
-,-,-,x
STAR,star,STAR,eng
云,云,云,ns
国际,国际,国际,n
权威认证,权威认证,权威认证,n
体现,体现,体现,v
国际,国际,国际,n
权威机构,权威机构,权威机构,n
115,115,115,m
科技,科技,科技,n
信息安全,信息安全,信息安全,nz
管理体系,管理体系,管理体系,n
能力,能力,能力,n
认可,认可,认可,v
标志,标志,标志,n
115,115,115,m
科技,科技,科技,n
信息安全,信息安全,信息安全,nz
管理,管理,管理,vn
建设,建设,建设,vn
合规性,合规性,合规性,b
高标准,高标准,高标准,n
更进一步,更进一步,更进一步,l
 , , ,x
云,云,云,ns
联盟,联盟,联盟,j
CSA,csa,CSA,eng
2009,2009,2009,m
年,年,年,m
RSA,rsa,RSA,eng
大会,大会,大会,n
上,上,上,f
成立,成立,成立,v
一家,一家,一家,m
非盈利性,非盈利性,非盈利性,n
组织,组织,组织,v
成立,成立,成立,v
CSA,csa,CSA,eng
业界,业界,业界,n
认可,认可,认可,v
会员,会员,会员,n
涵盖,涵盖,涵盖,v
国际,国际,国际,n
领先,领先,领先,n
电信,电信,电信,n
运营商,运营商,运营商,n
IT,it,IT,eng
网络设备,网络设备,网络设备,n
厂商,厂商,厂商,n
网络安全,网络安全,网络安全,nz
厂商,厂商,厂商,n
云,云,云,ns
计算,计算,计算,v
提供商,提供商,提供商,n
云,云,云,n
计算,计算,计算,v
用户,用户,用户,n
云,云,云,ns
联盟,联盟,联盟,j
云,云,云,ns
计算,计算,计算,v
和云,和云,和云,nr
产业界,产业界,产业界,n
最为,最为,最为,d
活跃,活跃,活跃,vn
研究,研究,研究,vn
推动,推动,推动,v
力量,力量,力量,n
 , , ,x
国际,国际,国际,n
公认,公认,公认,v
云,云,云,n
服务商,服务商,服务商,n
资质,资质,资质,n
C,c,C,x
-,-,-,x
STAR,star,STAR,eng
认证,认证,认证,v
信息安全,信息安全,信息安全,nz
管理体系,管理体系,管理体系,n
ISO,iso,ISO,eng
/,/,/,x
IEC27001,iec27001,IEC27001,eng
增强,增强,增强,v
版本,版本,版本,n
云,云,云,ns
控制,控制,控制,v
矩阵,矩阵,矩阵,n
(,(,(,x
Cloud,cloud,Cloud,eng
 , , ,x
Control,control,Control,eng
 , , ,x
Matrix,matrix,Matrix,eng
),),),x
成熟度,成熟度,成熟度,n
等级,等级,等级,b
评价,评价,评价,n
模型,模型,模型,n
相关,相关,相关,v
法律法规,法律法规,法律法规,n
标准,标准,标准,n
云,云,云,ns
计算,计算,计算,v
服务,服务,服务,vn
全方位,全方位,全方位,m
评价,评价,评价,n
 , , ,x
云,云,云,ns
时代,时代,时代,n
到来,到来,到来,d
生活,生活,生活,vn
商业模式,商业模式,商业模式,n
带来,带来,带来,v
改变,改变,改变,v
安全事件,安全事件,安全事件,nz
呈现,呈现,呈现,v
指数,指数,指数,n
级,级,级,q
增长,增长,增长,v
若干,若干,若干,m
企业,企业,企业,n
遭遇,遭遇,遭遇,n
危机,危机,危机,n
损失惨重,损失惨重,损失惨重,i
企业,企业,企业,n
具备,具备,具备,v
完善,完善,完善,v
管理体系,管理体系,管理体系,n
 , , ,x
基于,基于,基于,p
C,c,C,eng
-,-,-,x
STAR,star,STAR,eng
云,云,云,ns
厂商,厂商,厂商,n
提出,提出,提出,v
更,更,更,d
高,高,高,a
云,云,云,ns
厂商,厂商,厂商,n
拥有,拥有,拥有,v
系统,系统,系统,n
云,云,云,n
体系,体系,体系,n
C,c,C,x
-,-,-,x
STAR,star,STAR,eng
云,云,云,ns
评估,评估,评估,vn
管控,管控,管控,vn
极为,极为,极为,d
评估,评估,评估,vn
过程,过程,过程,n
采用,采用,采用,v
国际,国际,国际,n
先进,先进,先进,a
成熟度,成熟度,成熟度,n
等级,等级,等级,b
评价,评价,评价,n
模型,模型,模型,n
涵盖,涵盖,涵盖,v
接口,接口,接口,v
审计,审计,审计,v
保证,保证,保证,v
合规性,合规性,合规性,b
业务,业务,业务,n
连续性,连续性,连续性,n
管理,管理,管理,vn
操作,操作,操作,v
弹性,弹性,弹性,n
变更,变更,变更,v
控制,控制,控制,v
配置管理,配置管理,配置管理,n
数据安全,数据安全,数据安全,n
信息,信息,信息,n
生命周期,生命周期,生命周期,n
管理,管理,管理,vn
加密,加密,加密,ns
密钥,密钥,密钥,n
管理,管理,管理,vn
治理,治理,治理,v
风险管理,风险管理,风险管理,n
身份,身份,身份,n
识别,识别,识别,v
访问,访问,访问,v
管理,管理,管理,vn
基础设施,基础设施,基础设施,n
虚拟化,虚拟化,虚拟化,n
安全事件,安全事件,安全事件,nz
管理,管理,管理,vn
供应链,供应链,供应链,n
管理,管理,管理,vn
威胁,威胁,威胁,vn
脆弱性,脆弱性,脆弱性,n
管理,管理,管理,vn
16,16,16,m
控制,控制,控制,v
域,域,域,n
全方位,全方位,全方位,m
评估,评估,评估,vn
 , , ,x
企业,企业,企业,n
C,c,C,x
-,-,-,x
STAR,star,STAR,eng
评估,评估,评估,vn
CSA,csa,CSA,eng
颁发,颁发,颁发,v
C,c,C,eng
-,-,-,x
STAR,star,STAR,eng
云,云,云,ns
证书,证书,证书,n
CSA,csa,CSA,eng
官网,官网,官网,n
证书,证书,证书,n
注册,注册,注册,v
国际,国际,国际,n
认可,认可,认可,v
获取,获取,获取,v
云,云,云,ns
管理,管理,管理,vn
成熟度,成熟度,成熟度,n
报告,报告,报告,n
企业,企业,企业,n
云,云,云,ns
评估,评估,评估,vn
更,更,更,d
提高,提高,提高,v
云,云,云,ns
管理水平,管理水平,管理水平,n
减少,减少,减少,v
潜在,潜在,潜在,t
风险,风险,风险,n
隐患,隐患,隐患,n
保障,保障,保障,v
业务,业务,业务,n
持续,持续,持续,vd
紧急,紧急,紧急,a
恢复,恢复,恢复,v
更好,更好,更好,d
顾客,顾客,顾客,nr
云,云,云,n
证明,证明,证明,n
云,云,云,ns
水平,水平,水平,n
领先,领先,领先,n
于云,于云,于云,nr
服务提供者,服务提供者,服务提供者,n
行列,行列,行列,n
领域,领域,领域,n
毋庸置疑,毋庸置疑,毋庸置疑,l
先驱者,先驱者,先驱者,n
 , , ,x
信息安全,信息安全,信息安全,nz
企业,企业,企业,n
最,最,最,d
关心,关心,关心,n
面向,面向,面向,n
群体,群体,群体,n
组织,组织,组织,v
管理,管理,管理,vn
协作,协作,协作,vn
SaaS,saas,SaaS,eng
平台,平台,平台,n
115,115,115,m
管理,管理,管理,vn
用户,用户,用户,n
撑起,撑起,撑起,v
保护伞,保护伞,保护伞,n
管理,管理,管理,vn
上,上,上,ns
115,115,115,m
科技,科技,科技,n
CSA,csa,CSA,eng
云,云,云,ns
指南,指南,指南,n
建设,建设,建设,vn
制定,制定,制定,v
信息安全,信息安全,信息安全,nz
管理,管理,管理,vn
规范,规范,规范,n
人员,人员,人员,n
开发,开发,开发,v
账号,账号,账号,n
管理,管理,管理,vn
运维,运维,运维,n
事件,事件,事件,n
审计,审计,审计,v
多方面,多方面,多方面,m
严格要求,严格要求,严格要求,l
复核,复核,复核,v
改进,改进,改进,v
在技术上,在技术上,在技术上,l
115,115,115,m
管理,管理,管理,vn
