surface,normalized,dictionary,POS
Term,term,Term,eng
 , , ,x
B612,b612,B612,eng
 , , ,x
咔叽,咔叽,咔叽,o
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
更新,更新,更新,d
日期,日期,日期,t
2024,2024,2024,m
年,年,年,m
3,3,3,m
月,月,月,m
5,5,5,m
日,日,日,m
2024,2024,2024,m
年,年,年,m
3,3,3,m
月,月,月,m
5,5,5,m
日,日,日,m
正式,正式,正式,ad
生效,生效,生效,n
 , , ,x
导言,导言,导言,n
 , , ,x
B612,b612,B612,eng
咔叽,咔叽,咔叽,o
 , , ,x
亿,亿,亿,m
睿科,睿科,睿科,nrt
信息技术,信息技术,信息技术,n
北京,北京,北京,ns
有限公司,有限公司,有限公司,n
(,(,(,x
简称,简称,简称,v
),),),x
 , , ,x
非常重视,非常重视,非常重视,l
保护,保护,保护,v
个人信息,个人信息,个人信息,n
隐私,隐私,隐私,b
产品,产品,产品,n
服务,服务,服务,vn
前,前,前,f
请,请,请,v
务必,务必,务必,d
仔细阅读,仔细阅读,仔细阅读,n
B612,b612,B612,eng
咔叽,咔叽,咔叽,o
隐私,隐私,隐私,b
政策,政策,政策,n
简称,简称,简称,v
政策,政策,政策,n
 , , ,x
未满,未满,未满,v
18,18,18,m
周岁,周岁,周岁,m
未成年人,未成年人,未成年人,l
请,请,请,v
务必,务必,务必,d
监护人,监护人,监护人,n
陪同,陪同,陪同,v
下,下,下,f
阅读,阅读,阅读,v
政策,政策,政策,n
确保,确保,确保,v
已,已,已,d
征得,征得,征得,v
监护人,监护人,监护人,n
同意,同意,同意,d
后,后,后,f
再,再,再,d
服务,服务,服务,vn
提供,提供,提供,v
个人信息,个人信息,个人信息,n
 , , ,x
请,请,请,v
服务,服务,服务,vn
前,前,前,f
务必,务必,务必,d
仔细阅读,仔细阅读,仔细阅读,n
隐私,隐私,隐私,b
政策,政策,政策,n
监护人,监护人,监护人,n
确认,确认,确认,v
理解,理解,理解,v
同意,同意,同意,d
后,后,后,f
产品,产品,产品,n
服务,服务,服务,vn
 , , ,x
敏感,敏感,敏感,a
信息,信息,信息,n
相关,相关,相关,v
内容,内容,内容,n
加粗,加粗,加粗,nr
形式,形式,形式,n
提示,提示,提示,v
请,请,请,v
重点,重点,重点,n
阅读,阅读,阅读,v
 , , ,x
理解,理解,理解,v
同意,同意,同意,d
后,后,后,f
隐私,隐私,隐私,b
政策,政策,政策,n
收集,收集,收集,v
储存,储存,储存,n
特定,特定,特定,d
情形,情形,情形,n
下,下,下,f
分享,分享,分享,v
转让,转让,转让,v
相关,相关,相关,v
信息,信息,信息,n
 , , ,x
政策,政策,政策,n
以下内容,以下内容,以下内容,l
 , , ,x
收集,收集,收集,v
信息,信息,信息,n
信息,信息,信息,n
 , , ,x
二,二,二,m
Cookie,cookie,Cookie,eng
同类,同类,同类,n
技术,技术,技术,n
 , , ,x
三,三,三,m
共享,共享,共享,v
转让,转让,转让,v
公开,公开,公开,ad
披露,披露,披露,v
个人信息,个人信息,个人信息,n
 , , ,x
四,四,四,m
个人信息,个人信息,个人信息,n
存储,存储,存储,j
保护,保护,保护,v
 , , ,x
五,五,五,m
管理,管理,管理,vn
个人信息,个人信息,个人信息,n
权利,权利,权利,n
 , , ,x
六,六,六,m
未成年人,未成年人,未成年人,l
保护,保护,保护,v
 , , ,x
七,七,七,m
政策,政策,政策,n
更新,更新,更新,d
 , , ,x
八,八,八,m
适用法律,适用法律,适用法律,l
管辖,管辖,管辖,v
 , , ,x
九,九,九,m
 , , ,x
十,十,十,m
附录,附录,附录,v
-,-,-,x
权限,权限,权限,n
申请,申请,申请,v
目的,目的,目的,n
业务,业务,业务,n
场景,场景,场景,n
 , , ,x
收集,收集,收集,v
信息,信息,信息,n
信息,信息,信息,n
 , , ,x
1.,1.,1.,m
 , , ,x
依据,依据,依据,p
法律法规,法律法规,法律法规,n
遵循,遵循,遵循,v
正当,正当,正当,a
合法,合法,合法,n
原则,原则,原则,n
收集,收集,收集,v
服务,服务,服务,vn
过程,过程,过程,n
中,中,中,f
主动,主动,主动,b
提供,提供,提供,v
服务,服务,服务,vn
个人信息,个人信息,个人信息,n
欲,欲,欲,d
个人信息,个人信息,个人信息,n
用于,用于,用于,v
隐私,隐私,隐私,b
政策,政策,政策,n
未,未,未,d
载明,载明,载明,v
用途,用途,用途,n
基于,基于,基于,p
特定,特定,特定,d
目的,目的,目的,n
收集,收集,收集,v
而来,而来,而来,t
信息,信息,信息,n
用于,用于,用于,v
目的,目的,目的,n
会,会,会,v
方式,方式,方式,n
告知,告知,告知,v
前,前,前,f
再次,再次,再次,d
征得,征得,征得,v
同意,同意,同意,d
 , , ,x
2.,2.,2.,m
 , , ,x
情况,情况,情况,n
下,下,下,f
会,会,会,v
场景,场景,场景,n
收集,收集,收集,v
个人信息,个人信息,个人信息,n
 , , ,x
2.1,2.1,2.1,m
 , , ,x
拍照,拍照,拍照,v
摄影,摄影,摄影,n
美颜,美颜,美颜,nr
滤镜,滤镜,滤镜,nz
 , , ,x
业务,业务,业务,n
功能,功能,功能,n
/,/,/,x
服务,服务,服务,vn
 , , ,x
拍照,拍照,拍照,v
摄影,摄影,摄影,n
美颜,美颜,美颜,nr
滤镜,滤镜,滤镜,nz
核心,核心,核心,n
业务,业务,业务,n
功能,功能,功能,n
功能,功能,功能,n
时,时,时,n
 , , ,x
获取,获取,获取,v
相机,相机,相机,d
相册,相册,相册,v
麦克风,麦克风,麦克风,nr
权限,权限,权限,n
权限,权限,权限,n
敏感,敏感,敏感,a
权限,权限,权限,n
 , , ,x
信息,信息,信息,n
业务,业务,业务,n
功能,功能,功能,n
 , , ,x
信息,信息,信息,n
 , , ,x
启动,启动,启动,vn
弹窗,弹窗,弹窗,n
处,处,处,n
选择,选择,选择,v
点击,点击,点击,v
同意,同意,同意,d
/,/,/,x
开启,开启,开启,v
明示,明示,明示,v
同意,同意,同意,d
后,后,后,f
访问,访问,访问,v
该项,该项,该项,r
个人信息,个人信息,个人信息,n
拒绝,拒绝,拒绝,v
提供,提供,提供,v
会,会,会,v
使,使,使,v
功能,功能,功能,n
不,不,不,d
影响,影响,影响,vn
功能,功能,功能,n
服务,服务,服务,vn
 , , ,x
2.2,2.2,2.2,m
 , , ,x
登录,登录,登录,v
功能,功能,功能,n
 , , ,x
1,1,1,m
B612,b612,B612,eng
咔叽,咔叽,咔叽,o
相关,相关,相关,v
服务,服务,服务,vn
时,时,时,ng
设置,设置,设置,vn
B612,b612,B612,eng
咔叽,咔叽,咔叽,o
帐号,帐号,帐号,n
名字,名字,名字,n
 , , ,x
还,还,还,d
提供,提供,提供,v
手机号码,手机号码,手机号码,n
验证码,验证码,验证码,n
匹配,匹配,匹配,v
身份验证,身份验证,身份验证,n
 , , ,x
收集,收集,收集,v
信息,信息,信息,n
用于,用于,用于,v
提供,提供,提供,v
帐号,帐号,帐号,n
登录,登录,登录,v
服务,服务,服务,vn
保障,保障,保障,v
帐号,帐号,帐号,n
防范,防范,防范,v
风险,风险,风险,n
请,请,请,v
知悉,知悉,知悉,v
手机号码,手机号码,手机号码,n
验证码,验证码,验证码,n
匹配,匹配,匹配,v
通信,通信,通信,j
信息,信息,信息,n
请,请,请,v
谨慎,谨慎,谨慎,a
再,再,再,d
提供,提供,提供,v
 , , ,x
仅,仅,仅,d
拍摄,拍摄,拍摄,v
照片,照片,照片,n
视频,视频,视频,n
美颜,美颜,美颜,nr
基本功能,基本功能,基本功能,n
服务,服务,服务,vn
无需,无需,无需,v
设置,设置,设置,vn
帐号,帐号,帐号,n
提供,提供,提供,v
信息,信息,信息,n
 , , ,x
2,2,2,x
 , , ,x
第三方,第三方,第三方,m
平台,平台,平台,n
帐号,帐号,帐号,n
包括,包括,包括,v
微信,微信,微信,vn
/,/,/,x
QQ,qq,QQ,eng
/,/,/,x
微,微,微,a
博,博,博,n
帐号,帐号,帐号,n
登录,登录,登录,v
第三方,第三方,第三方,m
平台,平台,平台,n
帐号,帐号,帐号,n
登录,登录,登录,v
授权,授权,授权,v
获取,获取,获取,v
第三方,第三方,第三方,m
帐号,帐号,帐号,n
下,下,下,f
相关,相关,相关,v
信息,信息,信息,n
包括,包括,包括,v
用户名,用户名,用户名,n
昵称,昵称,昵称,n
授权,授权,授权,v
内容,内容,内容,n
为准,为准,为准,v
身份验证,身份验证,身份验证,n
信息,信息,信息,n
敏感,敏感,敏感,a
信息,信息,信息,n
 , , ,x
拒绝,拒绝,拒绝,v
授权,授权,授权,v
此类,此类,此类,r
信息,信息,信息,n
第三方,第三方,第三方,m
平台,平台,平台,n
帐号,帐号,帐号,n
登录,登录,登录,v
平台,平台,平台,n
不,不,不,d
影响,影响,影响,vn
提供,提供,提供,v
功能,功能,功能,n
服务,服务,服务,vn
 , , ,x
2.3,2.3,2.3,m
 , , ,x
贴纸,贴纸,贴纸,v
 , , ,x
显示,显示,显示,v
定位,定位,定位,n
信息,信息,信息,n
贴纸,贴纸,贴纸,v
时,时,时,n
会,会,会,v
请求,请求,请求,v
授权,授权,授权,v
地理位置,地理位置,地理位置,n
敏感,敏感,敏感,a
权限,权限,权限,n
包括,包括,包括,v
经纬度,经纬度,经纬度,n
信息网络,信息网络,信息网络,n
位置,位置,位置,v
IP地址,ip地址,IP地址,n
粗略,粗略,粗略,n
位置,位置,位置,v
敏感,敏感,敏感,a
信息,信息,信息,n
 , , ,x
还,还,还,d
B612,b612,B612,eng
咔叽,咔叽,咔叽,o
设置,设置,设置,vn
-,-,-,x
拍摄,拍摄,拍摄,v
-,-,-,x
位置,位置,位置,v
信息,信息,信息,n
开启,开启,开启,v
位置,位置,位置,v
信息,信息,信息,n
权限,权限,权限,n
授权,授权,授权,v
精确,精确,精确,a
位置,位置,位置,v
信息,信息,信息,n
精确,精确,精确,a
位置,位置,位置,v
信息,信息,信息,n
敏感,敏感,敏感,a
信息,信息,信息,n
精确,精确,精确,a
位置,位置,位置,v
信息,信息,信息,n
设置,设置,设置,vn
默认,默认,默认,v
关闭,关闭,关闭,v
状态,状态,状态,n
不,不,不,d
授权,授权,授权,v
收集,收集,收集,v
精确,精确,精确,a
位置,位置,位置,v
信息,信息,信息,n
影响,影响,影响,vn
功能,功能,功能,n
服务,服务,服务,vn
 , , ,x
2.4,2.4,2.4,m
 , , ,x
写真,写真,写真,v
 , , ,x
功能,功能,功能,n
 , , ,x
 , , ,x
B612,b612,B612,eng
 , , ,x
咔叽,咔叽,咔叽,o
定制,定制,定制,v
头像,头像,头像,n
韩系,韩系,韩系,nr
写真,写真,写真,v
宝宝,宝宝,宝宝,nr
写真,写真,写真,v
玫瑰,玫瑰,玫瑰,n
写真,写真,写真,v
 , , ,x
功能,功能,功能,n
时,时,时,ng
征得,征得,征得,v
单独,单独,单独,d
授权,授权,授权,v
同意,同意,同意,d
情况,情况,情况,n
下,下,下,f
会,会,会,v
获取,获取,获取,v
相机,相机,相机,d
相册,相册,相册,v
权限,权限,权限,n
上传,上传,上传,v
原始,原始,原始,v
图像,图像,图像,n
信息,信息,信息,n
特效,特效,特效,a
类,类,类,q
信息,信息,信息,n
提供,提供,提供,v
服务,服务,服务,vn
收集,收集,收集,v
信息,信息,信息,n
确保您,确保您,确保您,l
信息安全,信息安全,信息安全,nz
会,会,会,v
法律法规,法律法规,法律法规,n
收集,收集,收集,v
传输,传输,传输,vn
存储,存储,存储,j
该类,该类,该类,r
信息,信息,信息,n
过程,过程,过程,n
中,中,中,f
加密,加密,加密,ns
 , , ,x
B612,b612,B612,eng
咔叽,咔叽,咔叽,o
仅,仅,仅,d
提供,提供,提供,v
定制,定制,定制,v
头像,头像,头像,n
韩系,韩系,韩系,nr
写真,写真,写真,v
宝宝,宝宝,宝宝,nr
写真,写真,写真,v
玫瑰,玫瑰,玫瑰,n
写真,写真,写真,v
功能,功能,功能,n
图像,图像,图像,n
信息处理,信息处理,信息处理,n
服务,服务,服务,vn
提取,提取,提取,v
识别,识别,识别,v
信息,信息,信息,n
用于,用于,用于,v
用途,用途,用途,n
服务,服务,服务,vn
后,后,后,f
系统,系统,系统,n
自动,自动,自动,vn
删除,删除,删除,v
信息,信息,信息,n
不予,不予,不予,v
留存,留存,留存,v
 , , ,x
咔叽,咔叽,咔叽,o
会员,会员,会员,n
选择,选择,选择,v
 , , ,x
漫画,漫画,漫画,n
特效,特效,特效,a
功能,功能,功能,n
时,时,时,n
会,会,会,v
获取,获取,获取,v
相机,相机,相机,d
相册,相册,相册,v
权限,权限,权限,n
上传,上传,上传,v
原始,原始,原始,v
图像,图像,图像,n
信息,信息,信息,n
特效,特效,特效,a
类,类,类,q
信息,信息,信息,n
提供,提供,提供,v
服务,服务,服务,vn
收集,收集,收集,v
信息,信息,信息,n
确保您,确保您,确保您,l
信息安全,信息安全,信息安全,nz
会,会,会,v
法律法规,法律法规,法律法规,n
收集,收集,收集,v
传输,传输,传输,vn
存储,存储,存储,j
该类,该类,该类,r
信息,信息,信息,n
