surface,normalized,dictionary,POS
Ogcloud,ogcloud,Ogcloud,eng
用户,用户,用户,n
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
广东,广东,广东,ns
天耘,天耘,天耘,nr
科技,科技,科技,n
有限公司,有限公司,有限公司,n
简称,简称,简称,v
Ogcloud,ogcloud,Ogcloud,eng
深知,深知,深知,v
用户,用户,用户,n
信息,信息,信息,n
重要性,重要性,重要性,n
会,会,会,v
尽全力,尽全力,尽全力,l
保护,保护,保护,v
用户,用户,用户,n
信息安全,信息安全,信息安全,nz
可靠,可靠,可靠,v
致力于,致力于,致力于,n
信任,信任,信任,n
恪守,恪守,恪守,v
原则,原则,原则,n
保护,保护,保护,v
用户,用户,用户,n
信息,信息,信息,n
权责,权责,权责,n
原则,原则,原则,n
目的,目的,目的,n
原则,原则,原则,n
选择,选择,选择,v
同意,同意,同意,d
原则,原则,原则,n
最少,最少,最少,d
够用,够用,够用,v
原则,原则,原则,n
确保安全,确保安全,确保安全,ns
原则,原则,原则,n
主体,主体,主体,n
参与,参与,参与,v
原则,原则,原则,n
公开,公开,公开,ad
透明,透明,透明,v
原则,原则,原则,n
承诺,承诺,承诺,v
依据,依据,依据,p
中华人民共和国,中华人民共和国,中华人民共和国,ns
网络安全,网络安全,网络安全,nz
法,法,法,j
互联网,互联网,互联网,n
行业,行业,行业,n
信息,信息,信息,n
保护,保护,保护,v
法律法规,法律法规,法律法规,n
参考,参考,参考,v
信息安全,信息安全,信息安全,nz
技术,技术,技术,n
信息安全,信息安全,信息安全,nz
规范,规范,规范,n
GB,gb,GB,eng
/,/,/,x
T35273,t35273,T35273,eng
-,-,-,x
2017,2017,2017,m
推荐性,推荐性,推荐性,n
国家标准,国家标准,国家标准,n
采取相应,采取相应,采取相应,nr
保护措施,保护措施,保护措施,n
保护,保护,保护,v
用户,用户,用户,n
信息,信息,信息,n
 , , ,x
Ogcloud,ogcloud,Ogcloud,eng
合同,合同,合同,a
关系,关系,关系,n
开发者,开发者,开发者,n
安装,安装,安装,v
注册,注册,注册,v
Ogcloud,ogcloud,Ogcloud,eng
账号,账号,账号,n
集成,集成,集成,v
Ogcloud,ogcloud,Ogcloud,eng
 , , ,x
SDK,sdk,SDK,eng
开发者,开发者,开发者,n
开发,开发,开发,v
运营,运营,运营,vn
设备,设备,设备,vn
持有者,持有者,持有者,n
会,会,会,v
开发者,开发者,开发者,n
隐私,隐私,隐私,b
政策,政策,政策,n
服务,服务,服务,vn
协议,协议,协议,n
方式,方式,方式,n
使,使,使,v
知晓,知晓,知晓,v
集成,集成,集成,v
Ogcloud,ogcloud,Ogcloud,eng
服务,服务,服务,vn
功能模块,功能模块,功能模块,n
应,应,应,v
确保您,确保您,确保您,l
知悉,知悉,知悉,v
同意,同意,同意,d
开发者,开发者,开发者,n
获取,获取,获取,v
用户,用户,用户,n
相关,相关,相关,v
信息,信息,信息,n
权利,权利,权利,n
延展,延展,延展,v
Ogcloud,ogcloud,Ogcloud,eng
使,使,使,v
获取,获取,获取,v
相关,相关,相关,v
服务,服务,服务,vn
功能,功能,功能,n
信息,信息,信息,n
希望,希望,希望,v
隐私,隐私,隐私,b
政策,政策,政策,n
Ogcloud,ogcloud,Ogcloud,eng
提供,提供,提供,v
服务,服务,服务,vn
过程,过程,过程,n
中,中,中,f
收集,收集,收集,v
共享,共享,共享,v
转让,转让,转让,v
公开,公开,公开,ad
披露,披露,披露,v
保护,保护,保护,v
用户,用户,用户,n
信息,信息,信息,n
披露,披露,披露,v
收集,收集,收集,v
用户,用户,用户,n
信息,信息,信息,n
目的,目的,目的,n
方式,方式,方式,n
提供,提供,提供,v
访问,访问,访问,v
更新,更新,更新,d
删除,删除,删除,v
用户,用户,用户,n
信息,信息,信息,n
方法,方法,方法,n
请,请,请,v
仔细阅读,仔细阅读,仔细阅读,n
理解,理解,理解,v
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
以下内容,以下内容,以下内容,l
 , , ,x
收集,收集,收集,v
用户,用户,用户,n
信息,信息,信息,n
 , , ,x
二,二,二,m
共享,共享,共享,v
转让,转让,转让,v
公开,公开,公开,ad
披露,披露,披露,v
用户,用户,用户,n
信息,信息,信息,n
 , , ,x
三,三,三,m
保护,保护,保护,v
用户,用户,用户,n
信息,信息,信息,n
 , , ,x
四,四,四,m
权利,权利,权利,n
 , , ,x
五,五,五,m
未成年人,未成年人,未成年人,l
个人信息,个人信息,个人信息,n
 , , ,x
六,六,六,m
用户,用户,用户,n
信息,信息,信息,n
存储,存储,存储,j
全球,全球,全球,n
转移,转移,转移,v
 , , ,x
七,七,七,m
政策,政策,政策,n
更新,更新,更新,d
 , , ,x
八,八,八,m
 , , ,x
收集,收集,收集,v
用户,用户,用户,n
信息,信息,信息,n
 , , ,x
Ogcloud,ogcloud,Ogcloud,eng
仅,仅,仅,d
会,会,会,v
出于,出于,出于,v
政策,政策,政策,n
所述,所述,所述,b
业务,业务,业务,n
功能,功能,功能,n
目的,目的,目的,n
开发者,开发者,开发者,n
保证,保证,保证,v
征得,征得,征得,v
授权,授权,授权,v
同意,同意,同意,d
情况,情况,情况,n
下,下,下,f
收集,收集,收集,v
用户,用户,用户,n
信息,信息,信息,n
 , , ,x
Ogcloud,ogcloud,Ogcloud,eng
各项,各项,各项,r
功能,功能,功能,n
服务,服务,服务,vn
涉及,涉及,涉及,v
个人信息,个人信息,个人信息,n
 , , ,x
1,1,1,x
 , , ,x
设备,设备,设备,vn
信息,信息,信息,n
 , , ,x
收集,收集,收集,v
用户,用户,用户,n
设备,设备,设备,vn
识别码,识别码,识别码,l
敏感,敏感,敏感,a
信息,信息,信息,n
仅,仅,仅,d
会,会,会,v
收集,收集,收集,v
手机,手机,手机,n
品牌,品牌,品牌,n
型号,型号,型号,n
系统,系统,系统,n
版本,版本,版本,n
网络,网络,网络,n
类型,类型,类型,n
内存大小,内存大小,内存大小,n
屏幕,屏幕,屏幕,n
分辨率,分辨率,分辨率,n
用作,用作,用作,v
统计,统计,统计,v
目的,目的,目的,n
信息,信息,信息,n
均,均,均,d
已,已,已,d
做,做,做,v
匿名,匿名,匿名,v
化,化,化,n
 , , ,x
2,2,2,x
 , , ,x
设备,设备,设备,vn
存储空间,存储空间,存储空间,n
信息,信息,信息,n
 , , ,x
设备,设备,设备,vn
存储空间,存储空间,存储空间,n
信息,信息,信息,n
用于,用于,用于,v
资源,资源,资源,n
下载,下载,下载,v
前,前,前,f
判断,判断,判断,v
磁盘,磁盘,磁盘,n
剩余,剩余,剩余,v
空间,空间,空间,n
足够,足够,足够,v
 , , ,x
3,3,3,x
 , , ,x
位置,位置,位置,v
信息,信息,信息,n
 , , ,x
收集,收集,收集,v
最终用户,最终用户,最终用户,l
设备,设备,设备,vn
位置,位置,位置,v
信息,信息,信息,n
 , , ,x
4,4,4,x
 , , ,x
应用程序,应用程序,应用程序,n
列表,列表,列表,n
信息,信息,信息,n
 , , ,x
会,会,会,v
读取,读取,读取,v
相关,相关,相关,v
api,api,api,eng
仅,仅,仅,d
运行,运行,运行,v
时,时,时,n
本地,本地,本地,r
包含,包含,包含,v
场景,场景,场景,n
a,a,a,eng
.,.,.,m
 , , ,x
判断,判断,判断,v
集成,集成,集成,v
sdk,sdk,sdk,eng
游戏,游戏,游戏,n
运行,运行,运行,v
前台,前台,前台,n
用途,用途,用途,n
确保,确保,确保,v
提示框,提示框,提示框,n
前台,前台,前台,n
时,时,时,ng
