surface,normalized,dictionary,POS
理想,理想,理想,n
L7,l7,L7,eng
 , , ,x
理想,理想,理想,n
L8,l8,L8,eng
 , , ,x
理想,理想,理想,n
L9,l9,L9,eng
 , , ,x
理想,理想,理想,n
ONE,one,ONE,eng
 , , ,x
VR,vr,VR,eng
看车,看车,看车,v
 , , ,x
门店,门店,门店,n
 , , ,x
社区,社区,社区,n
 , , ,x
口碑,口碑,口碑,n
 , , ,x
 , , ,x
理想,理想,理想,n
汽车,汽车,汽车,n
 , , ,x
 , , ,x
媒体,媒体,媒体,n
中心,中心,中心,n
 , , ,x
中心,中心,中心,n
 , , ,x
投资者,投资者,投资者,n
关系,关系,关系,n
 , , ,x
预约,预约,预约,v
体验,体验,体验,n
 , , ,x
登录,登录,登录,v
 , , ,x
语言,语言,语言,n
 , , ,x
中文,中文,中文,nz
 , , ,x
EN,en,EN,eng
 , , ,x
理想,理想,理想,n
汽车,汽车,汽车,n
用户,用户,用户,n
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
生效,生效,生效,n
日期,日期,日期,t
 , , ,x
2024,2024,2024,m
 , , ,x
年,年,年,m
 , , ,x
2,2,2,x
 , , ,x
月,月,月,m
 , , ,x
7,7,7,x
 , , ,x
日,日,日,m
 , , ,x
北京,北京,北京,ns
车,车,车,zg
励行,励行,励行,n
信息技术,信息技术,信息技术,n
有限公司,有限公司,有限公司,n
北京,北京,北京,ns
罗克,罗克,罗克,nr
维尔斯,维尔斯,维尔斯,nrt
科技,科技,科技,n
有限公司,有限公司,有限公司,n
理想,理想,理想,n
汽车,汽车,汽车,n
深知,深知,深知,v
个人信息,个人信息,个人信息,n
用户,用户,用户,n
称,称,称,v
重要性,重要性,重要性,n
非常重视,非常重视,非常重视,l
用户,用户,用户,n
隐私,隐私,隐私,b
个人信息,个人信息,个人信息,n
保护,保护,保护,v
据此,据此,据此,d
相关,相关,相关,v
法律法规,法律法规,法律法规,n
制定,制定,制定,v
理想,理想,理想,n
汽车,汽车,汽车,n
用户,用户,用户,n
隐私,隐私,隐私,b
政策,政策,政策,n
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
产品,产品,产品,n
/,/,/,x
服务,服务,服务,vn
前,前,前,f
 , , ,x
务必,务必,务必,d
仔细阅读,仔细阅读,仔细阅读,n
确认,确认,确认,v
理解,理解,理解,v
隐私,隐私,隐私,b
政策,政策,政策,n
写明,写明,写明,v
内容,内容,内容,n
 , , ,x
做出,做出,做出,v
选择,选择,选择,v
努力,努力,努力,ad
通俗易懂,通俗易懂,通俗易懂,l
文字,文字,文字,n
表述,表述,表述,v
隐私,隐私,隐私,b
政策,政策,政策,n
中,中,中,f
 , , ,x
权益,权益,权益,n
关系,关系,关系,n
条款,条款,条款,n
涉及,涉及,涉及,v
敏感,敏感,敏感,a
个人信息,个人信息,个人信息,n
 , , ,x
采用,采用,采用,v
 , , ,x
粗体,粗体,粗体,a
字,字,字,n
 , , ,x
标注,标注,标注,v
提示,提示,提示,v
 , , ,x
功能,功能,功能,n
服务,服务,服务,vn
基于,基于,基于,p
主动,主动,主动,b
提供,提供,提供,v
敏感,敏感,敏感,a
个人信息,个人信息,个人信息,n
才能,才能,才能,v
单独,单独,单独,d
同意,同意,同意,d
后,后,后,f
隐私,隐私,隐私,b
政策,政策,政策,n
/,/,/,x
