surface,normalized,dictionary,POS
杭州,杭州,杭州,ns
群核,群核,群核,n
信息技术,信息技术,信息技术,n
有限公司,有限公司,有限公司,n
简称,简称,简称,v
酷,酷,酷,n
家乐,家乐,家乐,n
系酷,系酷,系酷,n
家乐,家乐,家乐,n
网页,网页,网页,n
版,版,版,n
酷,酷,酷,v
家乐,家乐,家乐,n
酷,酷,酷,n
大师,大师,大师,n
/,/,/,x
客户端,客户端,客户端,n
APP,app,APP,eng
小,小,小,a
程序,程序,程序,n
(,(,(,x
合称,合称,合称,v
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
),),),x
产品,产品,产品,n
服务,服务,服务,vn
运营者,运营者,运营者,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
前,前,前,f
酷,酷,酷,d
家乐,家乐,家乐,n
特别,特别,特别,d
提示,提示,提示,v
用户服务,用户服务,用户服务,n
协议,协议,协议,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
用户,用户,用户,n
协议,协议,协议,n
最终用户,最终用户,最终用户,l
许可,许可,许可,nr
协议,协议,协议,n
知识产权,知识产权,知识产权,n
条款,条款,条款,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
用户,用户,用户,n
自律,自律,自律,n
公约,公约,公约,n
维护,维护,维护,v
权益,权益,权益,n
建议您,建议您,建议您,nr
仔细阅读,仔细阅读,仔细阅读,n
条款,条款,条款,n
表述,表述,表述,v
协议,协议,协议,n
中,中,中,f
条款,条款,条款,n
持有异议,持有异议,持有异议,n
选择,选择,选择,v
停止使用,停止使用,停止使用,i
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
酷,酷,酷,n
家乐,家乐,家乐,n
平台,平台,平台,n
视为,视为,视为,v
协议,协议,协议,n
全部内容,全部内容,全部内容,n
认可,认可,认可,v
接受,接受,接受,v
 , , ,x
用户服务,用户服务,用户服务,n
协议,协议,协议,n
下,下,下,f
关联,关联,关联,ns
公司,公司,公司,n
指,指,指,v
某一,某一,某一,r
公司,公司,公司,n
间接,间接,间接,b
控制,控制,控制,v
公司,公司,公司,n
受控,受控,受控,v
公司,公司,公司,n
公司,公司,公司,n
受控,受控,受控,v
同一个,同一个,同一个,b
公司,公司,公司,n
同一个,同一个,同一个,b
人,人,人,n
酷,酷,酷,d
家乐,家乐,家乐,n
关联,关联,关联,ns
公司,公司,公司,n
包括,包括,包括,v
上海,上海,上海,ns
蒙袋,蒙袋,蒙袋,nz
网络科技,网络科技,网络科技,n
有限公司,有限公司,有限公司,n
上海,上海,上海,ns
模袋,模袋,模袋,n
网络科技,网络科技,网络科技,n
有限公司,有限公司,有限公司,n
杭州,杭州,杭州,ns
美间,美间,美间,n
科技,科技,科技,n
有限公司,有限公司,有限公司,n
杭州,杭州,杭州,ns
云,云,云,ns
家装,家装,家装,n
网络科技,网络科技,网络科技,n
有限公司,有限公司,有限公司,n
上海,上海,上海,ns
酷,酷,酷,n
家乐,家乐,家乐,n
网络科技,网络科技,网络科技,n
有限公司,有限公司,有限公司,n
广东,广东,广东,ns
酷,酷,酷,n
家乐,家乐,家乐,n
网络科技,网络科技,网络科技,n
有限公司,有限公司,有限公司,n
