surface,normalized,dictionary,POS
理想,理想,理想,n
L7,l7,L7,eng
 , , ,x
理想,理想,理想,n
L8,l8,L8,eng
 , , ,x
理想,理想,理想,n
L9,l9,L9,eng
 , , ,x
理想,理想,理想,n
ONE,one,ONE,eng
 , , ,x
VR,vr,VR,eng
看车,看车,看车,v
 , , ,x
门店,门店,门店,n
 , , ,x
社区,社区,社区,n
 , , ,x
口碑,口碑,口碑,n
 , , ,x
 , , ,x
理想,理想,理想,n
汽车,汽车,汽车,n
 , , ,x
 , , ,x
媒体,媒体,媒体,n
中心,中心,中心,n
 , , ,x
中心,中心,中心,n
 , , ,x
投资者,投资者,投资者,n
关系,关系,关系,n
 , , ,x
预约,预约,预约,v
体验,体验,体验,n
 , , ,x
登录,登录,登录,v
 , , ,x
语言,语言,语言,n
 , , ,x
中文,中文,中文,nz
 , , ,x
EN,en,EN,eng
 , , ,x
法律,法律,法律,n
声明,声明,声明,n
 , , ,x
网站,网站,网站,n
前,前,前,f
请,请,请,v
仔细阅读,仔细阅读,仔细阅读,n
条款,条款,条款,n
简称,简称,简称,v
声明,声明,声明,n
 , , ,x
网站,网站,网站,n
内容,内容,内容,n
归属,归属,归属,v
北京,北京,北京,ns
车,车,车,zg
励行,励行,励行,n
信息技术,信息技术,信息技术,n
有限公司,有限公司,有限公司,n
理想,理想,理想,n
汽车,汽车,汽车,n
仅,仅,仅,d
用于,用于,用于,v
提供,提供,提供,v
相关,相关,相关,v
信息,信息,信息,n
网站,网站,网站,n
网站,网站,网站,n
下载,下载,下载,v
资料,资料,资料,n
都,都,都,d
同意,同意,同意,d
遵守,遵守,遵守,v
声明,声明,声明,n
所述,所述,所述,b
条款,条款,条款,n
条件,条件,条件,n
不,不,不,d
同意,同意,同意,d
声明,声明,声明,n
请勿,请勿,请勿,v
网站,网站,网站,n
网站,网站,网站,n
下载,下载,下载,v
资料,资料,资料,n
 , , ,x
网站,网站,网站,n
有限,有限,有限,a
许可,许可,许可,nr
 , , ,x
声明,声明,声明,n
条款,条款,条款,n
条件,条件,条件,n
理想,理想,理想,n
汽车,汽车,汽车,n
给予,给予,给予,v
访问,访问,访问,v
展示,展示,展示,v
网站,网站,网站,n
资料,资料,资料,n
权利,权利,权利,n
权利,权利,权利,n
非商业,非商业,非商业,j
性质,性质,性质,n
撤销,撤销,撤销,v
变更,变更,变更,v
非,非,非,h
排他性,排他性,排他性,n
有限,有限,有限,a
转让,转让,转让,v
同意,同意,同意,d
不,不,不,d
方式,方式,方式,n
中断,中断,中断,ns
中断,中断,中断,ns
网站,网站,网站,n
运行,运行,运行,v
 , , ,x
授权,授权,授权,v
阅读,阅读,阅读,v
下载,下载,下载,v
网站,网站,网站,n
信息,信息,信息,n
资料,资料,资料,n
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
文字,文字,文字,n
图片,图片,图片,n
图像,图像,图像,n
音频视频,音频视频,音频视频,n
图表,图表,图表,n
色彩,色彩,色彩,n
版面设计,版面设计,版面设计,n
电子,电子,电子,n
文档,文档,文档,n
技术,技术,技术,n
程序,程序,程序,n
文字,文字,文字,n
声音,声音,声音,n
图像,图像,图像,n
内容,内容,内容,n
仅供,仅供,仅供,v
涉及,涉及,涉及,v
商业行为,商业行为,商业行为,n
授权,授权,授权,v
不,不,不,d
包含,包含,包含,v
资料,资料,资料,n
