surface,normalized,dictionary,POS
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
-,-,-,x
 , , ,x
魅族,魅族,魅族,n
官网,官网,官网,n
 , , ,x
手机,手机,手机,n
 , , ,x
MYVU,myvu,MYVU,eng
 , , ,x
PANDAER,pandaer,PANDAER,eng
 , , ,x
Flyme,flyme,Flyme,eng
 , , ,x
无界,无界,无界,n
智行,智行,智行,n
 , , ,x
服务,服务,服务,vn
 , , ,x
/,/,/,x
 , , ,x
门店,门店,门店,n
 , , ,x
社区,社区,社区,n
 , , ,x
集团,集团,集团,n
官网,官网,官网,n
 , , ,x
APP,app,APP,eng
下载,下载,下载,v
 , , ,x
新品,新品,新品,n
魅族,魅族,魅族,n
 , , ,x
21,21,21,m
 , , ,x
Note,note,Note,eng
 , , ,x
￥,￥,￥,x
2599,2599,2599,m
 , , ,x
魅族,魅族,魅族,n
 , , ,x
21,21,21,m
 , , ,x
PRO,pro,PRO,eng
 , , ,x
￥,￥,￥,x
4199,4199,4199,m
 , , ,x
魅族,魅族,魅族,n
 , , ,x
21,21,21,m
 , , ,x
￥,￥,￥,x
2899,2899,2899,m
 , , ,x
魅族,魅族,魅族,n
 , , ,x
20,20,20,m
 , , ,x
￥,￥,￥,x
2399,2399,2399,m
 , , ,x
魅族,魅族,魅族,n
 , , ,x
20,20,20,m
 , , ,x
Classic,classic,Classic,eng
 , , ,x
￥,￥,￥,x
2699,2699,2699,m
 , , ,x
MYVU,myvu,MYVU,eng
 , , ,x
探索,探索,探索,v
版,版,版,n
 , , ,x
AR,ar,AR,eng
 , , ,x
眼镜,眼镜,眼镜,n
 , , ,x
￥,￥,￥,x
9999,9999,9999,m
 , , ,x
MYVU,myvu,MYVU,eng
 , , ,x
AR,ar,AR,eng
 , , ,x
眼镜,眼镜,眼镜,n
 , , ,x
￥,￥,￥,x
2499,2499,2499,m
 , , ,x
MYVU,myvu,MYVU,eng
 , , ,x
海外版,海外版,海外版,n
 , , ,x
￥,￥,￥,x
4399,4399,4399,m
 , , ,x
MYVU,myvu,MYVU,eng
 , , ,x
智能,智能,智能,n
指环,指环,指环,vn
 , , ,x
￥,￥,￥,x
399,399,399,m
 , , ,x
MYVU,myvu,MYVU,eng
 , , ,x
墨镜,墨镜,墨镜,n
片,片,片,q
 , , ,x
￥,￥,￥,x
349,349,349,m
 , , ,x
灵龙,灵龙,灵龙,nr
 , , ,x
妙,妙,妙,a
磁,磁,磁,n
抗菌,抗菌,抗菌,n
壳,壳,壳,n
 , , ,x
￥,￥,￥,x
99,99,99,m
 , , ,x
35,35,35,m
W,w,W,eng
 , , ,x
自带,自带,自带,n
线,线,线,n
电源,电源,电源,n
 , , ,x
￥,￥,￥,x
169,169,169,m
 , , ,x
降噪,降噪,降噪,v
耳机,耳机,耳机,n
 , , ,x
1,1,1,m
s,s,s,eng
 , , ,x
￥,￥,￥,x
349,349,349,m
 , , ,x
游戏,游戏,游戏,n
耳机,耳机,耳机,n
 , , ,x
1,1,1,m
s,s,s,eng
 , , ,x
￥,￥,￥,x
249,249,249,m
 , , ,x
35,35,35,m
W,w,W,eng
 , , ,x
GaN,gan,GaN,eng
 , , ,x
小,小,小,a
电瓶,电瓶,电瓶,n
潮充,潮充,潮充,ns
 , , ,x
￥,￥,￥,x
69,69,69,m
 , , ,x
PANDAER,pandaer,PANDAER,eng
 , , ,x
80,80,80,m
W,w,W,eng
 , , ,x
GaN,gan,GaN,eng
 , , ,x
潮充,潮充,潮充,ns
 , , ,x
￥,￥,￥,x
129,129,129,m
 , , ,x
iPhone,iphone,iPhone,eng
 , , ,x
妙,妙,妙,a
磁,磁,磁,n
抗菌,抗菌,抗菌,n
抗,抗,抗,v
摔,摔,摔,v
壳,壳,壳,n
 , , ,x
￥,￥,￥,x
109,109,109,m
 , , ,x
真,真,真,d
无线,无线,无线,n
蓝牙,蓝牙,蓝牙,ns
耳机,耳机,耳机,n
 , , ,x
Air,air,Air,eng
 , , ,x
￥,￥,￥,x
119,119,119,m
 , , ,x
