surface,normalized,dictionary,POS
菜鸟,菜鸟,菜鸟,n
集团,集团,集团,n
-,-,-,x
电商,电商,电商,n
物流,物流,物流,n
行业,行业,行业,n
全球,全球,全球,n
领导者,领导者,领导者,n
 , , ,x
合作,合作,合作,vn
咨询,咨询,咨询,vn
 , , ,x
首页,首页,首页,m
 , , ,x
国内,国内,国内,s
物流,物流,物流,n
 , , ,x
国内,国内,国内,s
供应链,供应链,供应链,n
 , , ,x
菜鸟,菜鸟,菜鸟,n
速递,速递,速递,v
 , , ,x
菜鸟,菜鸟,菜鸟,n
裹,裹,裹,v
裹,裹,裹,v
 , , ,x
国际,国际,国际,n
物流,物流,物流,n
 , , ,x
跨境,跨境,跨境,n
快递,快递,快递,v
 , , ,x
国际,国际,国际,n
供应链,供应链,供应链,n
 , , ,x
海外,海外,海外,s
本地,本地,本地,r
 , , ,x
科技,科技,科技,n
 , , ,x
菜鸟,菜鸟,菜鸟,n
驿站,驿站,驿站,n
 , , ,x
菜鸟,菜鸟,菜鸟,n
App,app,App,eng
 , , ,x
物流,物流,物流,n
科技,科技,科技,n
 , , ,x
物流,物流,物流,n
资产,资产,资产,n
服务,服务,服务,vn
 , , ,x
ESG,esg,ESG,eng
 , , ,x
ESG,esg,ESG,eng
主页,主页,主页,n
 , , ,x
环境,环境,环境,n
 , , ,x
社会,社会,社会,n
 , , ,x
治理,治理,治理,v
 , , ,x
 , , ,x
菜鸟,菜鸟,菜鸟,n
简介,简介,简介,v
 , , ,x
新闻,新闻,新闻,n
公告,公告,公告,n
 , , ,x
 , , ,x
 , , ,x
商家,商家,商家,n
/,/,/,x
物流,物流,物流,n
商,商,商,n
服务,服务,服务,vn
 , , ,x
注册,注册,注册,v
 , , ,x
/,/,/,x
 , , ,x
登录,登录,登录,v
 , , ,x
简体中文,简体中文,简体中文,nr
 , , ,x
简体中文,简体中文,简体中文,nr
 , , ,x
English,english,English,eng
 , , ,x
中文,中文,中文,nz
 , , ,x
国内,国内,国内,s
物流,物流,物流,n
 , , ,x
国内,国内,国内,s
供应链,供应链,供应链,n
 , , ,x
菜鸟,菜鸟,菜鸟,n
速递,速递,速递,v
 , , ,x
菜鸟,菜鸟,菜鸟,n
裹,裹,裹,v
裹,裹,裹,v
 , , ,x
国际,国际,国际,n
物流,物流,物流,n
 , , ,x
跨境,跨境,跨境,n
快递,快递,快递,v
 , , ,x
国际,国际,国际,n
供应链,供应链,供应链,n
 , , ,x
海外,海外,海外,s
本地,本地,本地,r
 , , ,x
科技,科技,科技,n
 , , ,x
菜鸟,菜鸟,菜鸟,n
驿站,驿站,驿站,n
 , , ,x
菜鸟,菜鸟,菜鸟,n
App,app,App,eng
 , , ,x
物流,物流,物流,n
科技,科技,科技,n
 , , ,x
物流,物流,物流,n
资产,资产,资产,n
服务,服务,服务,vn
 , , ,x
ESG,esg,ESG,eng
 , , ,x
ESG,esg,ESG,eng
主页,主页,主页,n
 , , ,x
环境,环境,环境,n
 , , ,x
社会,社会,社会,n
 , , ,x
治理,治理,治理,v
 , , ,x
 , , ,x
菜鸟,菜鸟,菜鸟,n
简介,简介,简介,v
 , , ,x
新闻,新闻,新闻,n
公告,公告,公告,n
 , , ,x
 , , ,x
 , , ,x
商家,商家,商家,n
/,/,/,x
物流,物流,物流,n
商,商,商,n
服务,服务,服务,vn
 , , ,x
全,全,全,a
渠道,渠道,渠道,n
一体化,一体化,一体化,l
toBtoC,tobtoc,toBtoC,eng
仓,仓,仓,nr
配网,配网,配网,v
 , , ,x
快,快,快,a
消美,消美,消美,vn
妆,妆,妆,ng
洗护,洗护,洗护,v
消费,消费,消费,vn
电子,电子,电子,n
家居,家居,家居,n
日化,日化,日化,j
行业,行业,行业,n
电商,电商,电商,n
企业,企业,企业,n
提供,提供,提供,v
全,全,全,a
链路,链路,链路,n
仓,仓,仓,nr
配,配,配,v
服务,服务,服务,vn
 , , ,x
小时,小时,小时,n
达,达,达,v
半日,半日,半日,t
达,达,达,v
次日,次日,次日,t
达次晨达,达次晨达,达次晨达,nz
送货上门,送货上门,送货上门,l
送货,送货,送货,v
入户,入户,入户,n
送装,送装,送装,v
一体化,一体化,一体化,l
冻,冻,冻,v
包赔,包赔,包赔,v
 , , ,x
咨询,咨询,咨询,vn
 , , ,x
菜鸟,菜鸟,菜鸟,n
联手,联手,联手,v
欧亚,欧亚,欧亚,ns
达,达,达,v
升级,升级,升级,vn
家居,家居,家居,n
商场,商场,商场,n
物流,物流,物流,n
服务,服务,服务,vn
 , , ,x
合力,合力,合力,n
推动,推动,推动,v
家具,家具,家具,n
送装,送装,送装,v
一体,一体,一体,n
以旧换新,以旧换新,以旧换新,l
服务,服务,服务,vn
 , , ,x
咨询,咨询,咨询,vn
 , , ,x
菜鸟,菜鸟,菜鸟,n
国际,国际,国际,n
快递,快递,快递,v
 , , ,x
快,快,快,a
线,线,线,n
/,/,/,x
标准,标准,标准,n
/,/,/,x
简易,简易,简易,a
 , , ,x
全国,全国,全国,n
地区,地区,地区,n
1,1,1,m
件,件,件,q
免费,免费,免费,vn
