surface,normalized,dictionary,POS
隐私,隐私,隐私,b
声明,声明,声明,n
 , , ,x
饭否,饭否,饭否,n
fanfou,fanfou,fanfou,eng
.,.,.,m
com,com,com,eng
以此,以此,以此,c
声明,声明,声明,n
本站,本站,本站,n
用户,用户,用户,n
隐私,隐私,隐私,b
保护,保护,保护,v
许诺,许诺,许诺,nr
饭否,饭否,饭否,n
隐私,隐私,隐私,b
声明,声明,声明,n
不断改进,不断改进,不断改进,l
中,中,中,f
本站,本站,本站,n
服务,服务,服务,vn
扩大会,扩大会,扩大会,v
随时,随时,随时,d
更新,更新,更新,d
隐私,隐私,隐私,b
声明,声明,声明,n
随时,随时,随时,d
查看,查看,查看,v
隐私,隐私,隐私,b
声明,声明,声明,n
 , , ,x
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
饭否,饭否,饭否,n
非常重视,非常重视,非常重视,l
用户,用户,用户,n
隐私权,隐私权,隐私权,n
保护,保护,保护,v
承诺,承诺,承诺,v
未,未,未,t
用户,用户,用户,n
许可,许可,许可,nr
情况,情况,情况,n
下,下,下,f
擅自,擅自,擅自,d
用户,用户,用户,n
个人资料,个人资料,个人资料,n
信息,信息,信息,n
出租,出租,出租,v
出售,出售,出售,vn
第三方,第三方,第三方,m
情况,情况,情况,n
除外,除外,除外,c
 , , ,x
1,1,1,x
用户,用户,用户,n
同意,同意,同意,d
第三方,第三方,第三方,m
共享,共享,共享,v
资料,资料,资料,n
 , , ,x
2,2,2,x
用户,用户,用户,n
同意,同意,同意,d
公开,公开,公开,ad
个人资料,个人资料,个人资料,n
享受,享受,享受,v
提供,提供,提供,v
产品,产品,产品,n
服务,服务,服务,vn
 , , ,x
3,3,3,x
本站,本站,本站,n
听从,听从,听从,v
法庭,法庭,法庭,n
传票,传票,传票,n
法律,法律,法律,n
命令,命令,命令,n
遵循,遵循,遵循,v
法律,法律,法律,n
程序,程序,程序,n
 , , ,x
4,4,4,x
本站,本站,本站,n
发现,发现,发现,v
用户,用户,用户,n
违反,违反,违反,v
本站,本站,本站,n
服务,服务,服务,vn
条款,条款,条款,n
本站,本站,本站,n
 , , ,x
 , , ,x
本站,本站,本站,n
隐私,隐私,隐私,b
设置,设置,设置,vn
内容,内容,内容,n
包括,包括,包括,v
查看,查看,查看,v
个人空间,个人空间,个人空间,n
关注,关注,关注,v
申请,申请,申请,v
发送,发送,发送,v
私信,私信,私信,n
 , , ,x
用户,用户,用户,n
选择,选择,选择,v
个人空间,个人空间,个人空间,n
开放,开放,开放,v
程度,程度,程度,n
用户,用户,用户,n
选择,选择,选择,v
个人资料,个人资料,个人资料,n
仅,仅,仅,d
好友,好友,好友,n
开放,开放,开放,v
请,请,请,v
饭否,饭否,饭否,n
同意,同意,同意,d
共享,共享,共享,v
资料,资料,资料,n
用户,用户,用户,n
第三方,第三方,第三方,m
包括,包括,包括,v
限于,限于,限于,v
饭否,饭否,饭否,n
API,api,API,eng
用户,用户,用户,n
资料,资料,资料,n
传播,传播,传播,vn
不,不,不,d
负责,负责,负责,v
 , , ,x
饭否,饭否,饭否,n
用户,用户,用户,n
设定,设定,设定,v
密码,密码,密码,n
保护,保护,保护,v
账户,账户,账户,n
资料,资料,资料,n
用户,用户,用户,n
密码,密码,密码,n
保密,保密,保密,n
负,负,负,v
责任,责任,责任,n
请,请,请,v
分享,分享,分享,v
信息,信息,信息,n
公共,公共,公共,b
电脑,电脑,电脑,n
请,请,请,v
离开,离开,离开,v
电脑,电脑,电脑,n
时,时,时,n
退出,退出,退出,v
饭否,饭否,饭否,n
保证,保证,保证,v
信息,信息,信息,n
不,不,不,d
使用者,使用者,使用者,n
获取,获取,获取,v
 , , ,x
服务,服务,服务,vn
条款,条款,条款,n
 , , ,x
饭否,饭否,饭否,n
服务,服务,服务,vn
受,受,受,v
本站,本站,本站,n
协议,协议,协议,n
约束,约束,约束,vn
隐私,隐私,隐私,b
政策,政策,政策,n
包含,包含,包含,v
协议,协议,协议,n
中,中,中,f
涉及,涉及,涉及,v
相关,相关,相关,v
