surface,normalized,dictionary,POS
小,小,小,a
黑盒,黑盒,黑盒,n
用户,用户,用户,n
协议,协议,协议,n
隐私,隐私,隐私,b
政策,政策,政策,n
 , , ,x
用户,用户,用户,n
协议,协议,协议,n
 , , ,x
协议,协议,协议,n
用户,用户,用户,n
下称,下称,下称,v
用户,用户,用户,n
小,小,小,n
黑盒,黑盒,黑盒,n
之间,之间,之间,f
协议,协议,协议,n
小,小,小,a
黑盒,黑盒,黑盒,n
协议,协议,协议,n
约定,约定,约定,v
内容,内容,内容,n
提供,提供,提供,v
服务,服务,服务,vn
小,小,小,a
黑盒,黑盒,黑盒,n
指,指,指,v
小,小,小,a
黑盒,黑盒,黑盒,n
/,/,/,x
或其,或其,或其,c
相关,相关,相关,v
服务,服务,服务,vn
运营,运营,运营,vn
关联,关联,关联,ns
单位,单位,单位,n
小,小,小,a
黑盒,黑盒,黑盒,n
经营者,经营者,经营者,n
清,清,清,a
枫,枫,枫,nr
北京,北京,北京,ns
科技,科技,科技,n
有限公司,有限公司,有限公司,n
关联,关联,关联,ns
公司,公司,公司,n
不,不,不,d
同意,同意,同意,d
协议,协议,协议,n
中,中,中,f
所述,所述,所述,b
条款,条款,条款,n
其后,其后,其后,c
协议,协议,协议,n
条款,条款,条款,n
修改,修改,修改,v
请,请,请,v
小,小,小,a
黑盒,黑盒,黑盒,n
提供,提供,提供,v
相关,相关,相关,v
服务,服务,服务,vn
视作,视作,视作,v
协议,协议,协议,n
条款,条款,条款,n
接受,接受,接受,v
请,请,请,v
仔细阅读,仔细阅读,仔细阅读,n
协议,协议,协议,n
条款,条款,条款,n
条件,条件,条件,n
协议,协议,协议,n
中,中,中,f
黑色,黑色,黑色,n
加粗,加粗,加粗,nr
条款,条款,条款,n
未成年人,未成年人,未成年人,l
请,请,请,v
法定,法定,法定,n
监护人,监护人,监护人,n
陪同,陪同,陪同,v
下,下,下,f
阅读,阅读,阅读,v
判断,判断,判断,v
同意,同意,同意,d
协议,协议,协议,n
特别,特别,特别,d
未成年人,未成年人,未成年人,l
条款,条款,条款,n
未成年人,未成年人,未成年人,l
行使,行使,行使,n
履行,履行,履行,v
协议,协议,协议,n
项下,项下,项下,n
权利,权利,权利,n
义务,义务,义务,n
视为,视为,视为,v
已,已,已,d
监护人,监护人,监护人,n
认可,认可,认可,v
 , , ,x
1.,1.,1.,m
 , , ,x
服务,服务,服务,vn
 , , ,x
1.1,1.1,1.1,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
提供,提供,提供,v
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
服务,服务,服务,vn
 , , ,x
1.1.1,1.1.1,1.1.1,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
网站,网站,网站,n
 , , ,x
www,www,www,eng
.,.,.,m
xiaoheihe,xiaoheihe,xiaoheihe,eng
.,.,.,m
cn,cn,cn,eng
小,小,小,n
黑盒,黑盒,黑盒,n
运营,运营,运营,vn
网站,网站,网站,n
 , , ,x
1.1.2,1.1.2,1.1.2,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
拥有,拥有,拥有,v
运营,运营,运营,vn
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
PC,pc,PC,eng
平板,平板,平板,n
手机,手机,手机,n
电视,电视,电视,n
终端,终端,终端,n
客户端,客户端,客户端,n
产品,产品,产品,n
 , , ,x
1.1.3,1.1.3,1.1.3,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
用户,用户,用户,n
中心,中心,中心,n
个人空间,个人空间,个人空间,n
;,;,;,x
 , , ,x
1.1.4,1.1.4,1.1.4,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
拥有,拥有,拥有,v
运营,运营,运营,vn
服务器,服务器,服务器,n
网络,网络,网络,n
存储空间,存储空间,存储空间,n
 , , ,x
1.1.5,1.1.5,1.1.5,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
提供,提供,提供,v
各类,各类,各类,r
增值,增值,增值,v
服务,服务,服务,vn
 , , ,x
1.1.6,1.1.6,1.1.6,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
提供,提供,提供,v
技术,技术,技术,n
/,/,/,x
服务,服务,服务,vn
 , , ,x
1.2,1.2,1.2,m
 , , ,x
小,小,小,a
黑盒,黑盒,黑盒,n
提供,提供,提供,v
服务,服务,服务,vn
均,均,均,d
限于,限于,限于,v
小,小,小,n
黑盒,黑盒,黑盒,n
平台,平台,平台,n
内,内,内,n
恶意,恶意,恶意,v
破解,破解,破解,v
非法手段,非法手段,非法手段,n
小,小,小,a
黑盒,黑盒,黑盒,n
提供,提供,提供,v
服务,服务,服务,vn
小,小,小,n
黑盒,黑盒,黑盒,n
平台,平台,平台,n
分离,分离,分离,v
皆,皆,皆,d
不,不,不,d
协议,协议,协议,n
约定,约定,约定,v
小,小,小,n
黑盒,黑盒,黑盒,n
提供,提供,提供,v
服务,服务,服务,vn
由此,由此,由此,c
后果,后果,后果,n
行为人,行为人,行为人,n
负责,负责,负责,v
小,小,小,a
黑盒,黑盒,黑盒,n
保留,保留,保留,v
