surface,normalized,dictionary,POS
uniCloud,unicloud,uniCloud,eng
产品,产品,产品,n
服务,服务,服务,vn
协议,协议,协议,n
 , , ,x
|,|,|,x
 , , ,x
uniCloud,unicloud,uniCloud,eng
 , , ,x
uni,uni,uni,eng
-,-,-,x
app,app,app,eng
 , , ,x
uni,uni,uni,eng
-,-,-,x
app,app,app,eng
 , , ,x
x,x,x,x
 , , ,x
uniCloud,unicloud,uniCloud,eng
 , , ,x
HBuilder,hbuilder,HBuilder,eng
 , , ,x
uni,uni,uni,eng
 , , ,x
小,小,小,a
程序,程序,程序,n
 , , ,x
sdk,sdk,sdk,eng
 , , ,x
uniCloud,unicloud,uniCloud,eng
 , , ,x
uni,uni,uni,eng
-,-,-,x
app,app,app,eng
 , , ,x
uni,uni,uni,eng
-,-,-,x
app,app,app,eng
 , , ,x
x,x,x,x
 , , ,x
uniCloud,unicloud,uniCloud,eng
 , , ,x
HBuilder,hbuilder,HBuilder,eng
 , , ,x
uni,uni,uni,eng
 , , ,x
小,小,小,a
程序,程序,程序,n
 , , ,x
sdk,sdk,sdk,eng
 , , ,x
简体中文,简体中文,简体中文,nr
 , , ,x
搜索,搜索,搜索,v
文档,文档,文档,n
 , , ,x
K,k,K,x
 , , ,x
uniCloud,unicloud,uniCloud,eng
 , , ,x
uniCloud,unicloud,uniCloud,eng
 , , ,x
快速,快速,快速,d
上,上,上,f
手,手,手,n
 , , ,x
免费版,免费版,免费版,n
商用,商用,商用,n
版,版,版,n
 , , ,x
基本概念,基本概念,基本概念,l
 , , ,x
云,云,云,ns
函数,函数,函数,n
/,/,/,x
云,云,云,ns
对象,对象,对象,n
 , , ,x
云,云,云,ns
数据库,数据库,数据库,n
 , , ,x
云,云,云,ns
存储,存储,存储,j
 , , ,x
资源,资源,资源,n
用量,用量,用量,n
监控,监控,监控,vn
&,&,&,x
报警,报警,报警,n
 , , ,x
uni,uni,uni,eng
-,-,-,x
id,id,id,eng
用户,用户,用户,n
体系,体系,体系,n
 , , ,x
uni,uni,uni,eng
手机号,手机号,手机号,n
一键,一键,一键,n
登录,登录,登录,v
 , , ,x
uni,uni,uni,eng
实人,实人,实人,n
认证,认证,认证,v
 , , ,x
短信,短信,短信,n
服务,服务,服务,vn
 , , ,x
uni,uni,uni,eng
-,-,-,x
