surface,normalized,dictionary,POS
卡巴斯基,卡巴斯基,卡巴斯基,nrt
网络安全,网络安全,网络安全,nz
方案,方案,方案,n
Kaspersky,kaspersky,Kaspersky,eng
 , , ,x
Internet,internet,Internet,eng
 , , ,x
Security,security,Security,eng
 , , ,x
|,|,|,x
 , , ,x
互联网,互联网,互联网,n
保护,保护,保护,v
 , , ,x
|,|,|,x
 , , ,x
卡巴斯基,卡巴斯基,卡巴斯基,nrt
 , , ,x
跳,跳,跳,v
主体,主体,主体,n
内容,内容,内容,n
 , , ,x
转,转,转,v
主页,主页,主页,n
 , , ,x
家庭用户,家庭用户,家庭用户,n
 , , ,x
卡巴斯基,卡巴斯基,卡巴斯基,nrt
 , , ,x
反病毒,反病毒,反病毒,n
软件,软件,软件,n
 , , ,x
卡巴斯基,卡巴斯基,卡巴斯基,nrt
 , , ,x
安全软件,安全软件,安全软件,l
 , , ,x
卡巴斯基,卡巴斯基,卡巴斯基,nrt
 , , ,x
全方位,全方位,全方位,m
安全软件,安全软件,安全软件,l
 , , ,x
卡巴斯基,卡巴斯基,卡巴斯基,nrt
密码,密码,密码,n
管理器,管理器,管理器,n
 , , ,x
续费,续费,续费,vn
授权,授权,授权,v
许可,许可,许可,nr
 , , ,x
支持,支持,支持,v
 , , ,x
试用,试用,试用,vn
下载,下载,下载,v
 , , ,x
企业,企业,企业,n
 , , ,x
KSOS,ksos,KSOS,eng
 , , ,x
门户,门户,门户,n
 , , ,x
试用,试用,试用,vn
下载,下载,下载,v
 , , ,x
续费,续费,续费,vn
 , , ,x
SMB,smb,SMB,eng
 , , ,x
授权,授权,授权,v
许可,许可,许可,nr
 , , ,x
查找,查找,查找,v
合作伙伴,合作伙伴,合作伙伴,n
 , , ,x
公司,公司,公司,n
帐户,帐户,帐户,n
 , , ,x
卡巴斯基,卡巴斯基,卡巴斯基,nrt
TIP,tip,TIP,eng
 , , ,x
支持,支持,支持,v
 , , ,x
云,云,云,ns
控制台,控制台,控制台,v
 , , ,x
合作伙伴,合作伙伴,合作伙伴,n
 , , ,x
查找,查找,查找,v
经销商,经销商,经销商,n
 , , ,x
查找,查找,查找,v
