surface,normalized,dictionary,POS
中国科协,中国科协,中国科协,nt
主办,主办,主办,b
点击,点击,点击,v
前往,前往,前往,t
新,新,新,a
网站,网站,网站,n
 , , ,x
科普,科普,科普,nrt
中国,中国,中国,ns
云,云,云,ns
客服,客服,客服,n
 , , ,x
首页,首页,首页,m
 , , ,x
前沿,前沿,前沿,s
 , , ,x
健康,健康,健康,a
 , , ,x
百科,百科,百科,nz
 , , ,x
军事,军事,军事,n
 , , ,x
科幻,科幻,科幻,n
 , , ,x
 , , ,x
人物,人物,人物,n
 , , ,x
辟谣,辟谣,辟谣,nr
 , , ,x
智,智,智,nr
农,农,农,n
 , , ,x
地区,地区,地区,n
 , , ,x
•,•,•,x
•,•,•,x
•,•,•,x
 , , ,x
 , , ,x
自然灾害,自然灾害,自然灾害,l
 , , ,x
事故,事故,事故,n
灾难,灾难,灾难,n
 , , ,x
应急,应急,应急,vn
科普,科普,科普,nrt
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1,1,1,x
-,-,-,x
恢复,恢复,恢复,v
.,.,.,m
jpg,jpg,jpg,eng
 , , ,x
康森灿,康森灿,康森灿,nr
都,都,都,d
共舞,共舞,共舞,n
 , , ,x
专家,专家,专家,n
详解,详解,详解,v
双,双,双,n
台风,台风,台风,ns
天气,天气,天气,n
影响,影响,影响,vn
 , , ,x
科技日报,科技日报,科技日报,nz
2021,2021,2021,m
-,-,-,x
09,09,09,m
-,-,-,x
10,10,10,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
变暖,变暖,变暖,v
世界,世界,世界,n
里,里,里,f
大型,大型,大型,b
火山,火山,火山,n
地球,地球,地球,n
更,更,更,d
冷,冷,冷,a
 , , ,x
中国,中国,中国,ns
科学报,科学报,科学报,n
2021,2021,2021,m
-,-,-,x
08,08,08,m
-,-,-,x
24,24,24,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
未来,未来,未来,t
极端,极端,极端,n
天气,天气,天气,n
更为,更为,更为,d
频繁,频繁,频繁,a
应对,应对,应对,v
气候变化,气候变化,气候变化,n
挑战,挑战,挑战,vn
 , , ,x
人民日报,人民日报,人民日报,nz
2021,2021,2021,m
-,-,-,x
08,08,08,m
-,-,-,x
24,24,24,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1,1,1,x
-,-,-,x
恢复,恢复,恢复,v
.,.,.,m
jpg,jpg,jpg,eng
 , , ,x
国,国,国,n
大火,大火,大火,n
持续,持续,持续,vd
燃烧,燃烧,燃烧,v
启示,启示,启示,v
 , , ,x
中国,中国,中国,ns
科学报,科学报,科学报,n
2021,2021,2021,m
-,-,-,x
08,08,08,m
-,-,-,x
23,23,23,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
8,8,8,x
月份,月份,月份,n
地区,地区,地区,n
须,须,须,d
特别,特别,特别,d
防范,防范,防范,v
自然灾害,自然灾害,自然灾害,l
风险,风险,风险,n
 , , ,x
人民网,人民网,人民网,n
2021,2021,2021,m
-,-,-,x
08,08,08,m
-,-,-,x
09,09,09,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
中国,中国,中国,ns
气候变化,气候变化,气候变化,n
蓝皮书,蓝皮书,蓝皮书,nr
极端,极端,极端,n
天气,天气,天气,n
风险,风险,风险,n
进一步,进一步,进一步,d
加剧,加剧,加剧,v
 , , ,x
中国,中国,中国,ns
科学报,科学报,科学报,n
2021,2021,2021,m
-,-,-,x
08,08,08,m
-,-,-,x
06,06,06,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
汛期,汛期,汛期,t
天气,天气,天气,n
防汛,防汛,防汛,vn
应,应,应,v
 , , ,x
人民日报,人民日报,人民日报,nz
2021,2021,2021,m
-,-,-,x
08,08,08,m
-,-,-,x
05,05,05,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
暑假,暑假,暑假,t
遇上,遇上,遇上,v
汛期,汛期,汛期,t
灾害性,灾害性,灾害性,n
天气,天气,天气,n
 , , ,x
事项,事项,事项,n
 , , ,x
科普,科普,科普,nrt
中国,中国,中国,ns
-,-,-,x
科学,科学,科学,n
原理,原理,原理,n
一点,一点,一点,m
通,通,通,p
2021,2021,2021,m
-,-,-,x
07,07,07,m
-,-,-,x
30,30,30,m
 , , ,x
未,未,未,d
标题,标题,标题,n
-,-,-,x
1.,1.,1.,m
jpg,jpg,jpg,eng
 , , ,x
地质灾害,地质灾害,地质灾害,n
多发,多发,多发,m
时,时,时,n
知识,知识,知识,v
不知,不知,不知,v
 , , ,x
科普,科普,科普,nrt
