surface,normalized,dictionary,POS
用户,用户,用户,n
许可,许可,许可,nr
协议,协议,协议,n
 , , ,x
用户,用户,用户,n
许可,许可,许可,nr
协议,协议,协议,n
 , , ,x
尊敬,尊敬,尊敬,v
用户,用户,用户,n
您好,您好,您好,l
 , , ,x
协议,协议,协议,n
用户,用户,用户,n
称,称,称,v
西安,西安,西安,ns
欧思奇,欧思奇,欧思奇,nr
软件,软件,软件,n
有限公司,有限公司,有限公司,n
下称,下称,下称,v
公司,公司,公司,n
之间,之间,之间,f
西安,西安,西安,ns
欧思奇,欧思奇,欧思奇,nr
软件,软件,软件,n
有限公司,有限公司,有限公司,n
开发,开发,开发,v
用户,用户,用户,n
提供,提供,提供,v
应用程序,应用程序,应用程序,n
简称,简称,简称,v
应用程序,应用程序,应用程序,n
更新,更新,更新,d
法律,法律,法律,n
协议,协议,协议,n
 , , ,x
请,请,请,v
务必,务必,务必,d
阅读,阅读,阅读,v
理解,理解,理解,v
用户,用户,用户,n
许可,许可,许可,nr
协议,协议,协议,n
简称,简称,简称,v
协议,协议,协议,n
协议,协议,协议,n
中,中,中,f
条款,条款,条款,n
特别,特别,特别,d
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
争议,争议,争议,n
解决,解决,解决,v
法律,法律,法律,n
条款,条款,条款,n
 , , ,x
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
加粗,加粗,加粗,nr
字体,字体,字体,n
显示,显示,显示,v
应,应,应,v
重点,重点,重点,n
阅读,阅读,阅读,v
 , , ,x
阅读,阅读,阅读,v
后,后,后,f
选择,选择,选择,v
接受,接受,接受,v
不,不,不,d
接受,接受,接受,v
协议,协议,协议,n
项,项,项,n
下,下,下,f
条款,条款,条款,n
未成年人,未成年人,未成年人,l
应,应,应,v
法定,法定,法定,n
监护人,监护人,监护人,n
陪同,陪同,陪同,v
下,下,下,f
阅读,阅读,阅读,v
提供,提供,提供,v
应用程序,应用程序,应用程序,n
已,已,已,d
阅读,阅读,阅读,v
理解,理解,理解,v
接受,接受,接受,v
协议,协议,协议,n
全部内容,全部内容,全部内容,n
达成协议,达成协议,达成协议,nz
 , , ,x
应用程序,应用程序,应用程序,n
许可,许可,许可,nr
 , , ,x
遵守,遵守,遵守,v
协议,协议,协议,n
项,项,项,n
下,下,下,f
条款,条款,条款,n
前提,前提,前提,n
下,下,下,f
应用程序,应用程序,应用程序,n
承载,承载,承载,v
设备,设备,设备,vn
上以,上以,上以,v
有限,有限,有限,a
非,非,非,h
独家,独家,独家,n
方式,方式,方式,n
复制,复制,复制,v
出售,出售,出售,vn
转让,转让,转让,v
用于,用于,用于,v
商业用途,商业用途,商业用途,n
 , , ,x
二,二,二,m
书面,书面,书面,n
明示,明示,明示,v
许可,许可,许可,nr
同意,同意,同意,d
促使,促使,促使,v
竞品,竞品,竞品,n
公司,公司,公司,n
组织,组织,组织,v
拆解,拆解,拆解,v
复制,复制,复制,v
反向,反向,反向,v
工程,工程,工程,n
反向,反向,反向,v
编译,编译,编译,v
反汇编,反汇编,反汇编,n
亦,亦,亦,d
创作,创作,创作,vn
预置,预置,预置,vn
软件,软件,软件,n
衍生,衍生,衍生,v
作品,作品,作品,n
中,中,中,f
源代码,源代码,源代码,n
同意,同意,同意,d
促使,促使,促使,v
任何人,任何人,任何人,r
试图,试图,试图,v
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
导出,导出,导出,v
解码,解码,解码,n
修改,修改,修改,v
有损,有损,有损,vn
 , , ,x
三,三,三,m
同意,同意,同意,d
出租,出租,出租,v
出借,出借,出借,v
再,再,再,d
分发,分发,分发,v
亦,亦,亦,d
再,再,再,d
许可,许可,许可,nr
第三方,第三方,第三方,m
您可就本,您可就本,您可就本,l
智能,智能,智能,n
终端,终端,终端,n
载体,载体,载体,n
所有权,所有权,所有权,n
合法,合法,合法,n
转让,转让,转让,v
协议,协议,协议,n
许可,许可,许可,nr
一次性,一次性,一次性,d
永久,永久,永久,d
转让,转让,转让,v
另一方,另一方,另一方,i
 , , ,x
四,四,四,m
同意,同意,同意,d
不,不,不,d
相关,相关,相关,v
更新,更新,更新,d
内容,内容,内容,n
 , , ,x
1,1,1,m
协议,协议,协议,n
授权,授权,授权,v
之外,之外,之外,f
复制,复制,复制,v
转让,转让,转让,v
内容,内容,内容,n
 , , ,x
2,2,2,m
公司,公司,公司,n
书面,书面,书面,n
许可,许可,许可,nr
前提,前提,前提,n
下,下,下,f
提供,提供,提供,v
第三方,第三方,第三方,m
第三方,第三方,第三方,m
包括,包括,包括,v
不,不,不,d
局限于,局限于,局限于,n
下,下,下,f
运营,运营,运营,vn
代码,代码,代码,n
源代码,源代码,源代码,n
相关,相关,相关,v
服务,服务,服务,vn
 , , ,x
3,3,3,m
欺骗性,欺骗性,欺骗性,n
目的,目的,目的,n
欺骗性,欺骗性,欺骗性,n
方式,方式,方式,n
 , , ,x
4,4,4,x
删除,删除,删除,v
内,内,内,n
包含,包含,包含,v
一个,一个,一个,m
版权,版权,版权,n
声明,声明,声明,n
提示,提示,提示,v
 , , ,x
5,5,5,x
作废,作废,作废,v
改变,改变,改变,v
破坏,破坏,破坏,v
逃避,逃避,逃避,v
相关,相关,相关,v
数字,数字,数字,n
版权,版权,版权,n
管理,管理,管理,vn
 , , ,x
6,6,6,x
不当,不当,不当,d
违反,违反,违反,v
法律法规,法律法规,法律法规,n
行业,行业,行业,n
 , , ,x
五,五,五,m
存储,存储,存储,j
复制,复制,复制,v
素材,素材,素材,n
材料,材料,材料,n
时,时,时,ng
相关,相关,相关,v
权利,权利,权利,n
人,人,人,n
合法,合法,合法,n
授权,授权,授权,v
提供,提供,提供,v
素材,素材,素材,n
材料,材料,材料,n
复制,复制,复制,v
功能,功能,功能,n
仅限于,仅限于,仅限于,l
复制,复制,复制,v
相关,相关,相关,v
版权保护,版权保护,版权保护,n
素材,素材,素材,n
材料,材料,材料,n
版权保护,版权保护,版权保护,n
素材,素材,素材,n
材料,材料,材料,n
