surface,normalized,dictionary,POS
2024,2024,2024,m
年,年,年,m
2024,2024,2024,m
澳门,澳门,澳门,ns
原料,原料,原料,n
网站,网站,网站,n
-,-,-,x
免费,免费,免费,vn
完整,完整,完整,a
资料,资料,资料,n
 , , ,x
首页,首页,首页,m
 , , ,x
公牛,公牛,公牛,n
 , , ,x
公牛,公牛,公牛,n
文化,文化,文化,n
 , , ,x
发展,发展,发展,vn
历程,历程,历程,n
 , , ,x
社会,社会,社会,n
责任,责任,责任,n
 , , ,x
招贤纳士,招贤纳士,招贤纳士,nr
 , , ,x
 , , ,x
招商,招商,招商,n
加盟,加盟,加盟,ns
 , , ,x
阳光,阳光,阳光,nr
采购,采购,采购,v
 , , ,x
公牛,公牛,公牛,n
产品,产品,产品,n
 , , ,x
插座,插座,插座,n
 , , ,x
装饰,装饰,装饰,n
开关,开关,开关,v
 , , ,x
充电,充电,充电,v
桩,桩,桩,q
 , , ,x
数码,数码,数码,n
精品,精品,精品,n
 , , ,x
爱,爱,爱,v
眼,眼,眼,n
照明,照明,照明,v
 , , ,x
智能,智能,智能,n
无主灯,无主灯,无主灯,n
 , , ,x
电动工具,电动工具,电动工具,n
 , , ,x
智能,智能,智能,n
锁,锁,锁,v
 , , ,x
生活,生活,生活,vn
电器,电器,电器,n
 , , ,x
断路器,断路器,断路器,n
 , , ,x
机房,机房,机房,n
配电,配电,配电,vn
 , , ,x
储能,储能,储能,n
 , , ,x
公牛,公牛,公牛,n
转,转,转,v
插座,插座,插座,n
 , , ,x
GN,gn,GN,eng
-,-,-,x
9330,9330,9330,m
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
轨道,轨道,轨道,n
插座,插座,插座,n
 , , ,x
GB1,gb1,GB1,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
圆形,圆形,圆形,n
插座,插座,插座,n
 , , ,x
GN,gn,GN,eng
-,-,-,x
R203UQ,r203uq,R203UQ,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
木纹,木纹,木纹,n
插座,插座,插座,n
 , , ,x
GN,gn,GN,eng
-,-,-,x
R133U,r133u,R133U,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
漏电,漏电,漏电,nz
保护,保护,保护,v
插座,插座,插座,n
 , , ,x
GN,gn,GN,eng
-,-,-,x
705,705,705,m
 , , ,x
更,更,更,d
 , , ,x
一位,一位,一位,m
单极,单极,单极,n
开关,开关,开关,v
(,(,(,x
远山,远山,远山,ns
灰,灰,灰,n
),),),x
16,16,16,m
A,a,A,eng
 , , ,x
G57K111,g57k111,G57K111,eng
 , , ,x
更,更,更,d
 , , ,x
一位,一位,一位,m
中途,中途,中途,b
掣,掣,掣,v
开关,开关,开关,v
(,(,(,x
星辰,星辰,星辰,n
金,金,金,nr
),),),x
16,16,16,m
A,a,A,eng
 , , ,x
G57K134,g57k134,G57K134,eng
 , , ,x
更,更,更,d
 , , ,x
一位,一位,一位,m
双,双,双,m
控,控,控,v
开关,开关,开关,v
(,(,(,x
墨云灰,墨云灰,墨云灰,nr
),),),x
16,16,16,m
A,a,A,eng
 , , ,x
G57K112,g57k112,G57K112,eng
 , , ,x
更,更,更,d
 , , ,x
二三,二三,二三,m
极,极,极,d
+,+,+,x
二位,二位,二位,m
USB,usb,USB,eng
插座,插座,插座,n
(,(,(,x
A,a,A,eng
+,+,+,x
C,c,C,eng
/,/,/,x
远山,远山,远山,ns
灰,灰,灰,n
),),),x
 , , ,x
G57E537,g57e537,G57E537,eng
 , , ,x
更,更,更,d
 , , ,x
一位,一位,一位,m
单极,单极,单极,n
开关,开关,开关,v
白色,白色,白色,n
 , , ,x
G27K111,g27k111,G27K111,eng
 , , ,x
更,更,更,d
 , , ,x
三位,三位,三位,m
单极,单极,单极,n
开关,开关,开关,v
白色,白色,白色,n
 , , ,x
G27K311,g27k311,G27K311,eng
 , , ,x
更,更,更,d
 , , ,x
二位,二位,二位,m
小,小,小,a
二三,二三,二三,m
极,极,极,d
连体,连体,连体,a
插座,插座,插座,n
白色,白色,白色,n
 , , ,x
G27Z256,g27z256,G27Z256,eng
 , , ,x
更,更,更,d
 , , ,x
一位,一位,一位,m
双,双,双,m
控,控,控,v
+,+,+,x
二三,二三,二三,m
极,极,极,d
+,+,+,x
防过,防过,防过,v
充,充,充,ad
+,+,+,x
USB,usb,USB,eng
插座,插座,插座,n
白色,白色,白色,n
 , , ,x
G27E610,g27e610,G27E610,eng
 , , ,x
更,更,更,d
 , , ,x
二三,二三,二三,m
极,极,极,d
+,+,+,x
防过,防过,防过,v
充,充,充,ad
+,+,+,x
USB,usb,USB,eng
插座,插座,插座,n
白色,白色,白色,n
 , , ,x
G27E534,g27e534,G27E534,eng
 , , ,x
更,更,更,d
 , , ,x
高功率,高功率,高功率,n
充电,充电,充电,v
枪,枪,枪,n
智联,智联,智联,ns
款,款,款,m
 , , ,x
D2,d2,D2,eng
-,-,-,x
A32DA,a32da,A32DA,eng
 , , ,x
更,更,更,d
 , , ,x
智联,智联,智联,ns
3.5,3.5,3.5,m
kW,kw,kW,eng
充电,充电,充电,v
枪,枪,枪,n
 , , ,x
D2,d2,D2,eng
-,-,-,x
A16DA,a16da,A16DA,eng
 , , ,x
更,更,更,d
 , , ,x
智联,智联,智联,ns
款,款,款,m
交流,交流,交流,n
充电,充电,充电,v
桩,桩,桩,q
11,11,11,m
kW,kw,kW,eng
 , , ,x
D3,d3,D3,eng
-,-,-,x
A3P16B,a3p16b,A3P16B,eng
 , , ,x
更,更,更,d
 , , ,x
风尚,风尚,风尚,n
款,款,款,m
交流,交流,交流,n
充电,充电,充电,v
桩,桩,桩,q
7,7,7,m
kW,kw,kW,eng
 , , ,x
D3,d3,D3,eng
-,-,-,x
A32A,a32a,A32A,eng
 , , ,x
更,更,更,d
 , , ,x
放,放,放,v
电插座,电插座,电插座,n
 , , ,x
DF1,df1,DF1,eng
-,-,-,x
L16A,l16a,L16A,eng
-,-,-,x
606,606,606,m
D,d,D,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
小,小,小,a
电舱,电舱,电舱,n
插座,插座,插座,n
 , , ,x
GNV,gnv,GNV,eng
-,-,-,x
MC1673,mc1673,MC1673,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
星球,星球,星球,n
插座,插座,插座,n
 , , ,x
U1203Q,u1203q,U1203Q,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
智能,智能,智能,n
快,快,快,a
充,充,充,v
充电器,充电器,充电器,n
 , , ,x
AF130,af130,AF130,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
智能,智能,智能,n
快,快,快,a
充,充,充,v
充电器,充电器,充电器,n
 , , ,x
AF120,af120,AF120,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
Type,type,Type,eng
 , , ,x
C,c,C,x
-,-,-,x
Type,type,Type,eng
 , , ,x
C,c,C,x
数据线,数据线,数据线,n
 , , ,x
JCC110A,jcc110a,JCC110A,eng
 , , ,x
更,更,更,d
 , , ,x
公牛,公牛,公牛,n
Type,type,Type,eng
 , , ,x
C,c,C,x
-,-,-,x
Type,type,Type,eng
 , , ,x
C,c,C,x
数据线,数据线,数据线,n
 , , ,x
JCC110A,jcc110a,JCC110A,eng
 , , ,x
更,更,更,d
 , , ,x
X02,x02,X02,eng
-,-,-,x
方形,方形,方形,n
客厅,客厅,客厅,n
灯,灯,灯,n
 , , ,x
MX,mx,MX,eng
-,-,-,x
C175M,c175m,C175M,eng
-,-,-,x
CS,cs,CS,eng
 , , ,x
更,更,更,d
 , , ,x
X02,x02,X02,eng
-,-,-,x
方形,方形,方形,n
卧室,卧室,卧室,n
灯,灯,灯,n
 , , ,x
MX,mx,MX,eng
-,-,-,x
C115M,c115m,C115M,eng
-,-,-,x
CS,cs,CS,eng
 , , ,x
更,更,更,d
 , , ,x
X02,x02,X02,eng
-,-,-,x
圆形,圆形,圆形,n
卧室,卧室,卧室,n
灯,灯,灯,n
 , , ,x
MX,mx,MX,eng
-,-,-,x
B055M,b055m,B055M,eng
-,-,-,x
CS,cs,CS,eng
 , , ,x
更,更,更,d
 , , ,x
X08,x08,X08,eng
-,-,-,x
方形,方形,方形,n
卧室,卧室,卧室,n
灯,灯,灯,n
 , , ,x
MX,mx,MX,eng
-,-,-,x
B068P,b068p,B068P,eng
-,-,-,x
CS,cs,CS,eng
 , , ,x
更,更,更,d
 , , ,x
X08,x08,X08,eng
-,-,-,x
方形,方形,方形,n
客厅,客厅,客厅,n
灯,灯,灯,n
 , , ,x
MX,mx,MX,eng
-,-,-,x
C180P,c180p,C180P,eng
-,-,-,x
CS,cs,CS,eng
 , , ,x
更,更,更,d
 , , ,x
品轩,品轩,品轩,nr
-,-,-,x
方形,方形,方形,n
卧室,卧室,卧室,n
灯,灯,灯,n
 , , ,x
MX,mx,MX,eng
-,-,-,x
D082065A,d082065a,D082065A,eng
-,-,-,x
CS,cs,CS,eng
 , , ,x
更,更,更,d
 , , ,x
S03,s03,S03,eng
 , , ,x
磁吸,磁吸,磁吸,n
单头,单头,单头,n
射灯,射灯,射灯,n
 , , ,x
MH,mh,MH,eng
-,-,-,x
G007A,g007a,G007A,eng
-,-,-,x
ASMH,asmh,ASMH,eng
-,-,-,x
G012D,g012d,G012D,eng
-,-,-,x
ASMH,asmh,ASMH,eng
-,-,-,x
G007A,g007a,G007A,eng
-,-,-,x
MEMH,memh,MEMH,eng
-,-,-,x
G012D,g012d,G012D,eng
-,-,-,x
ME,me,ME,eng
 , , ,x
更,更,更,d
 , , ,x
S03,s03,S03,eng
 , , ,x
磁吸,磁吸,磁吸,n
线条,线条,线条,n
灯,灯,灯,n
 , , ,x
MH,mh,MH,eng
-,-,-,x
G009A,g009a,G009A,eng
-,-,-,x
ASMH,asmh,ASMH,eng
-,-,-,x
G012A,g012a,G012A,eng
-,-,-,x
ASMH,asmh,ASMH,eng
-,-,-,x
G009A,g009a,G009A,eng
-,-,-,x
MEMH,memh,MEMH,eng
-,-,-,x
G012A,g012a,G012A,eng
-,-,-,x
MEMH,memh,MEMH,eng
-,-,-,x
G018A,g018a,G018A,eng
-,-,-,x
ME,me,ME,eng
 , , ,x
更,更,更,d
 , , ,x
T05,t05,T05,eng
 , , ,x
嵌入式,嵌入式,嵌入式,nz
射灯,射灯,射灯,n
 , , ,x
MH,mh,MH,eng
-,-,-,x
K009A,k009a,K009A,eng
-,-,-,x
AE,ae,AE,eng
;,;,;,x
MH,mh,MH,eng
-,-,-,x
K009B,k009b,K009B,eng
-,-,-,x
AE,ae,AE,eng
;,;,;,x
 , , ,x
更,更,更,d
 , , ,x
G55,g55,G55,eng
 , , ,x
智能,智能,智能,n
液晶屏,液晶屏,液晶屏,n
网关,网关,网关,n
 , , ,x
G55C666A,g55c666a,G55C666A,eng
 , , ,x
更,更,更,d
 , , ,x
G55,g55,G55,eng
 , , ,x
智能,智能,智能,n
情景,情景,情景,n
调光,调光,调光,vn
开关,开关,开关,v
 , , ,x
G55C101A,g55c101a,G55C101A,eng
 , , ,x
更,更,更,d
 , , ,x
830,830,830,m
W,w,W,eng
 , , ,x
角,角,角,n
磨机,磨机,磨机,n
 , , ,x
GT500,gt500,GT500,eng
 , , ,x
更,更,更,d
 , , ,x
1800,1800,1800,m
W,w,W,eng
 , , ,x
电镐,电镐,电镐,n
 , , ,x
GT750,gt750,GT750,eng
 , , ,x
更,更,更,d
 , , ,x
20,20,20,m
V,v,V,eng
 , , ,x
锂电,锂电,锂电,nz
无刷,无刷,无刷,v
电锤,电锤,电锤,n
 , , ,x
GT762,gt762,GT762,eng
 , , ,x
更,更,更,d
 , , ,x
20,20,20,m
V,v,V,eng
 , , ,x
