surface,normalized,dictionary,POS
用户,用户,用户,n
协议,协议,协议,n
 , , ,x
申请,申请,申请,v
北京,北京,北京,ns
粉笔,粉笔,粉笔,n
蓝天,蓝天,蓝天,nr
科技,科技,科技,n
有限公司,有限公司,有限公司,n
关联方,关联方,关联方,n
简称,简称,简称,v
粉笔,粉笔,粉笔,n
提供,提供,提供,v
软件,软件,软件,n
粉笔,粉笔,粉笔,n
服务,服务,服务,vn
阅读,阅读,阅读,v
遵守,遵守,遵守,v
用户,用户,用户,n
协议,协议,协议,n
简称,简称,简称,v
协议,协议,协议,n
粉笔,粉笔,粉笔,n
网,网,网,n
隐私,隐私,隐私,b
政策,政策,政策,n
请,请,请,v
务必,务必,务必,d
审慎,审慎,审慎,a
阅读,阅读,阅读,v
理解,理解,理解,v
条款,条款,条款,n
内容,内容,内容,n
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
免除,免除,免除,v
粉笔,粉笔,粉笔,n
责任,责任,责任,n
条款,条款,条款,n
特别,特别,特别,d
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
争议,争议,争议,n
解决,解决,解决,v
法律,法律,法律,n
条款,条款,条款,n
未成年人,未成年人,未成年人,l
应,应,应,v
法定,法定,法定,n
监护人,监护人,监护人,n
陪同,陪同,陪同,v
下,下,下,f
阅读,阅读,阅读,v
 , , ,x
粉笔,粉笔,粉笔,n
提示,提示,提示,v
:,:,:,x
 , , ,x
1,1,1,x
阅读,阅读,阅读,v
协议,协议,协议,n
过程,过程,过程,n
中,中,中,f
不,不,不,d
同意,同意,同意,d
协议,协议,协议,n
选择,选择,选择,v
停止使用,停止使用,停止使用,i
注册,注册,注册,v
程序,程序,程序,n
过程,过程,过程,n
中,中,中,f
点击,点击,点击,v
同意,同意,同意,d
按钮,按钮,按钮,n
接受,接受,接受,v
协议,协议,协议,n
项下,项下,项下,n
条款,条款,条款,n
 , , ,x
2,2,2,m
提供,提供,提供,v
更好,更好,更好,d
服务,服务,服务,vn
或因,或因,或因,c
国家,国家,国家,n
法律法规,法律法规,法律法规,n
政策,政策,政策,n
调整,调整,调整,vn
技术,技术,技术,n
条件,条件,条件,n
产品,产品,产品,n
功能,功能,功能,n
变化,变化,变化,vn
公司,公司,公司,n
会,会,会,v
适时,适时,适时,ad
协议,协议,协议,n
修订,修订,修订,v
修订,修订,修订,v
内容,内容,内容,n
