surface,normalized,dictionary,POS
MasterGo,mastergo,MasterGo,eng
 , , ,x
隐私,隐私,隐私,b
协议,协议,协议,n
 , , ,x
更新,更新,更新,d
生效,生效,生效,n
日期,日期,日期,t
2023,2023,2023,m
年,年,年,m
08,08,08,m
月,月,月,m
24,24,24,m
日,日,日,m
 , , ,x
北京,北京,北京,ns
创作,创作,创作,vn
美好,美好,美好,a
科技,科技,科技,n
有限公司,有限公司,有限公司,n
/,/,/,x
或其,或其,或其,c
关联,关联,关联,ns
⽅,⽅,⽅,x
北京,北京,北京,ns
尽微,尽微,尽微,d
致广,致广,致广,v
信息技术,信息技术,信息技术,n
有限公司,有限公司,有限公司,n
简称,简称,简称,v
创作,创作,创作,vn
美好,美好,美好,a
尊重,尊重,尊重,a
保护,保护,保护,v
个人信息,个人信息,个人信息,n
⾼,⾼,⾼,x
度,度,度,zg
勤勉,勤勉,勤勉,ad
审慎,审慎,审慎,a
义务,义务,义务,n
对待,对待,对待,v
信息,信息,信息,n
访问,访问,访问,v
 , , ,x
MasterGo,mastergo,MasterGo,eng
 , , ,x
创作,创作,创作,vn
美好,美好,美好,a
提供,提供,提供,v
服务,服务,服务,vn
时,时,时,n
隐私,隐私,隐私,b
协议,协议,协议,n
简称,简称,简称,v
协议,协议,协议,n
收集,收集,收集,v
披露,披露,披露,v
信息,信息,信息,n
服务,服务,服务,vn
载体,载体,载体,n
包括,包括,包括,v
网站,网站,网站,n
PC,pc,PC,eng
端,端,端,v
软件,软件,软件,n
端,端,端,v
App,app,App,eng
微信,微信,微信,vn
公众,公众,公众,n
号,号,号,m
微信,微信,微信,vn
小,小,小,n
程序,程序,程序,n
希望,希望,希望,v
协议,协议,协议,n
清晰,清晰,清晰,a
介绍,介绍,介绍,v
信息,信息,信息,n
⽅,⽅,⽅,x
式,式,式,k
维护,维护,维护,v
⾃,⾃,⾃,x
⼰,⼰,⼰,x
个人信息,个人信息,个人信息,n
⽅,⽅,⽅,x
式,式,式,k
 , , ,x
接受,接受,接受,v
协议,协议,协议,n
请,请,请,v
仔细阅读,仔细阅读,仔细阅读,n
全部内容,全部内容,全部内容,n
特别,特别,特别,d
粗体,粗体,粗体,a
标识,标识,标识,n
条款,条款,条款,n
应,应,应,v
重点,重点,重点,n
阅读,阅读,阅读,v
确认,确认,确认,v
理解,理解,理解,v
同意,同意,同意,d
后,后,后,f
监护人,监护人,监护人,n
不,不,不,d
同意,同意,同意,d
隐私,隐私,隐私,b
协议,协议,协议,n
内容,内容,内容,n
停止使用,停止使用,停止使用,i
⽆,⽆,⽆,x
法,法,法,j
准确,准确,准确,a
理解,理解,理解,v
不,不,不,d
同意,同意,同意,d
协议,协议,协议,n
⼀,⼀,⼀,x
内容,内容,内容,n
请,请,请,v
访问,访问,访问,v
 , , ,x
MasterGo,mastergo,MasterGo,eng
 , , ,x
创作,创作,创作,vn
美好,美好,美好,a
提供,提供,提供,v
服务,服务,服务,vn
⽹,⽹,⽹,x
络,络,络,v
⻚,⻚,⻚,x
⾯,⾯,⾯,x
点击,点击,点击,v
确认,确认,确认,v
 , , ,x
MasterGo,mastergo,MasterGo,eng
 , , ,x
服务,服务,服务,vn
创作,创作,创作,vn
美好,美好,美好,a
提供,提供,提供,v
服务,服务,服务,vn
操作,操作,操作,v
均,均,均,d
已,已,已,d
阅读,阅读,阅读,v
理解,理解,理解,v
协议,协议,协议,n
内容,内容,内容,n
受,受,受,v
约束,约束,约束,vn
 , , ,x
协议,协议,协议,n
MasterGo,mastergo,MasterGo,eng
服务,服务,服务,vn
协议,协议,协议,n
不可分割,不可分割,不可分割,l
一部分,一部分,一部分,m
协议,协议,协议,n
内容,内容,内容,n
疑问,疑问,疑问,v
意见,意见,意见,n
建议您,建议您,建议您,nr
协议,协议,协议,n
中,中,中,f
