surface,normalized,dictionary,POS
用户,用户,用户,n
许可,许可,许可,nr
服务,服务,服务,vn
协议,协议,协议,n
 , , ,x
|,|,|,x
 , , ,x
ChillyRoom,chillyroom,ChillyRoom,eng
 , , ,x
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
 , , ,x
客服,客服,客服,n
支持,支持,支持,v
 , , ,x
博客,博客,博客,nr
 , , ,x
 , , ,x
新游,新游,新游,n
测试,测试,测试,vn
 , , ,x
简体中文,简体中文,简体中文,nr
 , , ,x
English,english,English,eng
 , , ,x
Toggle,toggle,Toggle,eng
 , , ,x
navigation,navigation,navigation,eng
 , , ,x
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
用户,用户,用户,n
许可,许可,许可,nr
服务,服务,服务,vn
协议,协议,协议,n
 , , ,x
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
用户,用户,用户,n
许可,许可,许可,nr
服务,服务,服务,vn
协议,协议,协议,n
简称,简称,简称,v
协议,协议,协议,n
深圳市,深圳市,深圳市,ns
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
科技,科技,科技,n
有限公司,有限公司,有限公司,n
又称,又称,又称,n
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
缔结,缔结,缔结,v
协议,协议,协议,n
合同,合同,合同,a
效力,效力,效力,n
保障,保障,保障,v
合法权益,合法权益,合法权益,n
请,请,请,v
仔细阅读,仔细阅读,仔细阅读,n
协议,协议,协议,n
未成年人,未成年人,未成年人,l
法定,法定,法定,n
监护人,监护人,监护人,n
陪同,陪同,陪同,v
下,下,下,f
阅读,阅读,阅读,v
请,请,请,v
同意,同意,同意,d
接受,接受,接受,v
协议,协议,协议,n
条款,条款,条款,n
前,前,前,f
务必,务必,务必,d
审慎,审慎,审慎,a
阅读,阅读,阅读,v
理解,理解,理解,v
条款,条款,条款,n
内容,内容,内容,n
特别,特别,特别,d
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
开通,开通,开通,v
某项,某项,某项,r
服务,服务,服务,vn
单独,单独,单独,d
协议,协议,协议,n
免责,免责,免责,v
条款,条款,条款,n
黑体,黑体,黑体,n
加粗,加粗,加粗,nr
形式,形式,形式,n
提示,提示,提示,v
 , , ,x
接收,接收,接收,v
下载安装,下载安装,下载安装,l
启动,启动,启动,vn
升级,升级,升级,vn
登录,登录,登录,v
显示,显示,显示,v
运行,运行,运行,v
截,截,截,v
屏本,屏本,屏本,n
软件,软件,软件,n
软件,软件,软件,n
某项,某项,某项,r
功能,功能,功能,n
一部分,一部分,一部分,m
方式,方式,方式,n
游戏软件,游戏软件,游戏软件,l
视为,视为,视为,v
同意,同意,同意,d
接受,接受,接受,v
用户,用户,用户,n
协议,协议,协议,n
接受,接受,接受,v
用户,用户,用户,n
协议,协议,协议,n
条款,条款,条款,n
约束,约束,约束,vn
 , , ,x
未满,未满,未满,v
18,18,18,m
周岁,周岁,周岁,m
请,请,请,v
法定,法定,法定,n
监护人,监护人,监护人,n
陪同,陪同,陪同,v
下,下,下,f
阅读,阅读,阅读,v
协议,协议,协议,n
特别,特别,特别,d
未成年人,未成年人,未成年人,l
条款,条款,条款,n
 , , ,x
协议,协议,协议,n
发生,发生,发生,v
变更,变更,变更,v
方式,方式,方式,n
作出,作出,作出,v
公布,公布,公布,v
提示,提示,提示,v
变更,变更,变更,v
后,后,后,f
服务,服务,服务,vn
条款,条款,条款,n
公布,公布,公布,v
服务,服务,服务,vn
条款,条款,条款,n
不,不,不,d
同意,同意,同意,d
服务,服务,服务,vn
条款,条款,条款,n
变更,变更,变更,v
应,应,应,v
停止使用,停止使用,停止使用,i
主动,主动,主动,b
取消,取消,取消,v
相关,相关,相关,v
服务,服务,服务,vn
相关,相关,相关,v
服务,服务,服务,vn
包括,包括,包括,v
不,不,不,d
限于,限于,限于,v
下载安装,下载安装,下载安装,l
启动,启动,启动,vn
升级,升级,升级,vn
登录,登录,登录,v
视为,视为,视为,v
相关,相关,相关,v
变更,变更,变更,v
条款,条款,条款,n
理解,理解,理解,v
接受,接受,接受,v
开发者,开发者,开发者,n
用户,用户,用户,n
同意,同意,同意,d
理解,理解,理解,v
遵循,遵循,遵循,v
条款,条款,条款,n
条款,条款,条款,n
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
提供,提供,提供,v
游戏,游戏,游戏,n
服务,服务,服务,vn
开发者,开发者,开发者,n
相关,相关,相关,v
服务,服务,服务,vn
涉及,涉及,涉及,v
类似,类似,类似,v
相关,相关,相关,v
情形,情形,情形,n
均,均,均,d
约束力,约束力,约束力,n
 , , ,x
第一章,第一章,第一章,m
 , , ,x
定义,定义,定义,n
 , , ,x
无,无,无,v
特别,特别,特别,d
术语,术语,术语,n
协议,协议,协议,n
中,中,中,f
含义,含义,含义,n
 , , ,x
1.1,1.1,1.1,m
 , , ,x
协议,协议,协议,n
 , , ,x
指本,指本,指本,n
协议,协议,协议,n
正文,正文,正文,nz
游戏规则,游戏规则,游戏规则,n
修订,修订,修订,v
版本,版本,版本,n
内容,内容,内容,n
一经,一经,一经,d
正式,正式,正式,ad
发布,发布,发布,v
即为,即为,即为,c
协议,协议,协议,n
不可分割,不可分割,不可分割,l
组成部分,组成部分,组成部分,l
 , , ,x
1.2,1.2,1.2,m
 , , ,x
游戏规则,游戏规则,游戏规则,n
 , , ,x
指,指,指,n
服务,服务,服务,vn
提供,提供,提供,v
方凉,方凉,方凉,nr
屋,屋,屋,s
游戏,游戏,游戏,n
不时,不时,不时,c
发布,发布,发布,v
修订,修订,修订,v
凉屋,凉屋,凉屋,n
游戏,游戏,游戏,n
用户,用户,用户,n
守则,守则,守则,n
玩家,玩家,玩家,n
条例,条例,条例,n
游戏,游戏,游戏,n
公告,公告,公告,n
通知,通知,通知,v
内容,内容,内容,n
 , , ,x
1.3,1.3,1.3,m
 , , ,x
服务,服务,服务,vn
提供,提供,提供,v
方,方,方,n
 , , ,x
指向,指向,指向,n
提供,提供,提供,v
