surface,normalized,dictionary,POS
ISO27001,iso27001,ISO27001,eng
信息安全,信息安全,信息安全,nz
管理体系,管理体系,管理体系,n
认证,认证,认证,v
 , , ,x
返回,返回,返回,v
 , , ,x
ISO27001,iso27001,ISO27001,eng
信息安全,信息安全,信息安全,nz
管理体系,管理体系,管理体系,n
认证,认证,认证,v
 , , ,x
115,115,115,m
科技,科技,科技,n
2015,2015,2015,m
年,年,年,m
12,12,12,m
月,月,月,m
11,11,11,m
日,日,日,m
ISO,iso,ISO,eng
/,/,/,x
IEC,iec,IEC,eng
 , , ,x
27001,27001,27001,m
:,:,:,x
2013,2013,2013,m
简称,简称,简称,v
ISO27001,iso27001,ISO27001,eng
信息安全,信息安全,信息安全,nz
管理体系,管理体系,管理体系,n
认证,认证,认证,v
国内,国内,国内,s
最早,最早,最早,d
认证,认证,认证,v
云,云,云,n
服务提供商,服务提供商,服务提供商,n
 , , ,x
ISO27001,iso27001,ISO27001,eng
国际,国际,国际,n
上,上,上,f
针对,针对,针对,p
信息安全,信息安全,信息安全,nz
权威认证,权威认证,权威认证,n
标准,标准,标准,n
BSI,bsi,BSI,eng
倡导,倡导,倡导,v
制定,制定,制定,v
BSI,bsi,BSI,eng
国际标准化组织,国际标准化组织,国际标准化组织,nt
(,(,(,x
ISO,iso,ISO,eng
),),),x
国际电工委员会,国际电工委员会,国际电工委员会,nt
(,(,(,x
IEC,iec,IEC,eng
),),),x
欧洲,欧洲,欧洲,ns
标准化,标准化,标准化,vn
委员会,委员会,委员会,n
(,(,(,x
CEN,cen,CEN,eng
),),),x
欧洲,欧洲,欧洲,ns
电工,电工,电工,n
标准化,标准化,标准化,vn
委员会,委员会,委员会,n
CENELEC,cenelec,CENELEC,eng
欧洲,欧洲,欧洲,ns
电信,电信,电信,n
标准,标准,标准,n
学会,学会,学会,n
(,(,(,x
ETSI,etsi,ETSI,eng
),),),x
创始,创始,创始,v
成员,成员,成员,n
广为人知,广为人知,广为人知,l
ISO9000,iso9000,ISO9000,eng
系列,系列,系列,q
管理,管理,管理,vn
标准,标准,标准,n
BSI,bsi,BSI,eng
倡导,倡导,倡导,v
制定,制定,制定,v
 , , ,x
信息安全,信息安全,信息安全,nz
管理,管理,管理,vn
英国,英国,英国,ns
标准,标准,标准,n
ISO27001,iso27001,ISO27001,eng
:,:,:,x
2013,2013,2013,m
前身,前身,前身,r
ISO27001,iso27001,ISO27001,eng
:,:,:,x
2005,2005,2005,m
世界,世界,世界,n
上,上,上,f
最,最,最,d
权威,权威,权威,nr
最,最,最,d
典型,典型,典型,n
信息安全,信息安全,信息安全,nz
管理,管理,管理,vn
标准,标准,标准,n
定义,定义,定义,n
11,11,11,m
信息安全,信息安全,信息安全,nz
控制,控制,控制,v
域,域,域,n
133,133,133,m
控制,控制,控制,v
项,项,项,n
旨在,旨在,旨在,v
企业,企业,企业,n
安全策略,安全策略,安全策略,n
制度,制度,制度,n
操作,操作,操作,v
管理,管理,管理,vn
流程,流程,流程,n
统一,统一,统一,vn
信息安全,信息安全,信息安全,nz
管理体系,管理体系,管理体系,n
115,115,115,m
科技,科技,科技,n
认证,认证,认证,v
范畴,范畴,范畴,nr
覆盖,覆盖,覆盖,v
云,云,云,ns
存储,存储,存储,j
云,云,云,ns
社区,社区,社区,n
机构,机构,机构,n
组织,组织,组织,v
信息化,信息化,信息化,n
云,云,云,ns
平台,平台,平台,n
设计,设计,设计,vn
研发,研发,研发,j
服务,服务,服务,vn
信息安全,信息安全,信息安全,nz
管理,管理,管理,vn
 , , ,x
伴随,伴随,伴随,v
云,云,云,n
计算,计算,计算,v
高速,高速,高速,d
发展,发展,发展,vn
普及,普及,普及,ns
随之而来,随之而来,随之而来,l
全新,全新,全新,d
网络,网络,网络,n
威胁,威胁,威胁,vn
数据,数据,数据,n
泄漏,泄漏,泄漏,v
欺诈,欺诈,欺诈,vn
风险,风险,风险,n
全球,全球,全球,n
内,内,内,n
引发,引发,引发,v
诸多,诸多,诸多,m
危机,危机,危机,n
云,云,云,ns
服务商,服务商,服务商,n
来说,来说,来说,u
客户,客户,客户,n
数据,数据,数据,n
信息,信息,信息,n
无疑,无疑,无疑,d
企业,企业,企业,n
最,最,最,d
资产,资产,资产,n
发生,发生,发生,v
