surface,normalized,dictionary,POS
用户,用户,用户,n
协议,协议,协议,n
 , , ,x
更新,更新,更新,d
日期,日期,日期,t
2022,2022,2022,m
年,年,年,m
09,09,09,m
月,月,月,m
01,01,01,m
日,日,日,m
 , , ,x
生效,生效,生效,n
日期,日期,日期,t
2022,2022,2022,m
年,年,年,m
09,09,09,m
月,月,月,m
15,15,15,m
日,日,日,m
 , , ,x
1.,1.,1.,m
 , , ,x
导言,导言,导言,n
 , , ,x
1.1,1.1,1.1,m
 , , ,x
欢迎您,欢迎您,欢迎您,l
 , , ,x
Billfish,billfish,Billfish,eng
产品,产品,产品,n
相关,相关,相关,v
服务,服务,服务,vn
 , , ,x
Billfish,billfish,Billfish,eng
产品,产品,产品,n
相关,相关,相关,v
服务,服务,服务,vn
下称,下称,下称,v
产品,产品,产品,n
相关,相关,相关,v
服务,服务,服务,vn
系指,系指,系指,n
苏州,苏州,苏州,ns
长嘴,长嘴,长嘴,ns
鱼,鱼,鱼,n
软件,软件,软件,n
有限公司,有限公司,有限公司,n
关联方,关联方,关联方,n
简称,简称,简称,v
我方,我方,我方,r
合法,合法,合法,n
拥有,拥有,拥有,v
运营,运营,运营,vn
标注,标注,标注,v
名称,名称,名称,n
Billfish,billfish,Billfish,eng
产品,产品,产品,n
提供,提供,提供,v
各项,各项,各项,r
功能,功能,功能,n
服务,服务,服务,vn
用户,用户,用户,n
协议,协议,协议,n
称,称,称,v
协议,协议,协议,n
我方,我方,我方,r
访问,访问,访问,v
注册,注册,注册,v
登录,登录,登录,v
安装,安装,安装,v
统称,统称,统称,v
产品,产品,产品,n
相关,相关,相关,v
服务,服务,服务,vn
订立,订立,订立,v
协议,协议,协议,n
 , , ,x
1.2,1.2,1.2,m
 , , ,x
更好,更好,更好,d
提供,提供,提供,v
服务,服务,服务,vn
请,请,请,v
产品,产品,产品,n
相关,相关,相关,v
服务,服务,服务,vn
阅读,阅读,阅读,v
理解,理解,理解,v
协议,协议,协议,n
特别,特别,特别,d
涉及,涉及,涉及,v
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
权利,权利,权利,n
许可,许可,许可,nr
信息,信息,信息,n
条款,条款,条款,n
法律,法律,法律,n
争议,争议,争议,n
解决,解决,解决,v
条款,条款,条款,n
免除,免除,免除,v
责任,责任,责任,n
条款,条款,条款,n
内容,内容,内容,n
加粗,加粗,加粗,nr
