Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
|,|,キゴウ,|,補助記号,一般,*,*,*,*,False,*,*
ABC,ABC,エービーシー,ABC,名詞,固有名詞,一般,*,*,*,False,*,*
クリニック,クリニック,クリニック,クリニック,名詞,普通名詞,一般,*,*,*,False,*,*
美容外科,美容外科,ビヨウゲカ,美容外科,名詞,固有名詞,一般,*,*,*,False,美容-外科,美容-外科
（,(,キゴウ,(,補助記号,括弧開,*,*,*,*,False,*,*
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
）,),キゴウ,),補助記号,括弧閉,*,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
ABC,ABC,エービーシー,ABC,名詞,固有名詞,一般,*,*,*,False,*,*
クリニック,クリニック,クリニック,クリニック,名詞,普通名詞,一般,*,*,*,False,*,*
健康保険,健康保険,ケンコウホケン,健康保険,名詞,普通名詞,一般,*,*,*,False,健康-保険,健康-保険
適用,適用,テキヨウ,適用,名詞,普通名詞,サ変可能,*,*,*,False,*,*
さ,為る,サ,する,動詞,非自立可能,*,*,サ行変格,未然形-サ,False,*,*
自由診療,自由診療,ジユウシンリョウ,自由診療,名詞,固有名詞,一般,*,*,*,False,自由-診療,自由-診療
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
メール,メール,メール,メール,名詞,普通名詞,サ変可能,*,*,*,False,*,*
相談,相談,ソウダン,相談,名詞,普通名詞,サ変可能,*,*,*,False,*,*
オンライン,オンライン,オンライン,オンライン,名詞,普通名詞,一般,*,*,*,False,*,*
予約,予約,ヨヤク,予約,名詞,普通名詞,サ変可能,*,*,*,False,*,*
治療,治療,チリョウ,治療,名詞,普通名詞,サ変可能,*,*,*,False,*,*
後,後,ゴ,後,接尾辞,名詞的,副詞可能,*,*,*,False,*,*
検診,検診,ケンシン,検診,名詞,普通名詞,サ変可能,*,*,*,False,*,*
予約,予約,ヨヤク,予約,名詞,普通名詞,サ変可能,*,*,*,False,*,*
各院,各院,カクイン,各院,名詞,普通名詞,一般,*,*,*,False,*,*
直通,直通,チョクツウ,直通,名詞,普通名詞,サ変可能,*,*,*,False,*,*
フリーダイヤル,フリーダイヤル,フリーダイヤル,フリーダイヤル,名詞,固有名詞,一般,*,*,*,False,フリー-ダイヤル,フリー-ダイヤル
只今,只今,タダイマ,只今,名詞,普通名詞,副詞可能,*,*,*,False,*,*
電話,電話,デンワ,電話,名詞,普通名詞,サ変可能,*,*,*,False,*,*
大変,大変,タイヘン,大変,副詞,*,*,*,*,*,False,*,*
混み合っ,混み合う,コミアッ,混み合う,動詞,一般,*,*,五段-ワア行,連用形-促音便,False,*,混み-合っ
おり,おる,オリ,おる,動詞,非自立可能,*,*,五段-ラ行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
電話,電話,デンワ,電話,名詞,普通名詞,サ変可能,*,*,*,False,*,*
繋がら,繋がる,ツナガラ,繋がる,動詞,一般,*,*,五段-ラ行,未然形-一般,False,*,*
場合,場合,バアイ,場合,名詞,普通名詞,副詞可能,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
繰り返し,繰り返す,クリカエシ,繰り返す,動詞,一般,*,*,五段-サ行,連用形-一般,False,*,繰り-返し
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
電話,電話,デンワ,電話,名詞,普通名詞,サ変可能,*,*,*,False,*,*
下さい,下さる,クダサイ,下さる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
MENU,メニュー,メニュー,menu,名詞,普通名詞,一般,*,*,*,False,*,*
メニュー,メニュー,メニュー,メニュー,名詞,普通名詞,一般,*,*,*,False,*,*
閉じる,閉じる,トジル,閉じる,動詞,一般,*,*,上一段-ザ行,終止形-一般,False,*,*
初めて,初めて,ハジメテ,初めて,副詞,*,*,*,*,*,False,*,*
患者,患者,カンジャ,患者,名詞,普通名詞,一般,*,*,*,False,*,*
様,様,サマ,様,接尾辞,名詞的,一般,*,*,*,False,*,*
包茎,包茎,ホウケイ,包茎,名詞,普通名詞,一般,*,*,*,False,*,*
治療,治療,チリョウ,治療,名詞,普通名詞,サ変可能,*,*,*,False,*,*
包茎,包茎,ホウケイ,包茎,名詞,普通名詞,一般,*,*,*,False,*,*
治療,治療,チリョウ,治療,名詞,普通名詞,サ変可能,*,*,*,False,*,*
包茎,包茎,ホウケイ,包茎,名詞,普通名詞,一般,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
悩み,悩み,ナヤミ,悩み,名詞,普通名詞,一般,*,*,*,False,*,*
患者,患者,カンジャ,患者,名詞,普通名詞,一般,*,*,*,False,*,*
様,様,サマ,様,接尾辞,名詞的,一般,*,*,*,False,*,*
包茎手術,包茎手術,ホウケイシュジュツ,包茎手術,名詞,普通名詞,一般,*,*,*,False,包茎-手術,包茎-手術
基礎知識,基礎知識,キソチシキ,基礎知識,名詞,普通名詞,一般,*,*,*,False,基礎-知識,基礎-知識
包茎,包茎,ホウケイ,包茎,名詞,普通名詞,一般,*,*,*,False,*,*
治療,治療,チリョウ,治療,名詞,普通名詞,サ変可能,*,*,*,False,*,*
治療費,治療費,チリョウヒ,治療費,名詞,普通名詞,一般,*,*,*,False,*,治療-費
包茎,包茎,ホウケイ,包茎,名詞,普通名詞,一般,*,*,*,False,*,*
