Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
DECORTÉ,decorté,decorté,decorté,名詞,普通名詞,一般,*,*,*,True,*,*
コスメデコルテ,COSME DECORTE,コスメデコルテ,コスメデコルテ,名詞,固有名詞,一般,*,*,*,False,コスメ-デコルテ,コスメ-デコルテ
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
オンライン,オンライン,オンライン,オンライン,名詞,普通名詞,一般,*,*,*,False,*,*
ブティック,ブティック,ブティック,ブティック,名詞,普通名詞,一般,*,*,*,False,*,*
DECORTÉ,decorté,decorté,decorté,名詞,普通名詞,一般,*,*,*,True,*,*
正規,正規,セイキ,正規,名詞,普通名詞,一般,*,*,*,False,*,*
品,品,ヒン,品,接尾辞,名詞的,一般,*,*,*,False,*,*
保証,保証,ホショウ,保証,名詞,普通名詞,サ変可能,*,*,*,False,*,*
MENU,メニュー,メニュー,menu,名詞,普通名詞,一般,*,*,*,False,*,*
search,サーチ,サーチ,Search,名詞,普通名詞,一般,*,*,*,False,*,*
mypage,mypage,mypage,mypage,名詞,普通名詞,一般,*,*,*,True,*,*
cart,カート,カート,cart,名詞,普通名詞,一般,*,*,*,False,*,*
定期便,定期便,テイキビン,定期便,名詞,普通名詞,一般,*,*,*,False,*,定期-便
リポソーム,リポソーム,リポソーム,リポソーム,名詞,普通名詞,一般,*,*,*,False,*,*
アドバンスト,アドバンスト,アドバンスト,アドバンスト,名詞,普通名詞,一般,*,*,*,False,*,*
リペア,リペアー,リペア,リペア,名詞,普通名詞,一般,*,*,*,False,*,*
セラム,セラム,セラム,セラム,名詞,普通名詞,一般,*,*,*,False,*,*
キット,キット,キット,キット,名詞,普通名詞,一般,*,*,*,False,*,*
定期,定期,テイキ,定期,名詞,普通名詞,一般,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
届け,届ける,トドケ,届ける,動詞,一般,*,*,下一段-カ行,連用形-一般,False,*,*
便,便,ビン,便,名詞,普通名詞,一般,*,*,*,False,*,*
リポソーム,リポソーム,リポソーム,リポソーム,名詞,普通名詞,一般,*,*,*,False,*,*
アドバンスト,アドバンスト,アドバンスト,アドバンスト,名詞,普通名詞,一般,*,*,*,False,*,*
リペア,リペアー,リペア,リペア,名詞,普通名詞,一般,*,*,*,False,*,*
クリーム,クリーム,クリーム,クリーム,名詞,普通名詞,一般,*,*,*,False,*,*
定期,定期,テイキ,定期,名詞,普通名詞,一般,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
届け,届ける,トドケ,届ける,動詞,一般,*,*,下一段-カ行,連用形-一般,False,*,*
便,便,ビン,便,名詞,普通名詞,一般,*,*,*,False,*,*
ホワイトロジスト,ホワイトロジスト,ホワイトロジスト,ホワイトロジスト,名詞,普通名詞,一般,*,*,*,False,*,*
ネオジェネシス,Neo genesis,ネオジェネシス,ネオジェネシス,名詞,固有名詞,一般,*,*,*,False,ネオ-ジェネシス,ネオ-ジェネシス
ブライトニング,ブライトニング,ブライトニング,ブライトニング,名詞,普通名詞,一般,*,*,*,False,*,*
コンセント,コンセント,コンセント,コンセント,名詞,普通名詞,一般,*,*,*,False,*,*
レイト,レイト,レイト,レイト,名詞,普通名詞,一般,*,*,*,False,*,*
定期,定期,テイキ,定期,名詞,普通名詞,一般,*,*,*,False,*,*
