Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
経済,経済,ケイザイ,経済,名詞,普通名詞,一般,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
経済,経済,ケイザイ,経済,名詞,普通名詞,一般,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
世界,世界,セカイ,世界,名詞,普通名詞,一般,*,*,*,False,*,*
株価,株価,カブカ,株価,名詞,普通名詞,一般,*,*,*,False,*,*
日経,日経,ニッケイ,日経,名詞,固有名詞,一般,*,*,*,False,*,*
先物,先物,サキモノ,先物,名詞,普通名詞,一般,*,*,*,False,*,*
日経平均,日経平均,ニッケイヘイキン,日経平均,名詞,固有名詞,一般,*,*,*,False,日経-平均,日経-平均
上海,上海,シャンハイ,上海,名詞,固有名詞,地名,一般,*,*,False,*,*
総合,総合,ソウゴウ,総合,名詞,普通名詞,サ変可能,*,*,*,False,*,*
欧州,欧州,オウシュウ,欧州,名詞,固有名詞,地名,一般,*,*,False,*,*
株価,株価,カブカ,株価,名詞,普通名詞,一般,*,*,*,False,*,*
NYダウ,NYダウ,ニューヨークダウ,NYダウ,名詞,固有名詞,一般,*,*,*,False,NY-ダウ,NY-ダウ
原油価格,原油価格,ゲンユカカク,原油価格,名詞,普通名詞,一般,*,*,*,False,原油-価格,原油-価格
為替,為替,カワセ,為替,名詞,普通名詞,一般,*,*,*,False,*,*
ビット,ビット,ビット,ビット,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
コイン,コイン,コイン,コイン,名詞,普通名詞,一般,*,*,*,False,*,*
ADR,ADR,エーディーアール,ADR,名詞,普通名詞,一般,*,*,*,False,*,*
2024,2024,ニレイニヨン,2024,名詞,数詞,*,*,*,*,True,*,*
6,6,ロク,6,名詞,数詞,*,*,*,*,False,*,*
29,29,ニキュウ,29,名詞,数詞,*,*,*,*,True,*,*
土曜日,土曜日,ドヨウビ,土曜日,名詞,普通名詞,副詞可能,*,*,*,False,*,土曜-日
Tokyo,TOKYO,トウキョウ,TOKYO,名詞,固有名詞,地名,一般,*,*,False,*,*
16,16,イチロク,16,名詞,数詞,*,*,*,*,True,*,*
53,53,ゴサン,53,名詞,数詞,*,*,*,*,True,*,*
London,ロンドン,ロンドン,London,名詞,固有名詞,地名,一般,*,*,False,*,*
08,08,レイハチ,08,名詞,数詞,*,*,*,*,True,*,*
53,53,ゴサン,53,名詞,数詞,*,*,*,*,True,*,*
NewYork,ニューヨーク,ニューヨーク,NewYork,名詞,固有名詞,地名,一般,*,*,False,*,*
03,03,レイサン,03,名詞,数詞,*,*,*,*,True,*,*
53,53,ゴサン,53,名詞,数詞,*,*,*,*,True,*,*
リアルタイム,リアルタイム,リアルタイム,リアルタイム,名詞,普通名詞,一般,*,*,*,False,リアル-タイム,リアル-タイム
市況,市況,シキョウ,市況,名詞,普通名詞,一般,*,*,*,False,*,*
Parts,パーツ,パーツ,parts,名詞,普通名詞,一般,*,*,*,False,*,*
日経平均株価,日経平均株価,ニッケイヘイキンカブカ,日経平均株価,名詞,固有名詞,一般,*,*,*,False,日経-平均-株価,日経-平均-株価
06,06,レイロク,06,名詞,数詞,*,*,*,*,True,*,*
28,28,ニハチ,28,名詞,数詞,*,*,*,*,True,*,*
39,39,サンキュウ,39,名詞,数詞,*,*,*,*,True,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
583.08,583.08,ゴハチサン．レイハチ,583.08,名詞,数詞,*,*,*,*,True,*,*
0.61,0.61,レイ．ロクイチ,0.61,名詞,数詞,*,*,*,*,True,*,*
%,%,パーセント,%,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
ダウ平均株価,ダウ平均株価,ダウヘイキンカブカ,ダウ平均株価,名詞,普通名詞,一般,*,*,*,False,ダウ-平均-株価,ダウ-平均-株価
06,06,レイロク,06,名詞,数詞,*,*,*,*,True,*,*
28,28,ニハチ,28,名詞,数詞,*,*,*,*,True,*,*
39,39,サンキュウ,39,名詞,数詞,*,*,*,*,True,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
118.86,118.86,イチイチハチ．ハチロク,118.86,名詞,数詞,*,*,*,*,True,*,*
0.12,0.12,レイ．イチニ,0.12,名詞,数詞,*,*,*,*,True,*,*
%,%,パーセント,%,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
為替,為替,カワセ,為替,名詞,普通名詞,一般,*,*,*,False,*,*
ドル円,ドル円,ドルエン,ドル円,名詞,固有名詞,一般,*,*,*,False,ドル-円,ドル-円
06,06,レイロク,06,名詞,数詞,*,*,*,*,True,*,*
59,59,ゴキュウ,59,名詞,数詞,*,*,*,*,True,*,*
160.881,160.881,イチロクレイ．ハチハチイチ,160.881,名詞,数詞,*,*,*,*,True,*,*
0.09,0.09,レイ．レイキュウ,0.09,名詞,数詞,*,*,*,*,True,*,*
%,%,パーセント,%,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
世界,世界,セカイ,世界,名詞,普通名詞,一般,*,*,*,False,*,*
株価,株価,カブカ,株価,名詞,普通名詞,一般,*,*,*,False,*,*
携帯,携帯,ケイタイ,携帯,名詞,普通名詞,サ変可能,*,*,*,False,*,*
CME,CME,シーエムイー,CME,名詞,固有名詞,一般,*,*,*,False,*,*
ADR,ADR,エーディーアール,ADR,名詞,普通名詞,一般,*,*,*,False,*,*
人気,人気,ニンキ,人気,名詞,普通名詞,一般,*,*,*,False,*,*
コンテンツ,コンテンツ,コンテンツ,コンテンツ,名詞,普通名詞,一般,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
位,位,イ,位,接尾辞,名詞的,一般,*,*,*,False,*,*
NYダウ,NYダウ,ニューヨークダウ,NYダウ,名詞,固有名詞,一般,*,*,*,False,NY-ダウ,NY-ダウ
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
位,位,イ,位,接尾辞,名詞的,一般,*,*,*,False,*,*
日経,日経,ニッケイ,日経,名詞,固有名詞,一般,*,*,*,False,*,*
