Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
スポーツ報知,スポーツ報知,スポーツホウチ,スポーツ報知,名詞,固有名詞,一般,*,*,*,False,スポーツ-報知,スポーツ-報知
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ
競馬,競馬,ケイバ,競馬,名詞,普通名詞,一般,*,*,*,False,*,*
専門,専門,センモン,専門,名詞,普通名詞,一般,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
馬,馬,バ,馬,名詞,固有名詞,人名,姓,*,*,False,*,*
トク,トク,トク,トク,名詞,固有名詞,人名,名,*,*,False,*,*
今,今,イマ,今,名詞,普通名詞,副詞可能,*,*,*,False,*,*
新規,新規,シンキ,新規,形状詞,一般,*,*,*,*,False,*,*
会員登録,会員登録,カイイントウロク,会員登録,名詞,普通名詞,サ変可能,*,*,*,False,会員-登録,会員-登録
有料,有料,ユウリョウ,有料,名詞,普通名詞,一般,*,*,*,False,*,*
継続,継続,ケイゾク,継続,名詞,普通名詞,サ変可能,*,*,*,False,*,*
コース,コース,コース,コース,名詞,普通名詞,一般,*,*,*,False,*,*
半額,半額,ハンガク,半額,名詞,普通名詞,一般,*,*,*,False,*,*
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
いま,いま,イマ,いま,名詞,普通名詞,副詞可能,*,*,*,False,*,*
話題,話題,ワダイ,話題,名詞,普通名詞,一般,*,*,*,False,*,*
人物,人物,ジンブツ,人物,名詞,普通名詞,一般,*,*,*,False,*,*
続々,続々,ゾクゾク,続々,副詞,*,*,*,*,*,False,*,*
登場,登場,トウジョウ,登場,名詞,普通名詞,サ変可能,*,*,*,False,*,*
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
スペシャルインタビュー,スペシャルインタビュー,スペシャルインタビュー,スペシャルインタビュー,名詞,固有名詞,一般,*,*,*,False,スペシャル-インタビュー,スペシャル-インタビュー
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*
会員限定,会員限定,カイインゲンテイ,会員限定,名詞,普通名詞,一般,*,*,*,False,会員-限定,会員-限定
巨人,巨人,キョジン,巨人,名詞,普通名詞,一般,*,*,*,False,*,*
巨人,巨人,キョジン,巨人,名詞,普通名詞,一般,*,*,*,False,*,*
90,90,キュウレイ,90,名詞,数詞,*,*,*,*,True,*,*
周年,周年,シュウネン,周年,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
パリ,パリ,パリ,パリ,名詞,固有名詞,地名,一般,*,*,False,*,*
五輪,五輪,ゴリン,五輪,名詞,普通名詞,一般,*,*,*,False,*,*
芸能,芸能,ゲイノウ,芸能,名詞,普通名詞,一般,*,*,*,False,*,*
野球,野球,ヤキュウ,野球,名詞,普通名詞,一般,*,*,*,False,*,*
大谷,大谷,オオヤ,大谷,名詞,固有名詞,人名,姓,*,*,False,*,*
翔平,翔平,ショウヘイ,翔平,名詞,固有名詞,人名,名,*,*,False,*,*
大,大,オオ,大,接頭辞,*,*,*,*,*,False,*,*
相撲,相撲,スモウ,相撲,名詞,普通名詞,一般,*,*,*,False,*,*
スポーツ,スポーツ,スポーツ,スポーツ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
サッカー,サッカー,サッカー,サッカー,名詞,普通名詞,一般,*,*,*,False,*,*
ゴルフ,ゴルフ,ゴルフ,ゴルフ,名詞,普通名詞,一般,*,*,*,False,*,*
箱根駅伝,箱根駅伝,ハコネエキデン,箱根駅伝,名詞,固有名詞,一般,*,*,*,False,箱根-駅伝,箱根-駅伝
競馬,競馬,ケイバ,競馬,名詞,普通名詞,一般,*,*,*,False,*,*
格闘技,格闘技,カクトウギ,格闘技,名詞,普通名詞,一般,*,*,*,False,*,格闘-技
社会,社会,シャカイ,社会,名詞,普通名詞,一般,*,*,*,False,*,*
地域,地域,チイキ,地域,名詞,普通名詞,一般,*,*,*,False,*,*
版,版,バン,版,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
ボート,ボート,ボート,ボート,名詞,普通名詞,一般,*,*,*,False,*,*
競輪,競輪,ケイリン,競輪,名詞,普通名詞,一般,*,*,*,False,*,*
オート,オート,オート,オート,名詞,普通名詞,一般,*,*,*,False,*,*
釣り,釣り,ツリ,釣り,名詞,普通名詞,一般,*,*,*,False,*,*
写真,写真,シャシン,写真,名詞,普通名詞,一般,*,*,*,False,*,*
特集,特集,トクシュウ,特集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
占い,占い,ウラナイ,占い,名詞,普通名詞,一般,*,*,*,False,*,*
馬,馬,バ,馬,名詞,固有名詞,人名,姓,*,*,False,*,*
トク,トク,トク,トク,名詞,固有名詞,人名,名,*,*,False,*,*
ボートナビ,ボートナビ,ボートナビ,ボートナビ,名詞,普通名詞,一般,*,*,*,False,*,*
将棋,将棋,ショウギ,将棋,名詞,普通名詞,一般,*,*,*,False,*,*
囲碁,囲碁,イゴ,囲碁,名詞,普通名詞,一般,*,*,*,False,*,*
PARIS,Paris,パリ,Paris,名詞,固有名詞,地名,一般,*,*,False,*,*
OLYMPICS,オリンピックス,オリンピックス,Olympics,名詞,普通名詞,一般,*,*,*,False,*,*
2024,2024,ニレイニヨン,2024,名詞,数詞,*,*,*,*,True,*,*
最新,最新,サイシン,最新,名詞,普通名詞,一般,*,*,*,False,*,*
ニュース,ニュース,ニュース,ニュース,名詞,普通名詞,一般,*,*,*,False,*,*
競技,競技,キョウギ,競技,名詞,普通名詞,サ変可能,*,*,*,False,*,*
日程,日程,ニッテイ,日程,名詞,普通名詞,一般,*,*,*,False,*,*
競技,競技,キョウギ,競技,名詞,普通名詞,サ変可能,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
Messages,messages,messages,messages,名詞,普通名詞,一般,*,*,*,True,*,*
for,フォー,フォー,for,名詞,普通名詞,一般,*,*,*,False,*,*
Paris,Paris,パリ,Paris,名詞,固有名詞,地名,一般,*,*,False,*,*
トップ,トップ,トップ,トップ,名詞,普通名詞,一般,*,*,*,False,*,*
会員,会員,カイイン,会員,名詞,普通名詞,一般,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
ニュースサイト,ニュースサイト,ニュースサイト,ニュースサイト,名詞,固有名詞,一般,*,*,*,False,ニュース-サイト,ニュース-サイト
