Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
読売,読売,ヨミウリ,読売,名詞,固有名詞,一般,*,*,*,False,*,*
新聞,新聞,シンブン,新聞,名詞,普通名詞,一般,*,*,*,False,*,*
朝刊,朝刊,チョウカン,朝刊,名詞,普通名詞,一般,*,*,*,False,*,*
記事,記事,キジ,記事,名詞,普通名詞,一般,*,*,*,False,*,*
紙面,紙面,シメン,紙面,名詞,普通名詞,一般,*,*,*,False,*,*
ビューアー,ビューアー,ビューアー,ビューアー,名詞,普通名詞,一般,*,*,*,False,*,*
社説,社説,シャセツ,社説,名詞,普通名詞,一般,*,*,*,False,*,*
English,イングリッシュ,イングリッシュ,English,名詞,普通名詞,一般,*,*,*,False,*,*
さがす,探す,サガス,さがす,動詞,一般,*,*,五段-サ行,終止形-一般,False,*,*
ヘルプ,ヘルプ,ヘルプ,ヘルプ,名詞,普通名詞,一般,*,*,*,False,*,*
購読,購読,コウドク,購読,名詞,普通名詞,サ変可能,*,*,*,False,*,*
申込,申し込み,モウシコミ,申込,名詞,普通名詞,一般,*,*,*,False,*,*
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
登録,登録,トウロク,登録,名詞,普通名詞,サ変可能,*,*,*,False,*,*
新規登録,新規登録,シンキトウロク,新規登録,名詞,普通名詞,サ変可能,*,*,*,False,新規-登録,新規-登録
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
すべて,全て,スベテ,すべて,名詞,普通名詞,副詞可能,*,*,*,False,*,*
トップ,トップ,トップ,トップ,名詞,普通名詞,一般,*,*,*,False,*,*
速報,速報,ソクホウ,速報,名詞,普通名詞,サ変可能,*,*,*,False,*,*
朝刊,朝刊,チョウカン,朝刊,名詞,普通名詞,一般,*,*,*,False,*,*
記事,記事,キジ,記事,名詞,普通名詞,一般,*,*,*,False,*,*
社説,社説,シャセツ,社説,名詞,普通名詞,一般,*,*,*,False,*,*
オピニオン,オピニオン,オピニオン,オピニオン,名詞,普通名詞,一般,*,*,*,False,*,*
動画,動画,ドウガ,動画,名詞,普通名詞,一般,*,*,*,False,*,*
写真,写真,シャシン,写真,名詞,普通名詞,一般,*,*,*,False,*,*
ビジュアルラボ,ビジュアルラボ,ビジュアルラボ,ビジュアルラボ,名詞,普通名詞,一般,*,*,*,False,*,*
ポッド,ポッド,ポッド,ポッド,名詞,普通名詞,一般,*,*,*,False,*,*
キャスト,キャスト,キャスト,キャスト,名詞,普通名詞,一般,*,*,*,False,*,*
連載,連載,レンサイ,連載,名詞,普通名詞,サ変可能,*,*,*,False,*,*
特集,特集,トクシュウ,特集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
時代,時代,ジダイ,時代,名詞,普通名詞,一般,*,*,*,False,*,*
証言者,証言者,ショウゲンシャ,証言者,名詞,普通名詞,一般,*,*,*,False,*,証言-者
地球,地球,チキュウ,地球,名詞,普通名詞,一般,*,*,*,False,*,*
読む,読む,ヨム,読む,動詞,一般,*,*,五段-マ行,連体形-一般,False,*,*
人生案内,人生案内,ジンセイアンナイ,人生案内,名詞,固有名詞,一般,*,*,*,False,人生-案内,人生-案内
あれ,彼れ,アレ,あれ,代名詞,*,*,*,*,*,False,*,*
教育,教育,キョウイク,教育,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ルネサンス,ルネサンス,ルネサンス,ルネサンス,名詞,普通名詞,一般,*,*,*,False,*,*
医療,医療,イリョウ,医療,名詞,普通名詞,一般,*,*,*,False,*,*
ルネサンス,ルネサンス,ルネサンス,ルネサンス,名詞,普通名詞,一般,*,*,*,False,*,*
New,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*
門,門,モン,門,名詞,普通名詞,一般,*,*,*,False,*,*
Web,ウェブ,ウェブ,web,名詞,普通名詞,一般,*,*,*,False,*,*
気流,気流,キリュウ,気流,名詞,普通名詞,一般,*,*,*,False,*,*
連載小説,連載小説,レンサイショウセツ,連載小説,名詞,固有名詞,一般,*,*,*,False,連載-小説,連載-小説
コボ,コボ,コボ,コボ,名詞,普通名詞,一般,*,*,*,True,*,*
ちゃん,ちゃん,チャン,ちゃん,接尾辞,名詞的,一般,*,*,*,False,*,*
漫画,漫画,マンガ,漫画,名詞,普通名詞,一般,*,*,*,False,*,*
コラム,コラム,コラム,コラム,名詞,普通名詞,一般,*,*,*,False,*,*
編集手帳,編集手帳,ヘンシュウテチョウ,編集手帳,名詞,固有名詞,一般,*,*,*,False,編集-手帳,編集-手帳
よみうり,読み売り,ヨミウリ,よみうり,名詞,普通名詞,一般,*,*,*,False,*,*
寸評,寸評,スンピョウ,寸評,名詞,普通名詞,一般,*,*,*,False,*,*
編集委員,編集委員,ヘンシュウイイン,編集委員,名詞,固有名詞,一般,*,*,*,False,編集-委員,編集-委員
目,目,メ,目,名詞,普通名詞,一般,*,*,*,False,*,*
広角,広角,コウカク,広角,名詞,普通名詞,一般,*,*,*,False,*,*
多角,多角,タカク,多角,名詞,普通名詞,一般,*,*,*,False,*,*
デスク,デスク,デスク,デスク,名詞,普通名詞,一般,*,*,*,False,*,*
目,目,メ,目,名詞,普通名詞,一般,*,*,*,False,*,*
政治部,政治部,セイジブ,政治部,名詞,普通名詞,一般,*,*,*,False,*,政治-部
望月,望月,モチヅキ,望月,名詞,固有名詞,人名,姓,*,*,False,*,*
公一,公一,コウイチ,公一,名詞,固有名詞,人名,名,*,*,False,*,*
編集委員,編集委員,ヘンシュウイイン,編集委員,名詞,固有名詞,一般,*,*,*,False,編集-委員,編集-委員
目,目,メ,目,名詞,普通名詞,一般,*,*,*,False,*,*
デスク,デスク,デスク,デスク,名詞,普通名詞,一般,*,*,*,False,*,*
目,目,メ,目,名詞,普通名詞,一般,*,*,*,False,*,*
経済部,経済部,ケイザイブ,経済部,名詞,普通名詞,一般,*,*,*,False,*,経済-部
デスク,デスク,デスク,デスク,名詞,普通名詞,一般,*,*,*,False,*,*
目,目,メ,目,名詞,普通名詞,一般,*,*,*,False,*,*
社会部,社会部,シャカイブ,社会部,名詞,普通名詞,一般,*,*,*,False,*,社会-部
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ
投稿,投稿,トウコウ,投稿,名詞,普通名詞,サ変可能,*,*,*,False,*,*
情報提供,情報提供,ジョウホウテイキョウ,情報提供,名詞,普通名詞,サ変可能,*,*,*,False,情報-提供,情報-提供
窓口,窓口,マドグチ,窓口,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
速報,速報,ソクホウ,速報,名詞,普通名詞,サ変可能,*,*,*,False,*,*
