Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
トラ,虎,トラ,トラ,名詞,普通名詞,一般,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
全国,全国,ゼンコク,全国,名詞,普通名詞,一般,*,*,*,False,*,*
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
スロット,スロット,スロット,スロット,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
ギガサイト,ギガサイト,ギガサイト,ギガサイト,名詞,普通名詞,一般,*,*,*,False,*,*
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
トラ,虎,トラ,トラ,名詞,普通名詞,一般,*,*,*,False,*,*
全国,全国,ゼンコク,全国,名詞,普通名詞,一般,*,*,*,False,*,*
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
スロット,スロット,スロット,スロット,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
ギガサイト,ギガサイト,ギガサイト,ギガサイト,名詞,普通名詞,一般,*,*,*,False,*,*
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
スロット,スロット,スロット,スロット,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
パチトラ,パチトラ,パチトラ,パチトラ,名詞,普通名詞,一般,*,*,*,False,*,*
全国,全国,ゼンコク,全国,名詞,普通名詞,一般,*,*,*,False,*,*
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
スロット,スロット,スロット,スロット,名詞,普通名詞,一般,*,*,*,False,*,*
店舗,店舗,テンポ,店舗,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
完全無料,完全無料,カンゼンムリョウ,完全無料,名詞,普通名詞,一般,*,*,*,False,完全-無料,完全-無料
ギガサイト,ギガサイト,ギガサイト,ギガサイト,名詞,普通名詞,一般,*,*,*,False,*,*
パチトラ,パチトラ,パチトラ,パチトラ,名詞,普通名詞,一般,*,*,*,False,*,*
TOP,TOP,トップ,TOP,名詞,普通名詞,一般,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
個人情報保護,個人情報保護,コジンジョウホウホゴ,個人情報保護,名詞,普通名詞,一般,*,*,*,False,個人-情報-保護,個人-情報-保護
対する,対する,タイスル,対する,動詞,一般,*,*,サ行変格,連体形-一般,False,*,*
基本方針,基本方針,キホンホウシン,基本方針,名詞,普通名詞,一般,*,*,*,False,基本-方針,基本-方針
パチンコ,パチンコ,パチンコ,パチンコ,名詞,普通名詞,一般,*,*,*,False,*,*
トラ,虎,トラ,トラ,名詞,普通名詞,一般,*,*,*,False,*,*
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
当,当,トウ,当,接頭辞,*,*,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
