Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
求人情報,求人情報,キュウジンジョウホウ,求人情報,名詞,普通名詞,一般,*,*,*,False,求人-情報,求人-情報
関する,関する,カンスル,関する,動詞,一般,*,*,サ行変格,連体形-一般,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
若手,若手,ワカテ,若手,名詞,普通名詞,一般,*,*,*,False,*,*
ハイキャリア,ハイキャリア,ハイキャリア,ハイキャリア,名詞,普通名詞,一般,*,*,*,False,*,*
スカウト,スカウト,スカウト,スカウト,名詞,普通名詞,サ変可能,*,*,*,False,*,*
転職,転職,テンショク,転職,名詞,普通名詞,サ変可能,*,*,*,False,*,*
AMBI,AMBI,アンビ,AMBI,名詞,固有名詞,一般,*,*,*,False,*,*
アンビ,AMBI,アンビ,アンビ,名詞,固有名詞,一般,*,*,*,False,*,*
produced,produced,produced,produced,名詞,普通名詞,一般,*,*,*,True,*,*
by,by,バイ,by,名詞,普通名詞,一般,*,*,*,False,*,*
若手,若手,ワカテ,若手,名詞,普通名詞,一般,*,*,*,False,*,*
ハイキャリア,ハイキャリア,ハイキャリア,ハイキャリア,名詞,普通名詞,一般,*,*,*,False,*,*
スカウト,スカウト,スカウト,スカウト,名詞,普通名詞,サ変可能,*,*,*,False,*,*
転職,転職,テンショク,転職,名詞,普通名詞,サ変可能,*,*,*,False,*,*
初めて,初めて,ハジメテ,初めて,副詞,*,*,*,*,*,False,*,*
方,方,ホウ,方,名詞,普通名詞,一般,*,*,*,False,*,*
会員登録,会員登録,カイイントウロク,会員登録,名詞,普通名詞,サ変可能,*,*,*,False,会員-登録,会員-登録
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ハイクラス,ハイクラス,ハイクラス,ハイクラス,名詞,普通名詞,一般,*,*,*,False,ハイ-クラス,ハイ-クラス
求人,求人,キュウジン,求人,名詞,普通名詞,サ変可能,*,*,*,False,*,*
TOP,TOP,トップ,TOP,名詞,普通名詞,一般,*,*,*,False,*,*
求人情報,求人情報,キュウジンジョウホウ,求人情報,名詞,普通名詞,一般,*,*,*,False,求人-情報,求人-情報
関する,関する,カンスル,関する,動詞,一般,*,*,サ行変格,連体形-一般,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
求人情報,求人情報,キュウジンジョウホウ,求人情報,名詞,普通名詞,一般,*,*,*,False,求人-情報,求人-情報
的確,的確,テキカク,的確,形状詞,一般,*,*,*,*,False,*,*
