Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
BEST,ベスト,ベスト,Best,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
リンク集,リンク集,リンクシュウ,リンク集,名詞,普通名詞,一般,*,*,*,False,*,リンク-集
相続,相続,ソウゾク,相続,名詞,普通名詞,サ変可能,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
契約書,契約書,ケイヤクショ,契約書,名詞,普通名詞,一般,*,*,*,False,*,契約-書
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
離婚,離婚,リコン,離婚,名詞,普通名詞,サ変可能,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
力,力,チカラ,力,名詞,普通名詞,一般,*,*,*,False,*,*
借り,借りる,カリ,借りる,動詞,一般,*,*,上一段-ラ行,連用形-一般,False,*,*
たい,たい,タイ,たい,助動詞,*,*,*,助動詞-タイ,連体形-一般,False,*,*
人,人,ヒト,人,名詞,普通名詞,一般,*,*,*,False,*,*
ため,為,タメ,ため,名詞,普通名詞,副詞可能,*,*,*,False,*,*
リンク,リンク,リンク,リンク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
集,集,シュウ,集,接尾辞,名詞的,一般,*,*,*,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
全国,全国,ゼンコク,全国,名詞,普通名詞,一般,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
探偵,探偵,タンテイ,探偵,名詞,普通名詞,サ変可能,*,*,*,False,*,*
リンク,リンク,リンク,リンク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
集,集,シュウ,集,接尾辞,名詞的,一般,*,*,*,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
紹介,紹介,ショウカイ,紹介,名詞,普通名詞,サ変可能,*,*,*,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
詳細,詳細,ショウサイ,詳細,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
紹介,紹介,ショウカイ,紹介,名詞,普通名詞,サ変可能,*,*,*,False,*,*
新着,新着,シンチャク,新着,名詞,普通名詞,一般,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
更新,更新,コウシン,更新,名詞,普通名詞,サ変可能,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
相互,相互,ソウゴ,相互,名詞,普通名詞,一般,*,*,*,False,*,*
リンク,リンク,リンク,リンク,名詞,普通名詞,一般,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
人気,人気,ニンキ,人気,名詞,普通名詞,一般,*,*,*,False,*,*
ランキング,ランキング,ランキング,ランキング,名詞,普通名詞,サ変可能,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
？,?,?,?,補助記号,句点,*,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
紹介,紹介,ショウカイ,紹介,名詞,普通名詞,サ変可能,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
登録,登録,トウロク,登録,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
HP,HP,エイチピー,HP,名詞,普通名詞,一般,*,*,*,False,*,*
登録,登録,トウロク,登録,名詞,普通名詞,サ変可能,*,*,*,False,*,*
更新,更新,コウシン,更新,名詞,普通名詞,サ変可能,*,*,*,False,*,*
削除,削除,サクジョ,削除,名詞,普通名詞,サ変可能,*,*,*,False,*,*
行政書士,行政書士,ギョウセイショシ,行政書士,名詞,普通名詞,一般,*,*,*,False,行政-書士,行政-書士
登録,登録,トウロク,登録,名詞,普通名詞,サ変可能,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
特定商取引法,特定商取引法,トクテイショウトリヒキホウ,特定商取引法,名詞,固有名詞,一般,*,*,*,False,特定-商取引-法,特定-商-取引-法
リンク集,リンク集,リンクシュウ,リンク集,名詞,普通名詞,一般,*,*,*,False,*,リンク-集
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
役立ち,役立つ,ヤクダチ,役立つ,動詞,一般,*,*,五段-タ行,連用形-一般,False,*,*
リンク集,リンク集,リンクシュウ,リンク集,名詞,普通名詞,一般,*,*,*,False,*,リンク-集
離婚,離婚,リコン,離婚,名詞,普通名詞,サ変可能,*,*,*,False,*,*
リンク,リンク,リンク,リンク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
集,集,シュウ,集,接尾辞,名詞的,一般,*,*,*,False,*,*
探偵,探偵,タンテイ,探偵,名詞,普通名詞,サ変可能,*,*,*,False,*,*
リンク,リンク,リンク,リンク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
集,集,シュウ,集,接尾辞,名詞的,一般,*,*,*,False,*,*
探偵,探偵,タンテイ,探偵,名詞,普通名詞,サ変可能,*,*,*,False,*,*
Akai,AKAI,アカイ,AKAI,名詞,固有名詞,一般,*,*,*,False,*,*
興信所,興信所,コウシンジョ,興信所,名詞,普通名詞,一般,*,*,*,False,*,興信-所
選び方,選び方,エラビカタ,選び方,名詞,普通名詞,一般,*,*,*,False,*,選び-方
探偵,探偵,タンテイ,探偵,名詞,普通名詞,サ変可能,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
興信所,興信所,コウシンジョ,興信所,名詞,普通名詞,一般,*,*,*,False,*,興信-所
Akai,AKAI,アカイ,AKAI,名詞,固有名詞,一般,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
収集,収集,シュウシュウ,収集,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
当,当,トウ,当,接頭辞,*,*,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
メニュー,メニュー,メニュー,メニュー,名詞,普通名詞,一般,*,*,*,False,*,*
ご利用,ご利用,ゴリヨウ,ご利用,名詞,普通名詞,一般,*,*,*,False,*,ご-利用
