Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
森永乳業,森永乳業,モリナガニュウギョウ,森永乳業,名詞,固有名詞,一般,*,*,*,False,森永-乳業,森永-乳業
株式会社,株式会社,カブシキガイシャ,株式会社,名詞,普通名詞,一般,*,*,*,False,株式-会社,株式-会社
商品,商品,ショウヒン,商品,名詞,普通名詞,一般,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
レシピ,レシピ,レシピ,レシピ,名詞,普通名詞,一般,*,*,*,False,*,*
学ぶ,学ぶ,マナブ,学ぶ,動詞,一般,*,*,五段-バ行,終止形-一般,False,*,*
体験,体験,タイケン,体験,名詞,普通名詞,サ変可能,*,*,*,False,*,*
サステナビリティ,サステイナビリティー,サステナビリティ,サステナビリティ,名詞,普通名詞,一般,*,*,*,False,*,*
会社情報,会社情報,カイシャジョウホウ,会社情報,名詞,普通名詞,一般,*,*,*,False,会社-情報,会社-情報
IR,IR,アイアール,Ir,名詞,普通名詞,一般,*,*,*,False,*,*
研究開発,研究開発,ケンキュウカイハツ,研究開発,名詞,普通名詞,一般,*,*,*,False,研究-開発,研究-開発
お客さま,御客様,オキャクサマ,お客さま,名詞,普通名詞,一般,*,*,*,False,*,お-客-さま
相談,相談,ソウダン,相談,名詞,普通名詞,サ変可能,*,*,*,False,*,*
室,室,シツ,室,接尾辞,名詞的,一般,*,*,*,False,*,*
通信販売,通信販売,ツウシンハンバイ,通信販売,名詞,普通名詞,一般,*,*,*,False,通信-販売,通信-販売
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
Global,グローバル,グローバル,Global,形状詞,一般,*,*,*,*,False,*,*
HOME,ホーム,ホーム,home,名詞,普通名詞,一般,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
森永乳業,森永乳業,モリナガニュウギョウ,森永乳業,名詞,固有名詞,一般,*,*,*,False,森永-乳業,森永-乳業
