Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
映画館,映画館,エイガカン,映画館,名詞,普通名詞,一般,*,*,*,False,*,映画-館
行こう,行く,イコウ,行く,動詞,非自立可能,*,*,五段-カ行,意志推量形,False,*,*
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
実行委員会,実行委員会,ジッコウイインカイ,実行委員会,名詞,普通名詞,一般,*,*,*,False,実行-委員会,実行-委員-会
公式サイト,公式サイト,コウシキサイト,公式サイト,名詞,普通名詞,一般,*,*,*,False,公式-サイト,公式-サイト
参加,参加,サンカ,参加,名詞,普通名詞,サ変可能,*,*,*,False,*,*
配給,配給,ハイキュウ,配給,名詞,普通名詞,サ変可能,*,*,*,False,*,*
会社,会社,カイシャ,会社,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
TOP,TOP,トップ,TOP,名詞,普通名詞,一般,*,*,*,False,*,*
映画館,映画館,エイガカン,映画館,名詞,普通名詞,一般,*,*,*,False,*,映画-館
行こう,行く,イコウ,行く,動詞,非自立可能,*,*,五段-カ行,意志推量形,False,*,*
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
？,?,?,?,補助記号,句点,*,*,*,*,False,*,*
パイラシーホットライン,パイラシーホットライン,パイラシーホットライン,パイラシーホットライン,名詞,普通名詞,一般,*,*,*,True,*,*
映倫,映倫,エイリン,映倫,名詞,固有名詞,一般,*,*,*,False,*,*
マーク,マーク,マーク,マーク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
お知らせ,お知らせ,オシラセ,お知らせ,名詞,普通名詞,サ変可能,*,*,*,False,*,お-知らせ
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
参加,参加,サンカ,参加,名詞,普通名詞,サ変可能,*,*,*,False,*,*
配給,配給,ハイキュウ,配給,名詞,普通名詞,サ変可能,*,*,*,False,*,*
会社,会社,カイシャ,会社,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
当,当,トウ,当,接頭辞,*,*,*,*,*,False,*,*
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
リンク,リンク,リンク,リンク,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
TOP,TOP,トップ,TOP,名詞,普通名詞,一般,*,*,*,False,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
盗撮,盗撮,トウサツ,盗撮,名詞,普通名詞,サ変可能,*,*,*,False,*,*
防止,防止,ボウシ,防止,名詞,普通名詞,サ変可能,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
