Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
情報セキュリティ,情報セキュリティ,ジョウホウセキュリティ,情報セキュリティ,名詞,普通名詞,一般,*,*,*,False,情報-セキュリティ,情報-セキュリティ
方針,方針,ホウシン,方針,名詞,普通名詞,一般,*,*,*,False,*,*
電子マネー,電子マネー,デンシマネー,電子マネー,名詞,普通名詞,一般,*,*,*,False,電子-マネー,電子-マネー
ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,名詞,固有名詞,一般,*,*,*,False,ビット-キャッシュ,ビット-キャッシュ
導入,導入,ドウニュウ,導入,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ご,御,ゴ,ご,接頭辞,*,*,*,*,*,False,*,*
検討,検討,ケントウ,検討,名詞,普通名詞,サ変可能,*,*,*,False,*,*
お客様,御客様,オキャクサマ,お客様,名詞,普通名詞,一般,*,*,*,False,*,お-客-様
はじめて,初めて,ハジメテ,はじめて,副詞,*,*,*,*,*,False,*,*
方,方,ホウ,方,名詞,普通名詞,一般,*,*,*,False,*,*
買い方,買い方,カイカタ,買い方,名詞,普通名詞,一般,*,*,*,False,*,*
買い方,買い方,カイカタ,買い方,名詞,普通名詞,一般,*,*,*,False,*,*
お店,御店,オミセ,お店,名詞,普通名詞,一般,*,*,*,False,*,お-店
買う,買う,カウ,買う,動詞,一般,*,*,五段-ワア行,終止形-一般,False,*,*
オンライン,オンライン,オンライン,オンライン,名詞,普通名詞,一般,*,*,*,False,*,*
買う,買う,カウ,買う,動詞,一般,*,*,五段-ワア行,終止形-一般,False,*,*
ポイント,ポイント,ポイント,ポイント,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
交換,交換,コウカン,交換,名詞,普通名詞,サ変可能,*,*,*,False,*,*
使える,使う,ツカエル,使える,動詞,一般,*,*,下一段-ア行,連体形-一般,False,*,*
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
使える,使う,ツカエル,使える,動詞,一般,*,*,下一段-ア行,連体形-一般,False,*,*
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
オンラインゲーム,オンラインゲーム,オンラインゲーム,オンラインゲーム,名詞,固有名詞,一般,*,*,*,False,オンライン-ゲーム,オンライン-ゲーム
音楽,音楽,オンガク,音楽,名詞,普通名詞,一般,*,*,*,False,*,*
電子書籍,電子書籍,デンシショセキ,電子書籍,名詞,普通名詞,一般,*,*,*,False,電子-書籍,電子-書籍
動画,動画,ドウガ,動画,名詞,普通名詞,一般,*,*,*,False,*,*
画像,画像,ガゾウ,画像,名詞,普通名詞,一般,*,*,*,False,*,*
ショッピング,ショッピング,ショッピング,ショッピング,名詞,普通名詞,サ変可能,*,*,*,False,*,*
セレクトショップ,セレクトショップ,セレクトショップ,セレクトショップ,名詞,固有名詞,一般,*,*,*,False,セレクト-ショップ,セレクト-ショップ
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
プレイステーション,プレイステーション,プレイステーション,プレイステーション,名詞,固有名詞,一般,*,*,*,False,*,*
ストア,ストア,ストア,ストア,名詞,普通名詞,一般,*,*,*,False,*,*
チケット,チケット,チケット,チケット,名詞,普通名詞,一般,*,*,*,False,*,*
Hulu,Hulu,フールー,Hulu,名詞,固有名詞,一般,*,*,*,False,*,*
チケット,チケット,チケット,チケット,名詞,普通名詞,一般,*,*,*,False,*,*
mora,mora,モーラ,mora,名詞,固有名詞,一般,*,*,*,False,*,*
ポイント,ポイント,ポイント,ポイント,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
レコチョク,レコチョク,レコチョク,レコチョク,名詞,普通名詞,一般,*,*,*,False,*,*
プリペイド,プリペイド,プリペイド,プリペイド,名詞,普通名詞,一般,*,*,*,False,*,*
サーティワン,サーティワン,サーティワン,サーティワン,名詞,普通名詞,一般,*,*,*,True,*,*
アイスクリーム,アイスクリーム,アイスクリーム,アイスクリーム,名詞,普通名詞,一般,*,*,*,False,アイス-クリーム,アイス-クリーム
ギフト券,ギフト券,ギフトケン,ギフト券,名詞,普通名詞,一般,*,*,*,False,ギフト-券,ギフト-券
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
見る,見る,ミル,見る,動詞,非自立可能,*,*,上一段-マ行,終止形-一般,False,*,*
まとめる,纏める,マトメル,まとめる,動詞,一般,*,*,下一段-マ行,連体形-一般,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
見る,見る,ミル,見る,動詞,非自立可能,*,*,上一段-マ行,終止形-一般,False,*,*
まとめる,纏める,マトメル,まとめる,動詞,一般,*,*,下一段-マ行,連体形-一般,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
照会,照会,ショウカイ,照会,名詞,普通名詞,サ変可能,*,*,*,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
引継,引き継ぎ,ヒキツギ,引継,名詞,普通名詞,一般,*,*,*,False,*,*
マイビットキャッシュ,マイビットキャッシュ,マイビットキャッシュ,マイビットキャッシュ,名詞,普通名詞,一般,*,*,*,False,*,*
管理,管理,カンリ,管理,名詞,普通名詞,サ変可能,*,*,*,False,*,*
キャンペーン,キャンペーン,キャンペーン,キャンペーン,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ヘルプ,ヘルプ,ヘルプ,ヘルプ,名詞,普通名詞,一般,*,*,*,False,*,*
ヘルプ,ヘルプ,ヘルプ,ヘルプ,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
よく,良く,ヨク,よく,副詞,*,*,*,*,*,False,*,*
ある,有る,アル,ある,動詞,非自立可能,*,*,五段-ラ行,連体形-一般,False,*,*
ご,御,ゴ,ご,接頭辞,*,*,*,*,*,False,*,*
質問,質問,シツモン,質問,名詞,普通名詞,サ変可能,*,*,*,False,*,*
Q,q,q,q,名詞,普通名詞,一般,*,*,*,True,*,*
.,.,．,.,補助記号,句点,*,*,*,*,False,*,*
ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,名詞,固有名詞,一般,*,*,*,False,ビット-キャッシュ,ビット-キャッシュ
？,?,?,?,補助記号,句点,*,*,*,*,False,*,*
Q,q,q,q,名詞,普通名詞,一般,*,*,*,True,*,*
.,.,．,.,補助記号,句点,*,*,*,*,False,*,*
ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,名詞,固有名詞,一般,*,*,*,False,ビット-キャッシュ,ビット-キャッシュ
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
確認,確認,カクニン,確認,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
たい,たい,タイ,たい,助動詞,*,*,*,助動詞-タイ,終止形-一般,False,*,*
Q,q,q,q,名詞,普通名詞,一般,*,*,*,True,*,*
.,.,．,.,補助記号,句点,*,*,*,*,False,*,*
ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,ビットキャッシュ,名詞,固有名詞,一般,*,*,*,False,ビット-キャッシュ,ビット-キャッシュ
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
増やし,増やす,フヤシ,増やす,動詞,一般,*,*,五段-サ行,連用形-一般,False,*,*
たい,たい,タイ,たい,助動詞,*,*,*,助動詞-タイ,終止形-一般,False,*,*
Q,q,q,q,名詞,普通名詞,一般,*,*,*,True,*,*
.,.,．,.,補助記号,句点,*,*,*,*,False,*,*
ビットキャッシュメンバーズ,ビットキャッシュメンバーズ,ビットキャッシュメンバーズ,ビットキャッシュメンバーズ,名詞,普通名詞,一般,*,*,*,True,*,*
？,?,?,?,補助記号,句点,*,*,*,*,False,*,*
Q,q,q,q,名詞,普通名詞,一般,*,*,*,True,*,*
.,.,．,.,補助記号,句点,*,*,*,*,False,*,*
マイビットキャッシュ,マイビットキャッシュ,マイビットキャッシュ,マイビットキャッシュ,名詞,普通名詞,一般,*,*,*,False,*,*
？,?,?,?,補助記号,句点,*,*,*,*,False,*,*
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ガイド,ガイド,ガイド,ガイド,名詞,普通名詞,サ変可能,*,*,*,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
照会,照会,ショウカイ,照会,名詞,普通名詞,サ変可能,*,*,*,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
確認,確認,カクニン,確認,名詞,普通名詞,サ変可能,*,*,*,False,*,*
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,終止形-一般,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
引継,引き継ぎ,ヒキツギ,引継,名詞,普通名詞,一般,*,*,*,False,*,*
残高,残高,ザンダカ,残高,名詞,普通名詞,一般,*,*,*,False,*,*
まとめる,纏める,マトメル,まとめる,動詞,一般,*,*,下一段-マ行,終止形-一般,False,*,*
マイビットキャッシュ,マイビットキャッシュ,マイビットキャッシュ,マイビットキャッシュ,名詞,普通名詞,一般,*,*,*,True,*,*
びっ,びっ,ビッ,びっ,副詞,*,*,*,*,*,False,*,*
得,得,トク,得,名詞,普通名詞,一般,*,*,*,False,*,*
