Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
Infoseek,Infoseek,インフォシーク,Infoseek,名詞,固有名詞,一般,*,*,*,False,*,*
インフォシーク,Infoseek,インフォシーク,インフォシーク,名詞,固有名詞,一般,*,*,*,False,*,*
Infoseek,Infoseek,インフォシーク,Infoseek,名詞,固有名詞,一般,*,*,*,False,*,*
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*
画面,画面,ガメン,画面,名詞,普通名詞,一般,*,*,*,False,*,*
設定,設定,セッテイ,設定,名詞,普通名詞,サ変可能,*,*,*,False,*,*
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,終止形-一般,False,*,*
メール,メール,メール,メール,名詞,普通名詞,サ変可能,*,*,*,False,*,*
Outlook,アウトルック,アウトルック,Outlook,名詞,普通名詞,一般,*,*,*,False,*,*
Gmail,Gmail,ジーメール,Gmail,名詞,固有名詞,一般,*,*,*,False,*,*
Yahoo!メール,Yahoo!メール,ヤフーメール,Yahoo!メール,名詞,固有名詞,一般,*,*,*,False,Yahoo!-メール,Yahoo!-メール
楽天,楽天,ラクテン,楽天,名詞,普通名詞,一般,*,*,*,False,*,*
ウェブ,ウェブ,ウェブ,ウェブ,名詞,普通名詞,一般,*,*,*,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
楽天,楽天,ラクテン,楽天,名詞,普通名詞,一般,*,*,*,False,*,*
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*
買い物,買い物,カイモノ,買い物,名詞,普通名詞,サ変可能,*,*,*,False,*,*
サービス,サービス,サービス,サービス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
楽天,楽天,ラクテン,楽天,名詞,普通名詞,一般,*,*,*,False,*,*
市場,市場,シジョウ,市場,名詞,普通名詞,一般,*,*,*,False,*,*
楽天ブックス,楽天ブックス,ラクテンブックス,楽天ブックス,名詞,固有名詞,一般,*,*,*,False,楽天-ブックス,楽天-ブックス
電子書籍,電子書籍,デンシショセキ,電子書籍,名詞,普通名詞,一般,*,*,*,False,電子-書籍,電子-書籍
kobo,kobo,コボ,kobo,名詞,固有名詞,一般,*,*,*,False,*,*
RaCoupon,racoupon,racoupon,racoupon,名詞,普通名詞,一般,*,*,*,True,*,*
Rakuten,楽天,ラクテン,rakuten,名詞,固有名詞,一般,*,*,*,False,*,*
Fashion,ファッション,ファッション,fashion,名詞,普通名詞,一般,*,*,*,False,*,*
ポイント,ポイント,ポイント,ポイント,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
PointClub,pointclub,pointclub,pointclub,名詞,普通名詞,一般,*,*,*,True,*,*
ラッキー,ラッキー,ラッキー,ラッキー,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
BINGO,ビンゴ,ビンゴ,bingo,名詞,普通名詞,一般,*,*,*,False,*,*
ラッキーくじ,ラッキーくじ,ラッキークジ,ラッキーくじ,名詞,固有名詞,一般,*,*,*,False,ラッキー-くじ,ラッキー-くじ
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
メール,メール,メール,メール,名詞,普通名詞,サ変可能,*,*,*,False,*,*
de,デ,デ,de,名詞,普通名詞,一般,*,*,*,False,*,*
ポイント,ポイント,ポイント,ポイント,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
my,My,マイ,My,名詞,普通名詞,一般,*,*,*,False,*,*
Rakuten,楽天,ラクテン,rakuten,名詞,固有名詞,一般,*,*,*,False,*,*
もらえる,貰う,モラエル,もらえる,動詞,非自立可能,*,*,下一段-ア行,連体形-一般,False,*,*
モール,モール,モール,モール,名詞,普通名詞,一般,*,*,*,False,*,*
ファイナンス,ファイナンス,ファイナンス,ファイナンス,名詞,普通名詞,一般,*,*,*,False,*,*
楽天銀行,楽天銀行,ラクテンギンコウ,楽天銀行,名詞,固有名詞,一般,*,*,*,False,楽天-銀行,楽天-銀行
楽天カード,楽天カード,ラクテンカード,楽天カード,名詞,固有名詞,一般,*,*,*,False,楽天-カード,楽天-カード
楽天証券,楽天証券,ラクテンショウケン,楽天証券,名詞,固有名詞,一般,*,*,*,False,楽天-証券,楽天-証券
楽天Edy,楽天Edy,ラクテンエディ,楽天Edy,名詞,固有名詞,一般,*,*,*,False,楽天-Edy,楽天-Edy
楽天生命,楽天生命,ラクテンセイメイ,楽天生命,名詞,固有名詞,一般,*,*,*,False,楽天-生命,楽天-生命
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
メディア,メディア,メディア,メディア,名詞,普通名詞,一般,*,*,*,False,*,*
マイトリップ,マイトリップ,マイトリップ,マイトリップ,名詞,普通名詞,一般,*,*,*,False,*,*
ユアマネー,ユアマネー,ユアマネー,ユアマネー,名詞,普通名詞,一般,*,*,*,False,*,*
BEST,ベスト,ベスト,Best,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
SHARE,シェア,シェア,Share,名詞,普通名詞,一般,*,*,*,False,*,*
暮らし,暮らし,クラシ,暮らし,名詞,普通名詞,一般,*,*,*,False,*,*
情報,情報,ジョウホウ,情報,名詞,普通名詞,一般,*,*,*,False,*,*
ブログ,ブログ,ブログ,ブログ,名詞,普通名詞,一般,*,*,*,False,*,*
レシピ,レシピ,レシピ,レシピ,名詞,普通名詞,一般,*,*,*,False,*,*
不動産,不動産,フドウサン,不動産,名詞,普通名詞,一般,*,*,*,False,*,*
フォト,フォト,フォト,フォト,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
プリント,プリント,プリント,プリント,名詞,普通名詞,サ変可能,*,*,*,False,*,*
旅行,旅行,リョコウ,旅行,名詞,普通名詞,サ変可能,*,*,*,False,*,*
エンタメ,エンタメ,エンタメ,エンタメ,名詞,普通名詞,一般,*,*,*,False,*,*
楽天トラベル,楽天トラベル,ラクテントラベル,楽天トラベル,名詞,固有名詞,一般,*,*,*,False,楽天-トラベル,楽天-トラベル
ゴルフ場,ゴルフ場,ゴルフジョウ,ゴルフ場,名詞,普通名詞,一般,*,*,*,False,*,ゴルフ-場
予約,予約,ヨヤク,予約,名詞,普通名詞,サ変可能,*,*,*,False,*,*
GORA,GoRA,ゴーラ,GoRA,名詞,固有名詞,一般,*,*,*,False,*,*
チケット,チケット,チケット,チケット,名詞,普通名詞,一般,*,*,*,False,*,*
予約,予約,ヨヤク,予約,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アニメ,アニメ,アニメ,アニメ,名詞,普通名詞,一般,*,*,*,False,*,*
映画,映画,エイガ,映画,名詞,普通名詞,一般,*,*,*,False,*,*
