Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
JAF,JAF,ジャフ,JAF,名詞,固有名詞,一般,*,*,*,False,*,*
インターネット,インターネット,インターネット,インターネット,名詞,普通名詞,一般,*,*,*,False,*,*
入会,入会,ニュウカイ,入会,名詞,普通名詞,サ変可能,*,*,*,False,*,*
おけ,おく,オケ,おく,動詞,一般,*,*,文語四段-カ行,命令形,False,*,*
る,り,ル,り,助動詞,*,*,*,文語助動詞-リ,連体形-一般,False,*,*
特定商取引法,特定商取引法,トクテイショウトリヒキホウ,特定商取引法,名詞,固有名詞,一般,*,*,*,False,特定-商取引-法,特定-商-取引-法
基づく,基づく,モトヅク,基づく,動詞,一般,*,*,五段-カ行,連体形-一般,False,*,*
表示,表示,ヒョウジ,表示,名詞,普通名詞,サ変可能,*,*,*,False,*,*
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*
JAF,JAF,ジャフ,JAF,名詞,固有名詞,一般,*,*,*,False,*,*
個人,個人,コジン,個人,名詞,普通名詞,一般,*,*,*,False,*,*
方,方,ホウ,方,名詞,普通名詞,一般,*,*,*,False,*,*
法人,法人,ホウジン,法人,名詞,普通名詞,一般,*,*,*,False,*,*
方,方,ホウ,方,名詞,普通名詞,一般,*,*,*,False,*,*
報道関係者,報道関係者,ホウドウカンケイシャ,報道関係者,名詞,普通名詞,一般,*,*,*,False,報道-関係-者,報道-関係-者
方,方,ホウ,方,名詞,普通名詞,一般,*,*,*,False,*,*
モータースポーツ,モータースポーツ,モータースポーツ,モータースポーツ,名詞,普通名詞,一般,*,*,*,False,モーター-スポーツ,モーター-スポーツ
よく,良く,ヨク,よく,副詞,*,*,*,*,*,False,*,*
ある,有る,アル,ある,動詞,非自立可能,*,*,五段-ラ行,連体形-一般,False,*,*
ご,御,ゴ,ご,接頭辞,*,*,*,*,*,False,*,*
質問,質問,シツモン,質問,名詞,普通名詞,サ変可能,*,*,*,False,*,*
