Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
FlyingCookies,flyingcookies,flyingcookies,flyingcookies,名詞,普通名詞,一般,*,*,*,True,*,*
エロ,エロ,エロ,エロ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
同人誌,同人誌,ドウジンシ,同人誌,名詞,固有名詞,一般,*,*,*,False,*,*
エロ漫画,エロ漫画,エロマンガ,エロ漫画,名詞,固有名詞,一般,*,*,*,False,エロ-漫画,エロ-漫画
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*
元ネタ,元ねた,モトネタ,元ネタ,名詞,普通名詞,一般,*,*,*,False,*,*
別,別,ベツ,別,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
カテゴリ,カテゴリー,カテゴリ,カテゴリ,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
タグ,タグ,タグ,タグ,名詞,普通名詞,一般,*,*,*,False,*,*
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*
オススメ,オススメ,オススメ,オススメ,名詞,普通名詞,一般,*,*,*,False,*,*
過去,過去,カコ,過去,名詞,普通名詞,副詞可能,*,*,*,False,*,*
記事,記事,キジ,記事,名詞,普通名詞,一般,*,*,*,False,*,*
マイページ,マイページ,マイページ,マイページ,名詞,普通名詞,一般,*,*,*,False,*,*
RSS,RSS,アールエスエス,RSS,名詞,普通名詞,一般,*,*,*,False,*,*
アップロード,アップロード,アップロード,アップロード,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ABOUT,アバウト,アバウト,about,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
MAIL,メール,メール,mail,名詞,普通名詞,サ変可能,*,*,*,False,*,*
home,ホーム,ホーム,home,名詞,普通名詞,一般,*,*,*,False,*,*
FlyingCookies,flyingcookies,flyingcookies,flyingcookies,名詞,普通名詞,一般,*,*,*,True,*,*
アクセス,アクセス,アクセス,アクセス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ランキング,ランキング,ランキング,ランキング,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アクセス,アクセス,アクセス,アクセス,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ランキング,ランキング,ランキング,ランキング,名詞,普通名詞,サ変可能,*,*,*,False,*,*
人気,人気,ニンキ,人気,名詞,普通名詞,一般,*,*,*,False,*,*
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
ジャンプ,ジャンプ,ジャンプ,ジャンプ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
エロ漫画,エロ漫画,エロマンガ,エロ漫画,名詞,固有名詞,一般,*,*,*,False,エロ-漫画,エロ-漫画
同人誌,同人誌,ドウジンシ,同人誌,名詞,固有名詞,一般,*,*,*,False,*,*
ワンピース,ワンピース,ワンピース,ワンピース,名詞,普通名詞,一般,*,*,*,False,*,*
ONE PIECE,ONE PIECE,ワンピース,ONE PIECE,名詞,固有名詞,一般,*,*,*,False,*,*
187,187,イチハチナナ,187,名詞,数詞,*,*,*,*,True,*,*
銀魂,銀魂,ギンタマ,銀魂,名詞,固有名詞,一般,*,*,*,False,*,*
ぎん,銀,ギン,ぎん,名詞,普通名詞,一般,*,*,*,False,*,*
たま,たま,タマ,たま,名詞,固有名詞,地名,一般,*,*,False,*,*
23,23,ニサン,23,名詞,数詞,*,*,*,*,True,*,*
ToLOVE,tolove,tolove,tolove,名詞,普通名詞,一般,*,*,*,True,*,*
とらぶる,トラブル,トラブル,とらぶる,名詞,普通名詞,一般,*,*,*,False,*,*
ダークネス,ダークネス,ダークネス,ダークネス,名詞,普通名詞,一般,*,*,*,False,*,*
334,334,サンサンヨン,334,名詞,数詞,*,*,*,*,True,*,*
食戟のソーマ,食戟のソーマ,ショクゲキノソーマ,食戟のソーマ,名詞,固有名詞,一般,*,*,*,False,食-戟-の-ソーマ,食-戟-の-ソーマ
しょく,食,ショク,しょく,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
げき,劇,ゲキ,げき,名詞,普通名詞,一般,*,*,*,False,*,*
ソーマ,ソーマ,ソーマ,ソーマ,名詞,普通名詞,一般,*,*,*,False,*,*
47,47,ヨンナナ,47,名詞,数詞,*,*,*,*,True,*,*
ぼく,僕,ボク,ぼく,代名詞,*,*,*,*,*,False,*,*
たち,達,タチ,たち,接尾辞,名詞的,一般,*,*,*,False,*,*
勉強,勉強,ベンキョウ,勉強,名詞,普通名詞,サ変可能,*,*,*,False,*,*
でき,出来る,デキ,できる,動詞,非自立可能,*,*,上一段-カ行,未然形-一般,False,*,*
ぼく,僕,ボク,ぼく,代名詞,*,*,*,*,*,False,*,*
勉,勉,ツトム,勉,名詞,固有名詞,人名,名,*,*,False,*,*
19,19,イチキュウ,19,名詞,数詞,*,*,*,*,True,*,*
僕のヒーローアカデミア,僕のヒーローアカデミア,ボクノヒーローアカデミア,僕のヒーローアカデミア,名詞,固有名詞,一般,*,*,*,False,僕-の-ヒーロー-アカデミア,僕-の-ヒーロー-アカデミア
ぼく,僕,ボク,ぼく,代名詞,*,*,*,*,*,False,*,*
ヒーロー,ヒーロー,ヒーロー,ヒーロー,名詞,普通名詞,一般,*,*,*,False,*,*
アカデミア,アカデミア,アカデミア,アカデミア,名詞,普通名詞,一般,*,*,*,False,*,*
72,72,ナナニ,72,名詞,数詞,*,*,*,*,True,*,*
ハイキュー!!,ハイキュー!!,ハイキュー!!,ハイキュー!!,名詞,固有名詞,一般,*,*,*,False,*,*
20,20,ニレイ,20,名詞,数詞,*,*,*,*,True,*,*
ナルト,ナルト,ナルト,ナルト,名詞,固有名詞,人名,名,*,*,False,*,*
NARUTO,NARUTO,ナルト,NARUTO,名詞,固有名詞,一般,*,*,*,False,*,*
95,95,キュウゴ,95,名詞,数詞,*,*,*,*,True,*,*
ドラゴン,ドラゴン,ドラゴン,ドラゴン,名詞,普通名詞,一般,*,*,*,False,*,*
ボール,ボール,ボール,ボール,名詞,普通名詞,一般,*,*,*,False,*,*
DRAGON BALL,DRAGON BALL,ドラゴンボール,DRAGON BALL,名詞,固有名詞,一般,*,*,*,False,*,*
81,81,ハチイチ,81,名詞,数詞,*,*,*,*,True,*,*
こちら,此方,コチラ,こちら,代名詞,*,*,*,*,*,False,*,*
葛飾区亀有,葛飾区亀有,カツシカクカメアリ,葛飾区亀有,名詞,固有名詞,地名,一般,*,*,False,葛飾区-亀有,葛飾-区-亀有
公園,公園,コウエン,公園,名詞,普通名詞,一般,*,*,*,False,*,*
前,前,マエ,前,名詞,普通名詞,副詞可能,*,*,*,False,*,*
派出所,派出所,ハシュツショ,派出所,名詞,普通名詞,一般,*,*,*,False,*,派出-所
こち亀,こち亀,コチカメ,こち亀,名詞,普通名詞,一般,*,*,*,False,*,*
22,22,ニニ,22,名詞,数詞,*,*,*,*,True,*,*
ワールドトリガー,ワールドトリガー,ワールドトリガー,ワールドトリガー,名詞,固有名詞,一般,*,*,*,False,ワールド-トリガー,ワールド-トリガー
WORLD,ワールド,ワールド,World,名詞,普通名詞,一般,*,*,*,False,*,*
TRIGGER,trigger,トリガー,trigger,名詞,普通名詞,一般,*,*,*,False,*,*
6,6,ロク,6,名詞,数詞,*,*,*,*,False,*,*
ブリーチ,ブリーチ,ブリーチ,ブリーチ,名詞,普通名詞,一般,*,*,*,False,*,*
BLEACH,BLEACH,ブリーチ,BLEACH,名詞,固有名詞,一般,*,*,*,False,*,*
41,41,ヨンイチ,41,名詞,数詞,*,*,*,*,True,*,*
遊戯王,遊戯王,ユウギオウ,遊戯王,名詞,固有名詞,一般,*,*,*,False,遊戯-王,遊戯-王
シリーズ,シリーズ,シリーズ,シリーズ,名詞,普通名詞,一般,*,*,*,False,*,*
40,40,ヨンレイ,40,名詞,数詞,*,*,*,*,True,*,*
ニセコイ,ニセコイ,ニセコイ,ニセコイ,名詞,普通名詞,一般,*,*,*,False,*,*
56,56,ゴロク,56,名詞,数詞,*,*,*,*,True,*,*
左門,左門,サモン,左門,名詞,固有名詞,人名,名,*,*,False,*,*
くん,君,クン,くん,接尾辞,名詞的,一般,*,*,*,False,*,*
サモナー,サモナー,サモナー,サモナー,名詞,普通名詞,一般,*,*,*,True,*,*
もん,もん,モン,もん,名詞,普通名詞,一般,*,*,*,False,*,*
くん,君,クン,くん,接尾辞,名詞的,一般,*,*,*,False,*,*
サモナー,サモナー,サモナー,サモナー,名詞,普通名詞,一般,*,*,*,True,*,*
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
明日葉,明日葉,アシタバ,明日葉,名詞,普通名詞,一般,*,*,*,False,*,*
さん,さん,サン,さん,接尾辞,名詞的,一般,*,*,*,False,*,*
ち,ち,チ,ち,名詞,普通名詞,一般,*,*,*,False,*,*
ムコ,ムコ,ムコ,ムコ,名詞,普通名詞,一般,*,*,*,False,*,*
暮らし,暮らし,クラシ,暮らし,名詞,普通名詞,一般,*,*,*,False,*,*
あしたば,明日葉,アシタバ,あしたば,名詞,普通名詞,一般,*,*,*,False,*,*
さん,さん,サン,さん,接尾辞,名詞的,一般,*,*,*,False,*,*
ち,ち,チ,ち,名詞,普通名詞,一般,*,*,*,False,*,*
ムコ,ムコ,ムコ,ムコ,名詞,普通名詞,一般,*,*,*,False,*,*
ぐらし,暮らし,グラシ,ぐらし,名詞,普通名詞,一般,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
双,双,ソウ,双,接頭辞,*,*,*,*,*,False,*,*
星,星,セイ,星,名詞,普通名詞,一般,*,*,*,False,*,*
陰陽師,陰陽師,オンミョウジ,陰陽師,名詞,固有名詞,一般,*,*,*,False,*,*
そうせい,創成,ソウセイ,そうせい,名詞,普通名詞,サ変可能,*,*,*,False,*,*
おん,御,オン,おん,接頭辞,*,*,*,*,*,False,*,*
みょうじ,名字,ミョウジ,みょうじ,名詞,普通名詞,一般,*,*,*,False,*,*
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
きまぐれ,気紛れ,キマグレ,きまぐれ,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
オレンジ,オレンジ,オレンジ,オレンジ,名詞,普通名詞,一般,*,*,*,False,*,*
ロード,ロード,ロード,ロード,名詞,普通名詞,一般,*,*,*,False,*,*
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
クオリ,クオリー,クオリ,クオリ,名詞,普通名詞,一般,*,*,*,False,*,*
ディア,ディアー,ディア,ディア,名詞,普通名詞,一般,*,*,*,False,*,*
コード,コード,コード,コード,名詞,普通名詞,一般,*,*,*,False,*,*
10,10,イチレイ,10,名詞,数詞,*,*,*,*,True,*,*
Dr.スランプ,Dr.スランプ,ドクタースランプ,Dr.スランプ,名詞,固有名詞,一般,*,*,*,False,Dr.-スランプ,Dr.-スランプ
アラレちゃん,アラレちゃん,アラレチャン,アラレちゃん,名詞,固有名詞,一般,*,*,*,False,アラレ-ちゃん,アラレ-ちゃん
ドクタースランプ,Dr.スランプ,ドクタースランプ,ドクタースランプ,名詞,固有名詞,一般,*,*,*,False,ドクター-スランプ,ドクター-スランプ
アラレちゃん,アラレちゃん,アラレチャン,アラレちゃん,名詞,固有名詞,一般,*,*,*,False,アラレ-ちゃん,アラレ-ちゃん
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
黒子,黒子,ホクロ,黒子,名詞,普通名詞,一般,*,*,*,False,*,*
バスケ,バスケ,バスケ,バスケ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
9,9,キュウ,9,名詞,数詞,*,*,*,*,False,*,*
初恋,初恋,ハツコイ,初恋,名詞,普通名詞,一般,*,*,*,False,*,*
限定,限定,ゲンテイ,限定,名詞,普通名詞,サ変可能,*,*,*,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
5,5,ゴ,5,名詞,数詞,*,*,*,*,False,*,*
いちご,苺,イチゴ,いちご,名詞,普通名詞,一般,*,*,*,False,*,*
100,100,イチレイレイ,100,名詞,数詞,*,*,*,*,True,*,*
%,%,パーセント,%,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
22,22,ニニ,22,名詞,数詞,*,*,*,*,True,*,*
ね,ね,ネ,ね,助詞,終助詞,*,*,*,*,False,*,*
どきっ,どき,ドキッ,どきっ,副詞,*,*,*,*,*,False,*,*
21,21,ニイチ,21,名詞,数詞,*,*,*,*,True,*,*
プリティフェイス,プリティフェイス,プリティフェイス,プリティフェイス,名詞,固有名詞,一般,*,*,*,False,プリティ-フェイス,プリティ-フェイス
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
エム,エム,エム,エム,名詞,普通名詞,一般,*,*,*,True,*,*
ゼロ,ゼロ,ゼロ,ゼロ,名詞,数詞,*,*,*,*,False,*,*
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*
タイガー,タイガー,タイガー,タイガー,名詞,普通名詞,一般,*,*,*,False,*,*
