Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
Backlog,Backlog,バックログ,Backlog,名詞,固有名詞,一般,*,*,*,False,*,*
チーム,チーム,チーム,チーム,名詞,普通名詞,一般,*,*,*,False,*,*
使う,使う,ツカウ,使う,動詞,一般,*,*,五段-ワア行,連体形-一般,False,*,*
プロジェクト管理,プロジェクト管理,プロジェクトカンリ,プロジェクト管理,名詞,普通名詞,一般,*,*,*,False,プロジェクト-管理,プロジェクト-管理
タスク,タスク,タスク,タスク,名詞,普通名詞,一般,*,*,*,False,*,*
管理ツール,管理ツール,カンリツール,管理ツール,名詞,固有名詞,一般,*,*,*,False,管理-ツール,管理-ツール
2,2,ニ,2,名詞,数詞,*,*,*,*,False,*,*
20240626,20240626,ニレイニヨンレイロクニロク,20240626,名詞,数詞,*,*,*,*,True,*,*
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*
スペース,スペース,スペース,スペース,名詞,普通名詞,一般,*,*,*,False,*,*
ID,ID,アイディー,ID,名詞,普通名詞,一般,*,*,*,False,*,*
入力,入力,ニュウリョク,入力,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
ください,下さる,クダサイ,くださる,動詞,非自立可能,*,*,五段-ラ行,命令形,False,*,*
https,HTTPS,エイチティーティーピーエス,HTTPS,名詞,固有名詞,一般,*,*,*,False,*,*
移動,移動,イドウ,移動,名詞,普通名詞,サ変可能,*,*,*,False,*,*
スペース,スペース,スペース,スペース,名詞,普通名詞,一般,*,*,*,False,*,*
ID,ID,アイディー,ID,名詞,普通名詞,一般,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
利用,利用,リヨウ,利用,名詞,普通名詞,サ変可能,*,*,*,False,*,*
でき,出来る,デキ,できる,動詞,非自立可能,*,*,上一段-カ行,未然形-一般,False,*,*
文字,文字,モジ,文字,名詞,普通名詞,一般,*,*,*,False,*,*
含ま,含む,フクマ,含む,動詞,一般,*,*,五段-マ行,未然形-一般,False,*,*
いる,居る,イル,いる,動詞,非自立可能,*,*,上一段-ア行,終止形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
先頭,先頭,セントウ,先頭,名詞,普通名詞,一般,*,*,*,False,*,*
末尾,末尾,マツビ,末尾,名詞,普通名詞,一般,*,*,*,False,*,*
ハイフン,ハイフン,ハイフン,ハイフン,名詞,普通名詞,一般,*,*,*,False,*,*
存在,存在,ソンザイ,存在,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
存在,存在,ソンザイ,存在,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,未然形-一般,False,*,*
スペース,スペース,スペース,スペース,名詞,普通名詞,一般,*,*,*,False,*,*
ID,ID,アイディー,ID,名詞,普通名詞,一般,*,*,*,False,*,*
