Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
9,9,キュウ,9,名詞,数詞,*,*,*,*,False,*,*
monsters,MONSTERS,モンスターズ,MONSTERS,名詞,固有名詞,一般,*,*,*,False,*,*
ナイン,ナイン,ナイン,ナイン,名詞,普通名詞,一般,*,*,*,False,*,*
モンスターズ,モンスターズ,モンスターズ,モンスターズ,名詞,固有名詞,一般,*,*,*,False,*,*
公式サイト,公式サイト,コウシキサイト,公式サイト,名詞,普通名詞,一般,*,*,*,False,公式-サイト,公式-サイト
LGBT,LGBT,エルジービーティー,LGBT,名詞,普通名詞,一般,*,*,*,False,*,*
向け,向け,ムケ,向け,接尾辞,名詞的,一般,*,*,*,False,*,*
GPS,GPS,ジーピーエス,GPS,名詞,普通名詞,一般,*,*,*,False,*,*
無料,無料,ムリョウ,無料,名詞,普通名詞,一般,*,*,*,False,*,*
出会い,出会い,デアイ,出会い,名詞,普通名詞,一般,*,*,*,False,*,*
アプリ,アプリ,アプリ,アプリ,名詞,普通名詞,一般,*,*,*,False,*,*
iPhone,iPhone,アイフォーン,iPhone,名詞,固有名詞,一般,*,*,*,False,*,*
Android,android,アンドロイド,android,名詞,普通名詞,一般,*,*,*,False,*,*
Toggle,トグル,トグル,toggle,名詞,普通名詞,一般,*,*,*,False,*,*
navigation,ナビゲーション,ナビゲーション,navigation,名詞,普通名詞,一般,*,*,*,False,*,*
トップ,トップ,トップ,トップ,名詞,普通名詞,一般,*,*,*,False,*,*
広告掲載,広告掲載,コウコクケイサイ,広告掲載,名詞,普通名詞,一般,*,*,*,False,広告-掲載,広告-掲載
利用規約,利用規約,リヨウキヤク,利用規約,名詞,普通名詞,一般,*,*,*,False,利用-規約,利用-規約
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
採用情報,採用情報,サイヨウジョウホウ,採用情報,名詞,固有名詞,一般,*,*,*,False,採用-情報,採用-情報
サポートセンター,サポートセンター,サポートセンター,サポートセンター,名詞,普通名詞,一般,*,*,*,False,サポート-センター,サポート-センター
HIV,HIV,エイチアイブイ,HIV,名詞,普通名詞,一般,*,*,*,False,*,*
薬物,薬物,ヤクブツ,薬物,名詞,普通名詞,一般,*,*,*,False,*,*
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
