Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー
パタゴニア,パタゴニア,パタゴニア,パタゴニア,名詞,固有名詞,地名,一般,*,*,False,*,*
Patagonia,Patagonia,パタゴニア,Patagonia,名詞,固有名詞,地名,一般,*,*,False,*,*
burger,burger,バーガー,burger,名詞,普通名詞,一般,*,*,*,False,*,*
burger,burger,バーガー,burger,名詞,普通名詞,一般,*,*,*,False,*,*
chevron,chevron,シェブロン,chevron,名詞,普通名詞,一般,*,*,*,False,*,*
left,レフト,レフト,Left,名詞,固有名詞,人名,一般,*,*,False,*,*
chevron,chevron,シェブロン,chevron,名詞,普通名詞,一般,*,*,*,False,*,*
left,レフト,レフト,Left,名詞,固有名詞,人名,一般,*,*,False,*,*
chevron,chevron,シェブロン,chevron,名詞,普通名詞,一般,*,*,*,False,*,*
right,ライト,ライト,Right,名詞,普通名詞,一般,*,*,*,False,*,*
chevron,chevron,シェブロン,chevron,名詞,普通名詞,一般,*,*,*,False,*,*
right,ライト,ライト,Right,名詞,普通名詞,一般,*,*,*,False,*,*
ellipses,ellipses,ellipses,ellipses,名詞,普通名詞,一般,*,*,*,True,*,*
ellipses,ellipses,ellipses,ellipses,名詞,普通名詞,一般,*,*,*,True,*,*
logo,ロゴ,ロゴ,LOGO,名詞,普通名詞,一般,*,*,*,False,*,*
logo,ロゴ,ロゴ,LOGO,名詞,普通名詞,一般,*,*,*,False,*,*
50th,フィフティース,フィフティース,50th,名詞,普通名詞,一般,*,*,*,False,*,*
logo,ロゴ,ロゴ,LOGO,名詞,普通名詞,一般,*,*,*,False,*,*
50th,フィフティース,フィフティース,50th,名詞,普通名詞,一般,*,*,*,False,*,*
logo,ロゴ,ロゴ,LOGO,名詞,普通名詞,一般,*,*,*,False,*,*
50th,フィフティース,フィフティース,50th,名詞,普通名詞,一般,*,*,*,False,*,*
logo,ロゴ,ロゴ,LOGO,名詞,普通名詞,一般,*,*,*,False,*,*
50th,フィフティース,フィフティース,50th,名詞,普通名詞,一般,*,*,*,False,*,*
