Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
|,|,キゴウ,|,補助記号,一般,*,*,*,*,False,*,*
SiTest,sitest,sitest,sitest,名詞,普通名詞,一般,*,*,*,True,*,*
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
|,|,キゴウ,|,補助記号,一般,*,*,*,*,False,*,*
SiTest,sitest,sitest,sitest,名詞,普通名詞,一般,*,*,*,True,*,*
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
対する,対する,タイスル,対する,動詞,一般,*,*,サ行変格,連体形-一般,False,*,*
SiTest,sitest,sitest,sitest,名詞,普通名詞,一般,*,*,*,True,*,*
取り組み,取り組み,トリクミ,取り組み,名詞,普通名詞,一般,*,*,*,False,*,*
,,,,補助記号,一般,*,*,*,*,True,*,*
＞,>,キゴウ,>,補助記号,括弧閉,*,*,*,*,False,*,*
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
SiTest,sitest,sitest,sitest,名詞,普通名詞,一般,*,*,*,True,*,*
おけ,おく,オケ,おく,動詞,一般,*,*,文語四段-カ行,命令形,False,*,*
る,り,ル,り,助動詞,*,*,*,文語助動詞-リ,連体形-一般,False,*,*
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
対応,対応,タイオウ,対応,名詞,普通名詞,サ変可能,*,*,*,False,*,*
お客様,御客様,オキャクサマ,お客様,名詞,普通名詞,一般,*,*,*,False,*,お-客-様
（,(,キゴウ,(,補助記号,括弧開,*,*,*,*,False,*,*
エンドユーザー,エンドユーザー,エンドユーザー,エンドユーザー,名詞,普通名詞,一般,*,*,*,False,エンド-ユーザー,エンド-ユーザー
）,),キゴウ,),補助記号,括弧閉,*,*,*,*,False,*,*
個人情報,個人情報,コジンジョウホウ,個人情報,名詞,普通名詞,一般,*,*,*,False,個人-情報,個人-情報
権利,権利,ケンリ,権利,名詞,普通名詞,一般,*,*,*,False,*,*
重視,重視,ジュウシ,重視,名詞,普通名詞,サ変可能,*,*,*,False,*,*
し,為る,シ,する,動詞,非自立可能,*,*,サ行変格,連用形-一般,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
GDPR,gdpr,gdpr,gdpr,名詞,普通名詞,一般,*,*,*,True,*,*
遵守,順守,ジュンシュ,遵守,名詞,普通名詞,サ変可能,*,*,*,False,*,*
する,為る,スル,する,動詞,非自立可能,*,*,サ行変格,連体形-一般,False,*,*
ため,為,タメ,ため,名詞,普通名詞,副詞可能,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
SiTest,sitest,sitest,sitest,名詞,普通名詞,一般,*,*,*,True,*,*
以下,以下,イカ,以下,名詞,普通名詞,一般,*,*,*,False,*,*
対応,対応,タイオウ,対応,名詞,普通名詞,サ変可能,*,*,*,False,*,*
取り組ん,取り組む,トリクン,取り組む,動詞,一般,*,*,五段-マ行,連用形-撥音便,False,*,取り-組ん
い,居る,イ,いる,動詞,非自立可能,*,*,上一段-ア行,連用形-一般,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
ISMS,ISMS,アイエスエムエス,ISMS,名詞,固有名詞,一般,*,*,*,False,*,*
(,(,キゴウ,(,補助記号,括弧開,*,*,*,*,False,*,*
情報セキュリティマネジメントシステム,情報セキュリティマネジメントシステム,ジョウホウセキュリティマネジメントシステム,情報セキュリティマネジメントシステム,名詞,固有名詞,一般,*,*,*,False,情報-セキュリティ-マネジメント-システム,情報-セキュリティ-マネジメント-システム
),),キゴウ,),補助記号,括弧閉,*,*,*,*,False,*,*
認証,認証,ニンショウ,認証,名詞,普通名詞,サ変可能,*,*,*,False,*,*
(,(,キゴウ,(,補助記号,括弧開,*,*,*,*,False,*,*
ISO,iso,アイエスオー,iso,名詞,固有名詞,一般,*,*,*,False,*,*
/,/,キゴウ,/,補助記号,一般,*,*,*,*,False,*,*
IEC,IEC,アイイーシー,IEC,名詞,固有名詞,一般,*,*,*,False,*,*
27001,27001,ニナナレイレイイチ,27001,名詞,数詞,*,*,*,*,True,*,*
),),キゴウ,),補助記号,括弧閉,*,*,*,*,False,*,*
取得,取得,シュトク,取得,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ISMS,ISMS,アイエスエムエス,ISMS,名詞,固有名詞,一般,*,*,*,False,*,*
取得,取得,シュトク,取得,名詞,普通名詞,サ変可能,*,*,*,False,*,*
もと,下,モト,もと,名詞,普通名詞,副詞可能,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
