Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
FAN,Fan,ファン,Fan,名詞,普通名詞,一般,*,*,*,False,*,*
MADE,メード,メード,MADE,名詞,普通名詞,一般,*,*,*,False,*,*
CONTENTS,コンテンツ,コンテンツ,Contents,名詞,普通名詞,一般,*,*,*,False,*,*
POLICY,ポリシー,ポリシー,Policy,名詞,普通名詞,一般,*,*,*,False,*,*
v,V,ボルト,V,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
α,α,アルファー,α,記号,文字,*,*,*,*,False,*,*
liv,LIV,リブ,LIV,名詞,固有名詞,一般,*,*,*,False,*,*
ヴイアライヴ,ヴイアライヴ,ヴイアライヴ,ヴイアライヴ,名詞,普通名詞,一般,*,*,*,True,*,*
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*
アイドル,アイドル,アイドル,アイドル,名詞,普通名詞,一般,*,*,*,False,*,*
マスター,マスター,マスター,マスター,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ポータル,ポータル,ポータル,ポータル,名詞,普通名詞,一般,*,*,*,False,*,*
アイマス,アイマス,アイマス,アイマス,名詞,普通名詞,一般,*,*,*,False,*,*
メニュー,メニュー,メニュー,メニュー,名詞,普通名詞,一般,*,*,*,False,*,*
スケジュール,スケジュール,スケジュール,スケジュール,名詞,普通名詞,一般,*,*,*,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ブランド,ブランド,ブランド,ブランド,名詞,普通名詞,一般,*,*,*,False,*,*
選択,選択,センタク,選択,名詞,普通名詞,サ変可能,*,*,*,False,*,*
THE IDOL M@STER,THE iDOL M@STER,ジアイドルマスター,THE iDOL M@STER,名詞,固有名詞,一般,*,*,*,False,*,*
シンデレラ,シンデレラ,シンデレラ,シンデレラ,名詞,固有名詞,人名,一般,*,*,False,*,*
ガールズ,ガールズ,ガールズ,ガールズ,名詞,普通名詞,一般,*,*,*,False,*,*
ミリオンライブ,ミリオンライブ,ミリオンライブ,ミリオンライブ,名詞,固有名詞,一般,*,*,*,False,ミリオン-ライブ,ミリオン-ライブ
！,!,!,!,補助記号,句点,*,*,*,*,False,*,*
SideM,SideM,サイドエム,SideM,名詞,固有名詞,一般,*,*,*,False,*,*
シャイニー,シャイニー,シャイニー,シャイニー,名詞,普通名詞,一般,*,*,*,False,*,*
