Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
サイト,サイト,サイト,サイト,名詞,普通名詞,一般,*,*,*,False,*,*
ポリシー,ポリシー,ポリシー,ポリシー,名詞,普通名詞,一般,*,*,*,False,*,*
シコセン,シコセン,シコセン,シコセン,名詞,普通名詞,一般,*,*,*,True,*,*
0,0,レイ,0,名詞,数詞,*,*,*,*,False,*,*
タグ,タグ,タグ,タグ,名詞,普通名詞,一般,*,*,*,False,*,*
レイプ,レイプ,レイプ,レイプ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
女子校生,女子校生,ジョシコウセイ,女子校生,名詞,普通名詞,一般,*,*,*,False,女子校-生,女子-校-生
人妻,人妻,ヒトヅマ,人妻,名詞,普通名詞,一般,*,*,*,False,*,*
素人,素人,シロウト,素人,名詞,普通名詞,一般,*,*,*,False,*,*
巨乳,巨乳,キョニュウ,巨乳,名詞,普通名詞,一般,*,*,*,False,*,*
ギャル,ギャル,ギャル,ギャル,名詞,普通名詞,一般,*,*,*,False,*,*
中,中,ナカ,中,名詞,普通名詞,副詞可能,*,*,*,False,*,*
出し,出す,ダシ,出す,動詞,非自立可能,*,*,五段-サ行,連用形-一般,False,*,*
潮吹き,潮吹き,シオフキ,潮吹き,名詞,普通名詞,一般,*,*,*,False,*,*
マッサージ,マッサージ,マッサージ,マッサージ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
近親相姦,近親相姦,キンシンソウカン,近親相姦,名詞,普通名詞,一般,*,*,*,False,近親-相姦,近親-相姦
ナンパ,ナンパ,ナンパ,ナンパ,名詞,固有名詞,人名,名,*,*,False,*,*
痴漢,痴漢,チカン,痴漢,名詞,普通名詞,一般,*,*,*,False,*,*
美少女,美少女,ビショウジョ,美少女,名詞,普通名詞,一般,*,*,*,False,*,美-少女
熟女,熟女,ジュクジョ,熟女,名詞,普通名詞,一般,*,*,*,False,*,*
痴女,痴女,チジョ,痴女,名詞,普通名詞,一般,*,*,*,False,*,*
お姉さん,お姉さん,オネエサン,お姉さん,名詞,普通名詞,一般,*,*,*,False,*,お-姉さん
タグ,タグ,タグ,タグ,名詞,普通名詞,一般,*,*,*,False,*,*
もっと,もっと,モット,もっと,副詞,*,*,*,*,*,False,*,*
みる,見る,ミル,みる,動詞,非自立可能,*,*,上一段-マ行,終止形-一般,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
人気,人気,ニンキ,人気,名詞,普通名詞,一般,*,*,*,False,*,*
タグ,タグ,タグ,タグ,名詞,普通名詞,一般,*,*,*,False,*,*
巨乳,巨乳,キョニュウ,巨乳,名詞,普通名詞,一般,*,*,*,False,*,*
素人,素人,シロウト,素人,名詞,普通名詞,一般,*,*,*,False,*,*
女子校生,女子校生,ジョシコウセイ,女子校生,名詞,普通名詞,一般,*,*,*,False,女子校-生,女子-校-生
美少女,美少女,ビショウジョ,美少女,名詞,普通名詞,一般,*,*,*,False,*,美-少女
お姉さん,お姉さん,オネエサン,お姉さん,名詞,普通名詞,一般,*,*,*,False,*,お-姉さん
ロリ,ロリ,ロリ,ロリ,名詞,普通名詞,一般,*,*,*,False,*,*
妹,妹,イモウト,妹,名詞,普通名詞,一般,*,*,*,False,*,*
ギャル,ギャル,ギャル,ギャル,名詞,普通名詞,一般,*,*,*,False,*,*
ハーフ,ハーフ,ハーフ,ハーフ,名詞,普通名詞,一般,*,*,*,False,*,*
痴女,痴女,チジョ,痴女,名詞,普通名詞,一般,*,*,*,False,*,*
女教師,女教師,オンナキョウシ,女教師,名詞,固有名詞,一般,*,*,*,False,*,*
家庭教師,家庭教師,カテイキョウシ,家庭教師,名詞,普通名詞,一般,*,*,*,False,家庭-教師,家庭-教師
人妻,人妻,ヒトヅマ,人妻,名詞,普通名詞,一般,*,*,*,False,*,*
熟女,熟女,ジュクジョ,熟女,名詞,普通名詞,一般,*,*,*,False,*,*
OL,OL,オーエル,OL,名詞,普通名詞,一般,*,*,*,False,*,*
処女,処女,ショジョ,処女,名詞,普通名詞,一般,*,*,*,False,*,*
童貞,童貞,ドウテイ,童貞,名詞,普通名詞,一般,*,*,*,False,*,*
M,m,メートル,m,名詞,普通名詞,助数詞可能,*,*,*,False,*,*
男,男,オトコ,男,名詞,普通名詞,一般,*,*,*,False,*,*
コスプレ,コスプレ,コスプレ,コスプレ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
看護婦,看護婦,カンゴフ,看護婦,名詞,普通名詞,一般,*,*,*,False,*,看護-婦
パイパン,パイパン,パイパン,パイパン,名詞,普通名詞,一般,*,*,*,False,*,*
水着,水着,ミズギ,水着,名詞,普通名詞,一般,*,*,*,False,*,*
めがね,眼鏡,メガネ,めがね,名詞,普通名詞,一般,*,*,*,False,*,*
中,中,ナカ,中,名詞,普通名詞,副詞可能,*,*,*,False,*,*
出し,出す,ダシ,出す,動詞,非自立可能,*,*,五段-サ行,連用形-一般,False,*,*
顔,顔,カオ,顔,名詞,普通名詞,一般,*,*,*,False,*,*
射,射,シャ,射,接尾辞,名詞的,一般,*,*,*,False,*,*
ハメ,羽目,ハメ,ハメ,名詞,普通名詞,一般,*,*,*,False,*,*
撮り,撮る,トリ,撮る,動詞,一般,*,*,五段-ラ行,連用形-一般,False,*,*
ナンパ,ナンパ,ナンパ,ナンパ,名詞,固有名詞,人名,名,*,*,False,*,*
フェラ,フェラ,フェラ,フェラ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
手コキ,手コキ,テコキ,手コキ,名詞,固有名詞,一般,*,*,*,False,手-コキ,手-コキ
パイズリ,ぱいずり,パイズリ,パイズリ,名詞,普通名詞,一般,*,*,*,False,*,*
ぶっかけ,打っ掛け,ブッカケ,ぶっかけ,名詞,普通名詞,一般,*,*,*,False,*,*
イラマチオ,イラマチオ,イラマチオ,イラマチオ,名詞,普通名詞,一般,*,*,*,True,*,*
レイプ,レイプ,レイプ,レイプ,名詞,普通名詞,サ変可能,*,*,*,False,*,*
近親相姦,近親相姦,キンシンソウカン,近親相姦,名詞,普通名詞,一般,*,*,*,False,近親-相姦,近親-相姦
潮吹き,潮吹き,シオフキ,潮吹き,名詞,普通名詞,一般,*,*,*,False,*,*
オナニー,オナニー,オナニー,オナニー,名詞,普通名詞,サ変可能,*,*,*,False,*,*
3,3,サン,3,名詞,数詞,*,*,*,*,False,*,*
P,p,p,p,名詞,普通名詞,一般,*,*,*,True,*,*
乱交,乱交,ランコウ,乱交,名詞,普通名詞,一般,*,*,*,False,*,*
盗撮,盗撮,トウサツ,盗撮,名詞,普通名詞,サ変可能,*,*,*,False,*,*
痴漢,痴漢,チカン,痴漢,名詞,普通名詞,一般,*,*,*,False,*,*
露出,露出,ロシュツ,露出,名詞,普通名詞,サ変可能,*,*,*,False,*,*
ソープ,ソープ,ソープ,ソープ,名詞,普通名詞,一般,*,*,*,False,*,*
