Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split
日本コロムビア,日本コロムビア,ニホンコロムビア,日本コロムビア,名詞,固有名詞,一般,*,*,*,False,日本-コロムビア,日本-コロムビア
音源,音源,オンゲン,音源,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
映像,映像,エイゾウ,映像,名詞,普通名詞,一般,*,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
ジャケット写真,ジャケット写真,ジャケットシャシン,ジャケット写真,名詞,固有名詞,一般,*,*,*,False,ジャケット-写真,ジャケット-写真
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
専属,専属,センゾク,専属,名詞,普通名詞,サ変可能,*,*,*,False,*,*
楽曲,楽曲,ガッキョク,楽曲,名詞,普通名詞,一般,*,*,*,False,*,*
使用,使用,シヨウ,使用,名詞,普通名詞,サ変可能,*,*,*,False,*,*
申請,申請,シンセイ,申請,名詞,普通名詞,サ変可能,*,*,*,False,*,*
｜,|,キゴウ,|,補助記号,一般,*,*,*,*,False,*,*
NIPPON COLUMBIA,日本コロムビア,ニッポンコロムビア,nippon columbia,名詞,固有名詞,一般,*,*,*,False,*,*
NIPPON COLUMBIA,日本コロムビア,ニッポンコロムビア,nippon columbia,名詞,固有名詞,一般,*,*,*,False,*,*
CO,CO,シーオー,Co,名詞,普通名詞,一般,*,*,*,False,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
、,、,、,、,補助記号,読点,*,*,*,*,False,*,*
LTD,ltd,ltd,ltd,名詞,普通名詞,一般,*,*,*,True,*,*
。,。,。,。,補助記号,句点,*,*,*,*,False,*,*
閉じる,閉じる,トジル,閉じる,動詞,一般,*,*,上一段-ザ行,終止形-一般,False,*,*
メニュー,メニュー,メニュー,メニュー,名詞,普通名詞,一般,*,*,*,False,*,*
検索,検索,ケンサク,検索,名詞,普通名詞,サ変可能,*,*,*,False,*,*
TOP,TOP,トップ,TOP,名詞,普通名詞,一般,*,*,*,False,*,*
リリース,リリース,リリース,リリース,名詞,普通名詞,サ変可能,*,*,*,False,*,*
アーティスト,アーチスト,アーティスト,アーティスト,名詞,普通名詞,一般,*,*,*,False,*,*
ジャンル,ジャンル,ジャンル,ジャンル,名詞,普通名詞,一般,*,*,*,False,*,*
J,j,j,j,名詞,普通名詞,一般,*,*,*,True,*,*
-,-,-,-,補助記号,一般,*,*,*,*,False,*,*
POP,POP,ポップ,POP,名詞,固有名詞,人名,一般,*,*,False,*,*
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*
ロック,ロック,ロック,ロック,名詞,普通名詞,一般,*,*,*,False,*,*
演歌,演歌,エンカ,演歌,名詞,普通名詞,一般,*,*,*,False,*,*
/,/,キゴウ,/,補助記号,一般,*,*,*,*,False,*,*
歌謡曲,歌謡曲,カヨウキョク,歌謡曲,名詞,普通名詞,一般,*,*,*,False,*,歌謡-曲
アニメ,アニメ,アニメ,アニメ,名詞,普通名詞,一般,*,*,*,False,*,*
/,/,キゴウ,/,補助記号,一般,*,*,*,*,False,*,*
特撮,特撮,トクサツ,特撮,名詞,普通名詞,一般,*,*,*,False,*,*
キッズ,キッズ,キッズ,キッズ,名詞,普通名詞,一般,*,*,*,False,*,*
/,/,キゴウ,/,補助記号,一般,*,*,*,*,False,*,*
ファミリー,ファミリー,ファミリー,ファミリー,名詞,普通名詞,一般,*,*,*,False,*,*
