surface,normalized,dictionary,pos
HOME,HOME,HOME,Alpha
SHOPPING,SHOPPING,SHOPPING,Alpha
삭제,삭제,삭제,Noun
검색,검색,검색,Noun
최근,최근,최근,Noun
검색어,검색어,검색어,Noun
최근,최근,최근,Noun
검색어,검색어,검색어,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
인기,인기,인기,Noun
검색어,검색어,검색어,Noun
쇼핑,쇼핑,쇼핑,Noun
장바구니,장바구니,장바구니,Noun
주문,주문,주문,Noun
배송,배송,배송,Noun
카테고리,카테고리,카테고리,Noun
보기,보기,보기,Noun
편성표,편성표,편성표,Noun
TV,TV,TV,Alpha
홈,홈,홈,Noun
특,특,특,Noun
오늘,오늘,오늘,Noun
식품,식품,식품,Noun
파트너,파트너,파트너,Noun
딜,딜,딜,Noun
갤러리아,갤러리아,갤러리아,Noun
백화점,백화점,백화점,Noun
베스트,베스트,베스트,Noun
이전,이전,이전,Noun
로그인,로그인,로그인,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
로그인,로그인,로그인,Noun
닫기,닫기,닫다,Verb
카테고리,카테고리,카테고리,Noun
브랜드,브랜드,브랜드,Noun
스토어,스토어,스토어,Noun
브랜드,브랜드,브랜드,Noun
더,더,더,Noun
보기,보기,보기,Noun
검색,검색,검색,Noun
최근,최근,최근,Noun
본,본,본,Modifier
상품,상품,상품,Noun
0,0,0,Number
앱,앱,앱,Noun
다운로드,다운로드,다운로드,Noun
맨,맨,맨,Noun
위로,위로,위로,Noun
홈,홈,홈,Noun
쇼핑,쇼핑,쇼핑,Noun
앱,앱,앱,Noun
다운로드,다운로드,다운로드,Noun
닫기,닫기,닫다,Verb
문자,문자,문자,Noun
수신,수신,수신,Noun
번호,번호,번호,Noun
회원정보,회원정보,회원정보,Noun
입력,입력,입력,Noun
된,된,되다,Verb
휴대폰,휴대폰,휴대폰,Noun
번호,번호,번호,Noun
앱,앱,앱,Noun
다운로드,다운로드,다운로드,Noun
링크,링크,링크,Noun
보내,보내,보내다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
문자,문자,문자,Noun
발송,발송,발송,Noun
은,은,은,Josa
무료,무료,무료,Noun
이며,이며,이며,Josa
",",",",",",Punctuation
개인정보,개인정보,개인정보,Noun
는,는,는,Josa
저장,저장,저장,Noun
되지,되지,되다,Verb
않습니다,않습니다,않다,Verb
.,.,.,Punctuation
앱,앱,앱,Noun
설치,설치,설치,Noun
어려우시면,어려우시면,어리다,Verb
080-848,080-848,080-848,Number
1111,1111,1111,Number
연락,연락,연락,Noun
해주세요,해주세요,해주다,Verb
.,.,.,Punctuation
전송,전송,전송,Noun
하기,하기,하다,Verb
홈,홈,홈,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
홈,홈,홈,Noun
쇼핑,쇼핑,쇼핑,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
주식회사,주식회사,주식회사,Noun
홈,홈,홈,Noun
쇼핑,쇼핑,쇼핑,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
”,”,”,Foreign
은,은,은,Noun
고객,고객,고객,Noun
님,님,님,Suffix
동의,동의,동의,Noun
기반,기반,기반,Noun
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
하며,하며,하다,Verb
",",",",",",Punctuation
이용자,이용자,이용자,Noun
권리,권리,권리,Noun
개인정보,개인정보,개인정보,Noun
자기결정권,자기결정권,자기결정권,Noun
적극,적극,적극,Noun
적,적,적,Suffix
보장,보장,보장,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
정보통,정보통,정보통,Noun
신,신,신,Modifier
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
준수,준수,준수,Noun
하는,하는,하다,Verb
대한민국,대한민국,대한민국,Noun
관계,관계,관계,Noun
법령,법령,법령,Noun
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
규정,규정,규정,Noun
",",",",",",Punctuation
가이드라인,가이드라인,가이드라인,Noun
준수,준수,준수,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
본,본,보다,Verb
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
은,은,은,Josa
쇼핑몰,쇼핑몰,쇼핑몰,Noun
서비스,서비스,서비스,Noun
PC,PC,PC,Alpha
