surface,normalized,dictionary,pos
YTN,YTN,YTN,Alpha
2,2,2,Number
YTN,YTN,YTN,Alpha
2,2,2,Number
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
Family,Family,Family,Alpha
site,site,site,Alpha
YTN,YTN,YTN,Alpha
YTN,YTN,YTN,Alpha
사이언스,사이언스,사이언스,Noun
YTN,YTN,YTN,Alpha
라디오,라디오,라디오,Noun
YTN,YTN,YTN,Alpha
2,2,2,Number
YTN,YTN,YTN,Alpha
dmb,dmb,dmb,Alpha
YTN,YTN,YTN,Alpha
world,world,world,Alpha
YTN,YTN,YTN,Alpha
korean,korean,korean,Alpha
남산,남산,남산,Noun
서울,서울,서울,Noun
타워,타워,타워,Noun
채널,채널,채널,Noun
소개,소개,소개,Noun
프로그램,프로그램,프로그램,Noun
전체,전체,전체,Noun
프로그램,프로그램,프로그램,Noun
방영,방영,방영,Noun
프로그램,프로그램,프로그램,Noun
종영,종영,종영,Noun
프로그램,프로그램,프로그램,Noun
뉴스,뉴스,뉴스,Noun
멘,멘,메다,Verb
터리,터리,터리,Noun
전쟁,전쟁,전쟁,Noun
사람,사람,사람,Noun
찐,찐,찌다,Verb
캠퍼,캠퍼,캠퍼,Noun
더,더,더,Noun
싱어,싱어,싱어,Noun
메디,메디,메다,Verb
컬,컬,컬,Noun
인사이트,인사이트,인사이트,Noun
눈,눈,눈,Noun
띄는,띄는,띄다,Verb
그녀,그녀,그녀,Noun
5,5,5,Number
소파,소파,소파,Noun
트래블러,트래블러,트래블러,Noun
게,게,게,Josa
웬,웬,웬,Noun
날리지,날리지,날리다,Verb
와이,와이,와이,Modifier
즈,즈,즈,Modifier
픽,픽,픽,Noun
와이,와이,와이,Modifier
투,투,투,Noun
엔,엔,엔,Josa
편성표,편성표,편성표,Noun
동영상,동영상,동영상,Noun
인기,인기,인기,Noun
동영상,동영상,동영상,Noun
최신,최신,최신,Noun
동영상,동영상,동영상,Noun
특별,특별,특별,Noun
기획,기획,기획,Noun
날씨,날씨,날씨,Noun
예보,예보,예보,Noun
지역별,지역별,지역별,Noun
날씨,날씨,날씨,Noun
동네예보,동네예보,동네예보,Noun
북한,북한,북한,Noun
예보,예보,예보,Noun
세계,세계,세계,Noun
날씨,날씨,날씨,Noun
특보,특보,특보,Noun
특보,특보,특보,Noun
현황,현황,현황,Noun
특보,특보,특보,Noun
발표,발표,발표,Noun
기준,기준,기준,Noun
테마,테마,테마,Noun
날씨,날씨,날씨,Noun
스포츠,스포츠,스포츠,Noun
날씨,날씨,날씨,Noun
레저,레저,레저,Noun
날씨,날씨,날씨,Noun
여행,여행,여행,Noun
날씨,날씨,날씨,Noun
바다,바다,바다,Noun
날씨,날씨,날씨,Noun
방송,방송,방송,Noun
정보,정보,정보,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
프로그램,프로그램,프로그램,Noun
구입,구입,구입,Noun
광고,광고,광고,Noun
문의,문의,문의,Noun
ON,ON,ON,Alpha
AIR,AIR,AIR,Alpha
검색,검색,검색,Noun
버튼,버튼,버튼,Noun
찾으세요,찾으세요,찾다,Verb
검색,검색,검색,Noun
검색,검색,검색,Noun
창,창,창,Noun
닫기,닫기,닫다,Verb
기사,기사,기사,Noun
배열,배열,배열,Noun
기본,기본,기본,Noun
방침,방침,방침,Noun
YTN,YTN,YTN,Alpha
YTN,YTN,YTN,Alpha
관계,관계,관계,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
”,”,”,Foreign
라,라,라,Josa
합니다,합니다,하다,Verb
은,은,은,Noun
정확하고,정확하고,정확하다,Adjective
가치,가치,가치,Noun
있는,있는,있다,Adjective
콘텐츠,콘텐츠,콘텐츠,Noun
전달,전달,전달,Noun
하기,하기,하다,Verb
위해,위해,위해,Noun
기사,기사,기사,Noun
배열,배열,배열,Noun
기,기,기,Modifier
본,본,본,Modifier
방침,방침,방침,Noun
공개,공개,공개,Noun
하고,하고,하고,Josa
이를,이를,이르다,Verb
준수,준수,준수,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
서,서,서,Josa
YTN,YTN,YTN,Alpha
YTN,YTN,YTN,Alpha
관계,관계,관계,Noun
사라,사라,사라,Noun
함,함,함,Noun
은,은,은,Josa
㈜,㈜,㈜,Foreign
YTN,YTN,YTN,Alpha
",",",",",",Punctuation
㈜,㈜,㈜,Foreign
YTN,YTN,YTN,Alpha
라디오,라디오,라디오,Noun
",",",",",",Punctuation
㈜,㈜,㈜,Foreign
YTN,YTN,YTN,Alpha
dmb,dmb,dmb,Alpha
YTN,YTN,YTN,Alpha
자회사,자회사,자회사,Noun
보유,보유,보유,Noun
한,한,한,Josa
회사,회사,회사,Noun
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
다양한,다양한,다양하다,Adjective
정보,정보,정보,Noun
더,더,더,Noun
빠르고,빠르고,빠르다,Adjective
정확하게,정확하게,정확하다,Adjective
전달,전달,전달,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
뉴스,뉴스,뉴스,Noun
가치,가치,가치,Noun
의미,의미,의미,Noun
있는,있는,있다,Adjective
기사,기사,기사,Noun
정확하고,정확하고,정확하다,Adjective
신속하게,신속하게,신속하다,Adjective
전달,전달,전달,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
롭고,롭고,롭고,Josa
바른,바른,바르다,Verb
정보,정보,정보,Noun
제공,제공,제공,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
신속하게,신속하게,신속하다,Adjective
제공,제공,제공,Noun
하면서도,하면서도,하다,Verb
올바른,올바른,올바르다,Adjective
정보,정보,정보,Noun
전달,전달,전달,Noun
되도록,되도록,되다,Verb
노력,노력,노력,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
상업,상업,상업,Noun
적,적,적,Suffix
인,인,인,Josa
단순,단순,단순,Noun
홍보,홍보,홍보,Noun
",",",",",",Punctuation
선정,선정,선정,Noun
적,적,적,Suffix
인,인,인,Josa
내용,내용,내용,Noun
",",",",",",Punctuation
사행,사행,사행,Noun
심,심,심,Noun
조장,조장,조장,Noun
하는,하는,하다,Verb
기사,기사,기사,Noun
다루지,다루지,다루다,Verb
않겠습니다,않겠습니다,않다,Verb
.,.,.,Punctuation
3,3,3,Number
.,.,.,Punctuation
정치,정치,정치,Noun
