surface,normalized,dictionary,pos
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
MEDI,MEDI,MEDI,Alpha
GATE,GATE,GATE,Alpha
선생님,선생님,선생님,Noun
생일,생일,생일,Noun
축하,축하,축하,Noun
합니다,합니다,하다,Verb
생일,생일,생일,Noun
선물,선물,선물,Noun
받기,받기,받다,Verb
진행중,진행중,진행중,Noun
인,인,인,Josa
이벤트,이벤트,이벤트,Noun
진행중,진행중,진행중,Noun
인,인,인,Josa
이벤트,이벤트,이벤트,Noun
닥터,닥터,닥터,Noun
게이트,게이트,게이트,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
병원,병원,병원,Noun
경영,경영,경영,Noun
아카데미,아카데미,아카데미,Noun
MG,MG,MG,Alpha
몰,몰,몰다,Verb
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
닥터,닥터,닥터,Noun
게이트,게이트,게이트,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
병원,병원,병원,Noun
경영,경영,경영,Noun
아카데미,아카데미,아카데미,Noun
MG,MG,MG,Alpha
몰,몰,몰다,Verb
자세히,자세히,자세하다,Adjective
보기,보기,보기,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
대한,대한,대한,Noun
궁금증,궁금증,궁금증,Noun
",",",",",",Punctuation
고객,고객,고객,Noun
센터,센터,센터,Noun
풀어,풀어,풀다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
FAQ,FAQ,FAQ,Alpha
공지,공지,공지,Noun
사항,사항,사항,Noun
1:1,1:1,1:1,Number
문의,문의,문의,Noun
회원,회원,회원,Noun
인증,인증,인증,Noun
자격,자격,자격,Noun
변경,변경,변경,Noun
메디,메디,메다,Verb
게이트,게이트,게이트,Noun
정책,정책,정책,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
MG,MG,MG,Alpha
포인트,포인트,포인트,Noun
서비스,서비스,서비스,Noun
약관,약관,약관,Noun
메일,메일,메일,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
회원,회원,회원,Noun
개인정보,개인정보,개인정보,Noun
보호,보호,보호,Noun
위,위,위,Noun
한,한,한,Josa
반,반,반,Modifier
사항,사항,사항,Noun
규정,규정,규정,Noun
합니다,합니다,하다,Verb
2024년,2024년,2024년,Number
6월,6월,6월,Number
3일,3일,3일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2024년,2024년,2024년,Number
1월,1월,1월,Number
11일,11일,11일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2023년,2023년,2023년,Number
12월,12월,12월,Number
18일,18일,18일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2021년,2021년,2021년,Number
7월,7월,7월,Number
1일,1일,1일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2020년,2020년,2020년,Number
1월,1월,1월,Number
22일,22일,22일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2019년,2019년,2019년,Number
8월,8월,8월,Number
27일,27일,27일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2019년,2019년,2019년,Number
7월,7월,7월,Number
15일,15일,15일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2018년,2018년,2018년,Number
12월,12월,12월,Number
27일,27일,27일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2018년,2018년,2018년,Number
8월,8월,8월,Number
6일,6일,6일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2017년,2017년,2017년,Number
7월,7월,7월,Number
20일,20일,20일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2017년,2017년,2017년,Number
7월,7월,7월,Number
01일,01일,01일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2017년,2017년,2017년,Number
5월,5월,5월,Number
11일,11일,11일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2016년,2016년,2016년,Number
5월,5월,5월,Number
17일,17일,17일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2016년,2016년,2016년,Number
3월,3월,3월,Number
15일,15일,15일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2015년,2015년,2015년,Number
10월,10월,10월,Number
19일,19일,19일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2015년,2015년,2015년,Number
8월,8월,8월,Number
18일,18일,18일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2015년,2015년,2015년,Number
2월,2월,2월,Number
3일,3일,3일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2014년,2014년,2014년,Number
1월,1월,1월,Number
13일,13일,13일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2013년,2013년,2013년,Number
4월,4월,4월,Number
11일,11일,11일,Number
이후,이후,이후,Foreign
적용,적용,적용,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2011년,2011년,2011년,Number
8월,8월,8월,Number
