surface,normalized,dictionary,pos
승리,승리,승리,Noun
여신,여신,여신,Noun
니케,니케,니케,Noun
쿠키,쿠키,쿠키,Noun
정책,정책,정책,Noun
최신,최신,최신,Noun
업데이트,업데이트,업데이트,Noun
2023,2023,2023,Number
12,12,12,Number
28,28,28,Number
본,본,보다,Verb
쿠키,쿠키,쿠키,Noun
정책,정책,정책,Noun
은,은,은,Josa
승리,승리,승리,Noun
여신,여신,여신,Noun
니케,니케,니케,Noun
당사,당사,당사,Noun
웹사이트,웹사이트,웹사이트,Noun
nikke-global.co,nikke-global.co,nikke-global.co,URL
m,m,m,Alpha
",",",",",",Punctuation
nikk-en.com,nikk-en.com,nikk-en.com,URL
",",",",",",Punctuation
nikke-jp.com,nikke-jp.com,nikke-jp.com,URL
",",",",",",Punctuation
nikke-kr.com,nikke-kr.com,nikke-kr.com,URL
",",",",",",Punctuation
nikke-sea.com,nikke-sea.com,nikke-sea.com,URL
",",",",",",Punctuation
nikke-de.com,nikke-de.com,nikke-de.com,URL
",",",",",",Punctuation
nikke-fr.com,nikke-fr.com,nikke-fr.com,URL
총칭,총칭,총칭,Noun
서비스,서비스,서비스,Noun
적용,적용,적용,Noun
됩니다,됩니다,되다,Verb
.,.,.,Punctuation
귀하,귀하,귀하,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
시,시,시,Noun
당사,당사,당사,Noun
는,는,는,Josa
쿠키,쿠키,쿠키,Noun
",",",",",",Punctuation
웹,웹,웹,Noun
비콘,비콘,비콘,Noun
",",",",",",Punctuation
스크립트,스크립트,스크립트,Noun
",",",",",",Punctuation
유사한,유사한,유사하다,Adjective
파일,파일,파일,Noun
이나,이나,이나,Josa
기술,기술,기술,Noun
총칭,총칭,총칭,Noun
쿠키,쿠키,쿠키,Noun
사용,사용,사용,Noun
하여,하여,하다,Verb
귀,귀,귀,Modifier
하의,하의,하의,Noun
기기,기기,기기,Noun
서비스,서비스,서비스,Noun
사용,사용,사용,Noun
대,대,대다,Verb
한,한,하다,Verb
정보,정보,정보,Noun
자동,자동,자동,Noun
수집,수집,수집,Noun
하고,하고,하고,Josa
저장,저장,저장,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
본,본,보다,Verb
쿠키,쿠키,쿠키,Noun
정책,정책,정책,Noun
은,은,은,Noun
쿠키,쿠키,쿠키,Noun
정의,정의,정의,Noun
",",",",",",Punctuation
당사,당사,당사,Noun
서비스,서비스,서비스,Noun
사용,사용,사용,Noun
되는,되는,되다,Verb
쿠키,쿠키,쿠키,Noun
종류,종류,종류,Noun
",",",",",",Punctuation
쿠키,쿠키,쿠키,Noun
관리,관리,관리,Noun
방법,방법,방법,Noun
대해,대해,대해,Noun
설명,설명,설명,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
는,는,늘다,Verb
본,본,보다,Verb
쿠키,쿠키,쿠키,Noun
정책,정책,정책,Noun
목적,목적,목적,Noun
Proxima,Proxima,Proxima,Alpha
Beta,Beta,Beta,Alpha
Pte,Pte,Pte,Alpha
.,.,.,Punctuation
Limited,Limited,Limited,Alpha
",",",",",",Punctuation
Singapore,Singapore,Singapore,Alpha
같은,같은,같다,Adjective
주소,주소,주소,Noun
등록,등록,등록,Noun
된,된,되다,Verb
회사,회사,회사,Noun
지칭,지칭,지칭,Noun
합니다,합니다,하다,Verb
10,10,10,Number
Anson,Anson,Anson,Alpha
Road,Road,Road,Alpha
21-07,21-07,21-07,Number
International,International,International,Alpha
Plaza,Plaza,Plaza,Alpha
",",",",",",Punctuation
Singapore,Singapore,Singapore,Alpha
.,.,.,Punctuation
쿠키,쿠키,쿠키,Noun
통해,통해,통해,Noun
수집,수집,수집,Noun
되,되,되다,Verb
는,는,늘다,Verb
개인,개인,개인,Noun
정보,정보,정보,Noun
대해,대해,대해,Noun
서는,서는,서다,Verb
당사,당사,당사,Noun
데이터,데이터,데이터,Noun
컨트롤러,컨트롤러,컨트롤러,Noun
입니다,입니다,이다,Adjective
.,.,.,Punctuation
EU,EU,EU,Alpha
일반,일반,일반,Noun
개인정보,개인정보,개인정보,Noun
보호,보호,보호,Noun
법,법,법,Noun
목적,목적,목적,Noun
EU,EU,EU,Alpha
있는,있는,있다,Adjective
당사,당사,당사,Noun
대리인,대리인,대리인,Noun
은,은,은,Josa
Proxima,Proxima,Proxima,Alpha
Beta,Beta,Beta,Alpha
Europe,Europe,Europe,Alpha
B,B,B,Alpha
.,.,.,Punctuation
V,V,V,Alpha
.,.,.,Punctuation
",",",",",",Punctuation
the,the,the,Alpha
Netherlands,Netherlands,Netherlands,Alpha
같은,같은,같다,Adjective
주소,주소,주소,Noun
등록,등록,등록,Noun
된,된,되다,Verb
회사,회사,회사,Noun
지칭,지칭,지칭,Noun
합니다,합니다,하다,Verb
Gustav,Gustav,Gustav,Alpha
Mahlerplein,Mahlerplein,Mahlerplein,Alpha
2,2,2,Number
",",",",",",Punctuation
1082,1082,1082,Number
MA,MA,MA,Alpha
",",",",",",Punctuation
Amsterdam,Amsterdam,Amsterdam,Alpha
",",",",",",Punctuation
the,the,the,Alpha
Netherlands,Netherlands,Netherlands,Alpha
.,.,.,Punctuation
영국,영국,영국,Noun
개인정보,개인정보,개인정보,Noun
보호,보호,보호,Noun
법,법,법,Noun
목적,목적,목적,Noun
영국,영국,영국,Noun
있는,있는,있다,Adjective
당사,당사,당사,Noun
대리인,대리인,대리인,Noun
은,은,은,Josa
Image,Image,Image,Alpha
Frame,Frame,Frame,Alpha
Investment,Investment,Investment,Alpha
UK,UK,UK,Alpha
Limited,Limited,Limited,Alpha
",",",",",",Punctuation
영국,영국,영국,Noun
같은,같은,같다,Adjective
주소,주소,주소,Noun
등록,등록,등록,Noun
된,된,되다,Verb
회사,회사,회사,Noun
