surface,normalized,dictionary,pos
KOSIS,KOSIS,KOSIS,Alpha
국가,국가,국가,Noun
통계,통계,통계,Noun
포털,포털,포털,Noun
상단,상단,상단,Noun
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
누리집,누리집,누리집,Noun
은,은,은,Josa
대한민국,대한민국,대한민국,Noun
공식,공식,공식,Noun
전자정부,전자정부,전자정부,Noun
누리집,누리집,누리집,Noun
입니다,입니다,이다,Adjective
.,.,.,Punctuation
11회,11회,11회,Number
2024,2024,2024,Number
국가승인,국가승인,국가승인,Noun
통계,통계,통계,Noun
활용,활용,활용,Noun
디지털콘텐츠,디지털콘텐츠,디지털콘텐츠,Noun
공모전,공모전,공모전,Noun
5.13,5.13,5.13,Number
7.14,7.14,7.14,Number
팝업,팝업,팝업,Noun
보기,보기,보기,Noun
1/1,1/1,1/1,Number
이전,이전,이전,Noun
정지,정지,정지,Noun
재생,재생,재생,Noun
하루,하루,하루,Noun
열지,열지,열다,Verb
않기,않기,않다,Verb
다시,다시,다시,Noun
열지,열지,열다,Verb
않기,않기,않다,Verb
팝업,팝업,팝업,Noun
닫기,닫기,닫다,Verb
다시,다시,다시,Noun
대한민국,대한민국,대한민국,Noun
새로운,새로운,새롭다,Adjective
국민,국민,국민,Noun
나라,나라,나라,Noun
국내,국내,국내,Noun
통계,통계,통계,Noun
주제,주제,주제,Noun
별,별,별,Noun
통계,통계,통계,Noun
기관,기관,기관,Noun
별,별,별,Noun
통계,통계,통계,Noun
e,e,e,Alpha
지방,지방,지방,Noun
지표,지표,지표,Noun
통계표,통계표,통계표,Noun
e,e,e,Alpha
지방,지방,지방,Noun
지표,지표,지표,Noun
화,화,화,Suffix
과거,과거,과거,Noun
ㆍ,ㆍ,ㆍ,Foreign
중지,중지,중지,Noun
통계,통계,통계,Noun
실험,실험,실험,Noun
적,적,적,Suffix
통계,통계,통계,Noun
국제,국제,국제,Noun
ㆍ,ㆍ,ㆍ,Foreign
북한,북한,북한,Noun
통계,통계,통계,Noun
국제,국제,국제,Noun
통계,통계,통계,Noun
북한,북한,북한,Noun
통계,통계,통계,Noun
쉽게,쉽게,쉬다,Verb
보는,보는,보다,Verb
통계,통계,통계,Noun
대상,대상,대상,Noun
별,별,별,Noun
접근,접근,접근,Noun
이슈,이슈,이슈,Noun
별,별,별,Noun
접근,접근,접근,Noun
통계,통계,통계,Noun
화,화,화,Suffix
콘텐츠,콘텐츠,콘텐츠,Noun
온라인,온라인,온라인,Noun
간행물,간행물,간행물,Noun
주제,주제,주제,Noun
별,별,별,Noun
명칭,명칭,명칭,Noun
별,별,별,Noun
기획,기획,기획,Noun
간행물,간행물,간행물,Noun
민원,민원,민원,Noun
안내,안내,안내,Noun
FAQ,FAQ,FAQ,Alpha
Q,Q,Q,Alpha
A,A,A,Alpha
KOSIS,KOSIS,KOSIS,Alpha
길라잡이,길라잡이,길라잡이,Noun
홈페이지,홈페이지,홈페이지,Noun
개선,개선,개선,Noun
의견,의견,의견,Noun
찾아가는,찾아가는,찾아가다,Verb
KOSIS,KOSIS,KOSIS,Alpha
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
국가,국가,국가,Noun
통계,통계,통계,Noun
포털,포털,포털,Noun
소개,소개,소개,Noun
국가,국가,국가,Noun
통계,통계,통계,Noun
현황,현황,현황,Noun
국가,국가,국가,Noun
통계,통계,통계,Noun
공표,공표,공표,Noun
일정,일정,일정,Noun
새,새,새,Modifier
소식,소식,소식,Noun
팩트,팩트,팩트,Noun
체크,체크,체크,Noun
서비스,서비스,서비스,Noun
서비스,서비스,서비스,Noun
정책,정책,정책,Noun
공유,공유,공유,Noun
서비스,서비스,서비스,Noun
OpenAPI,OpenAPI,OpenAPI,Alpha
통합,통합,통합,Noun
검색,검색,검색,Noun
통합,통합,통합,Noun
검색,검색,검색,Noun
내,내,내,Noun
가본,가본,가보다,Verb
통계표,통계표,통계표,Noun
검색어,검색어,검색어,Noun
입력,입력,입력,Noun
해주세요,해주세요,해주다,Verb
검색,검색,검색,Noun
닫기,닫기,닫다,Verb
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
English,English,English,Alpha
어린이,어린이,어린이,Noun
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
메뉴,메뉴,메뉴,Noun
전체,전체,전체,Noun
보기,보기,보기,Noun
1,1,1,Number
뎁스,뎁스,뎁스,Noun
2,2,2,Number
뎁스,뎁스,뎁스,Noun
국내,국내,국내,Noun
통계,통계,통계,Noun
주제,주제,주제,Noun
별,별,별,Noun
통계,통계,통계,Noun
첫,첫,첫,Modifier
화면,화면,화면,Noun
고정,고정,고정,Noun
기관,기관,기관,Noun
별,별,별,Noun
통계,통계,통계,Noun
e,e,e,Alpha
지방,지방,지방,Noun
지표,지표,지표,Noun
통계표,통계표,통계표,Noun
주제,주제,주제,Noun
별,별,별,Noun
지역별,지역별,지역별,Noun
테마,테마,테마,Noun
별,별,별,Noun
e,e,e,Alpha
지방,지방,지방,Noun
지표,지표,지표,Noun
화,화,화,Suffix
과거,과거,과거,Noun
ㆍ,ㆍ,ㆍ,Foreign
중지,중지,중지,Noun
통계,통계,통계,Noun
광복,광복,광복,Noun
전통,전통,전통,Noun
계,계,계,Suffix
대한민국,대한민국,대한민국,Noun
통계,통계,통계,Noun
연감,연감,연감,Noun
작성중,작성중,작성중,Noun
지,지,지,Josa
통계,통계,통계,Noun
실험,실험,실험,Noun
적,적,적,Suffix
통계,통계,통계,Noun
국제,국제,국제,Noun
ㆍ,ㆍ,ㆍ,Foreign
북한,북한,북한,Noun
통계,통계,통계,Noun
국제,국제,국제,Noun
통계,통계,통계,Noun
북한,북한,북한,Noun
통계,통계,통계,Noun
쉽게,쉽게,쉬다,Verb
보는,보는,보다,Verb
통계,통계,통계,Noun
대상,대상,대상,Noun
별,별,별,Noun
접근,접근,접근,Noun
이슈,이슈,이슈,Noun
