surface,normalized,dictionary,pos
개인정보,개인정보,개인정보,Noun
3,3,3,Number
제공,제공,제공,Noun
게시판,게시판,게시판,Noun
목록,목록,목록,Noun
아주대,아주대,아주대,Noun
학교,학교,학교,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
주,주,주,Modifier
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
서브,서브,서브,Noun
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
HOME,HOME,HOME,Alpha
LOGIN,LOGIN,LOGIN,Alpha
PORTAL,PORTAL,PORTAL,Alpha
발전,발전,발전,Noun
기금,기금,기금,Noun
LANGUAGE,LANGUAGE,LANGUAGE,Alpha
ENGLISH,ENGLISH,ENGLISH,Alpha
CHINESE,CHINESE,CHINESE,Alpha
통합,통합,통합,Noun
검색,검색,검색,Noun
검색어,검색어,검색어,Noun
입력,입력,입력,Noun
검색,검색,검색,Noun
대학,대학,대학,Noun
정보,정보,정보,Noun
대학,대학,대학,Noun
정보,정보,정보,Noun
대학,대학,대학,Noun
소개,소개,소개,Noun
이념,이념,이념,Noun
역사,역사,역사,Noun
연혁,연혁,연혁,Noun
교육,교육,교육,Noun
목표,목표,목표,Noun
인재,인재,인재,Noun
상,상,상,Suffix
개교,개교,개교,Noun
50,50,50,Number
주년,주년,주년,Noun
아주,아주,아주,Noun
비전,비전,비다,Verb
5.0,5.0,5.0,Number
홍보,홍보,홍보,Noun
영상,영상,영상,Noun
대학,대학,대학,Noun
상징,상징,상징,Noun
상징,상징,상징,Noun
UI,UI,UI,Alpha
50,50,50,Number
주년,주년,주년,Noun
엠블럼,엠블럼,엠블럼,Noun
슬로건,슬로건,슬로건,Noun
전용,전용,전용,Noun
서체,서체,서체,Noun
캐릭터,캐릭터,캐릭터,Noun
UI,UI,UI,Alpha
다운로드,다운로드,다운로드,Noun
대학,대학,대학,Noun
현황,현황,현황,Noun
대학,대학,대학,Noun
기구,기구,기구,Noun
규정,규정,규정,Noun
통계,통계,통계,Noun
정보공개,정보공개,정보공개,Noun
총장,총장,총장,Noun
실,실,실,Noun
인사말,인사말,인사말,Noun
약력,약력,약력,Noun
연,연,연,Modifier
설문,설문,설문,Noun
총장,총장,총장,Noun
레터,레터,레터,Noun
동정,동정,동정,Noun
역대,역대,역대,Noun
총장,총장,총장,Noun
캠퍼스,캠퍼스,캠퍼스,Noun
안내,안내,안내,Noun
캠퍼스,캠퍼스,캠퍼스,Noun
맵,맵,맵,Noun
오시는길,오시는길,오다,Verb
교내,교내,교내,Noun
전화번호,전화번호,전화번호,Noun
학교법인,학교법인,학교법인,Noun
이사장,이사장,이사장,Noun
연혁,연혁,연혁,Noun
조직,조직,조직,Noun
이사회,이사회,이사회,Noun
입학,입학,입학,Noun
입학,입학,입학,Noun
대학,대학,대학,Noun
학부,학부,학부,Noun
입학,입학,입학,Noun
입학처,입학처,입학처,Noun
외국인,외국인,외국인,Noun
입학,입학,입학,Noun
대학원,대학원,대학원,Noun
대학원,대학원,대학원,Noun
진행중,진행중,진행중,Noun
인,인,인,Josa
모집,모집,모집,Noun
요강,요강,요강,Noun
교육,교육,교육,Noun
교육,교육,교육,Noun
대학,대학,대학,Noun
대학,대학,대학,Noun
대학원,대학원,대학원,Noun
대학원,대학원,대학원,Noun
부설,부설,부설,Noun
교육,교육,교육,Noun
부설,부설,부설,Noun
교육,교육,교육,Noun
열린,열린,열리다,Verb
교육,교육,교육,Noun
Open,Open,Open,Alpha
Source,Source,Source,Alpha
Education,Education,Education,Alpha
AUT,AUT,AUT,Alpha
AUT,AUT,AUT,Alpha
연구,연구,연구,Noun
산학,산학,산학,Noun
연구,연구,연구,Noun
산학,산학,산학,Noun
연구,연구,연구,Noun
현황,현황,현황,Noun
주요,주요,주요,Noun
연구,연구,연구,Noun
성과,성과,성과,Noun
연구자,연구자,연구자,Noun
검색,검색,검색,Noun
연구,연구,연구,Noun
