surface,normalized,dictionary,pos
한국어,한국어,한국어,Noun
한국어,한국어,한국어,Noun
English,English,English,Alpha
日本语,日本语,日本语,Foreign
ไทย,ไทย,ไทย,Foreign
Deutsch,Deutsch,Deutsch,Alpha
中文（繁體）,中文（繁體）,中文（繁體）,Foreign
Portugu,Portugu,Portugu,Alpha
ê,ê,ê,Foreign
s,s,s,Alpha
Brasil,Brasil,Brasil,Alpha
Dutch,Dutch,Dutch,Alpha
Melayu,Melayu,Melayu,Alpha
Polski,Polski,Polski,Alpha
Bahasa,Bahasa,Bahasa,Alpha
Indonesia,Indonesia,Indonesia,Alpha
Italiano,Italiano,Italiano,Alpha
Fran,Fran,Fran,Alpha
ç,ç,ç,Foreign
ais,ais,ais,Alpha
Espa,Espa,Espa,Alpha
ñ,ñ,ñ,Foreign
ol,ol,ol,Alpha
Am,Am,Am,Alpha
é,é,é,Foreign
rica,rica,rica,Alpha
Latina,Latina,Latina,Alpha
승리,승리,승리,Noun
여신,여신,여신,Noun
니케,니케,니케,Noun
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
최종,최종,최종,Noun
업데이트,업데이트,업데이트,Noun
2023-09,2023-09,2023-09,Number
20,20,20,Number
당사,당사,당사,Noun
제품,제품,제품,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
해,해,하다,Verb
주셔서,주셔서,주다,Verb
감사합니다,감사합니다,감사하다,Verb
.,.,.,Punctuation
당사,당사,당사,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
대한,대한,대한,Noun
귀하,귀하,귀하,Noun
우려,우려,우려,Noun
존중,존중,존중,Noun
하며,하며,하다,Verb
",",",",",",Punctuation
귀하,귀하,귀하,Noun
보내주시는,보내주시는,보내다,Verb
신뢰,신뢰,신뢰,Noun
확신,확신,확신,Noun
감사,감사,감사,Noun
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
본,본,보다,Verb
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
은,은,은,Noun
공식,공식,공식,Noun
웹사이트,웹사이트,웹사이트,Noun
웹사이트,웹사이트,웹사이트,Noun
승리,승리,승리,Noun
여신,여신,여신,Noun
니케,니케,니케,Noun
게임,게임,게임,Noun
PC,PC,PC,Alpha
버전,버전,버전,Noun
PC,PC,PC,Alpha
버전,버전,버전,Noun
모바일,모바일,모바일,Noun
버전,버전,버전,Noun
모바일,모바일,모바일,Noun
버전,버전,버전,Noun
에만,에만,에만,Josa
적용,적용,적용,Noun
됩니다,됩니다,되다,Verb
.,.,.,Punctuation
제품,제품,제품,Noun
이나,이나,이나,Josa
서비스,서비스,서비스,Noun
사용,사용,사용,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
해당,해당,해당,Noun
제품,제품,제품,Noun
또는,또는,또는,Adverb
서비스,서비스,서비스,Noun
대한,대한,대한,Noun
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
참조,참조,참조,Noun
하십시오,하십시오,하다,Verb
.,.,.,Punctuation
본,본,보다,Verb
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
대해,대해,대해,Noun
문의,문의,문의,Noun
사항,사항,사항,Noun
있거나,있거나,있다,Adjective
",",",",",",Punctuation
귀하,귀하,귀하,Noun
권리,권리,권리,Noun
행사,행사,행사,Noun
하려면,하려면,하다,Verb
확인,확인,확인,Noun
가능한,가능한,가능하다,Adjective
연락처,연락처,연락처,Noun
정보,정보,정보,Noun
이용,이용,이용,Noun
하여,하여,하다,Verb
당사,당사,당사,Noun
문의,문의,문의,Noun
하시기,하시기,하다,Verb
바랍니다,바랍니다,바라다,Verb
.,.,.,Punctuation
데이터,데이터,데이터,Noun
보호,보호,보호,Noun
법,법,법,Noun
목적,목적,목적,Noun
상,상,상,Suffix
웹사이트,웹사이트,웹사이트,Noun
게임,게임,게임,Noun
따른,따른,따르다,Verb
귀하,귀하,귀하,Noun
개인,개인,개인,Noun
정보,정보,정보,Noun
데이터,데이터,데이터,Noun
관리자,관리자,관리자,Noun
는,는,는,Josa
Proxima,Proxima,Proxima,Alpha
Beta,Beta,Beta,Alpha
Pte,Pte,Pte,Alpha
.,.,.,Punctuation
Limited,Limited,Limited,Alpha
입니다,입니다,이다,Adjective
.,.,.,Punctuation
요약,요약,요약,Noun
은,은,은,Josa
당사,당사,당사,Noun
개인,개인,개인,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
포함,포함,포함,Noun
된,된,되다,Verb
정보,정보,정보,Noun
요약,요약,요약,Noun
한,한,한,Josa
입니다,입니다,이다,Adjective
.,.,.,Punctuation
세부,세부,세부,Noun
내용,내용,내용,Noun
은,은,은,Josa
자세한,자세한,자세하다,Adjective
정보,정보,정보,Noun
클릭,클릭,클릭,Noun
