surface,normalized,dictionary,pos
메일,메일,메일,Noun
보안,보안,보안,Noun
주요,주요,주요,Noun
기능,기능,기능,Noun
주요,주요,주요,Noun
기능,기능,기능,Noun
하이,하이,하이,Noun
웍스,웍스,웍스,Noun
오피스,오피스,오피스,Noun
주요,주요,주요,Noun
기능,기능,기능,Noun
대해,대해,대해,Noun
알아보세요,알아보세요,알아보다,Verb
.,.,.,Punctuation
기업,기업,기업,Noun
메일,메일,메일,Noun
그룹,그룹,그룹,Noun
웨어,웨어,웨어,Noun
기업,기업,기업,Noun
메신저,메신저,메신저,Noun
인사,인사,인사,Noun
근무,근무,근무,Noun
경리,경리,경리,Noun
회계,회계,회계,Noun
세금,세금,세금,Noun
계산서,계산서,계산서,Noun
기업,기업,기업,Noun
메일,메일,메일,Noun
메일,메일,메일,Noun
보안,보안,보안,Noun
데이터,데이터,데이터,Noun
보관,보관,보관,Noun
결재,결재,결재,Noun
드라이브,드라이브,드라이브,Noun
화상회의,화상회의,화상회의,Noun
모바일,모바일,모바일,Noun
일정,일정,일정,Noun
게시판,게시판,게시판,Noun
예약,예약,예약,Noun
주소록,주소록,주소록,Noun
그룹,그룹,그룹,Noun
관리자,관리자,관리자,Noun
사용자,사용자,사용자,Noun
관리자,관리자,관리자,Noun
사용자,사용자,사용자,Noun
메일,메일,메일,Noun
보안,보안,보안,Noun
",",",",",",Punctuation
기업,기업,기업,Noun
안정,안정,안정,Noun
적,적,적,Suffix
인,인,인,Josa
성장,성장,성장,Noun
위해,위해,위해,Noun
놓치면,놓치면,놓치다,Verb
안,안,안,Noun
되는,되는,되다,Verb
필수,필수,필수,Noun
영역,영역,영역,Noun
자료,자료,자료,Noun
유출,유출,유출,Noun
",",",",",",Punctuation
해킹,해킹,해킹,Noun
걱정,걱정,걱정,Noun
없는,없는,없다,Adjective
하이,하이,하이,Noun
웍스,웍스,웍스,Noun
기업,기업,기업,Noun
메일,메일,메일,Noun
사용,사용,사용,Noun
해,해,하다,Verb
보세요,보세요,보다,Verb
.,.,.,Punctuation
접속,접속,접속,Noun
IP,IP,IP,Alpha
통제,통제,통제,Noun
사내,사내,사내,Noun
메일,메일,메일,Noun
시스템,시스템,시스템,Noun
회사,회사,회사,Noun
에서만,에서만,에서만,Josa
이용,이용,이용,Noun
할,할,하다,Verb
수,수,수,Noun
있도록,있도록,있다,Adjective
접속,접속,접속,Noun
허용,허용,허용,Noun
IP,IP,IP,Alpha
또는,또는,또는,Adverb
IP,IP,IP,Alpha
대역,대역,대역,Noun
지정,지정,지정,Noun
해,해,하다,Verb
보세요,보세요,보다,Verb
.,.,.,Punctuation
계정,계정,계정,Noun
정보,정보,정보,Noun
노출,노출,노출,Noun
되어도,되어도,되어다,Verb
허용,허용,허용,Noun
된,된,되다,Verb
IP,IP,IP,Alpha
접속,접속,접속,Noun
하지,하지,하다,Verb
않는다면,않는다면,않다,Verb
하이웍스,하이웍스,하이웍스,Noun
접속,접속,접속,Noun
할,할,하다,Verb
수,수,수,Noun
없어요,없어요,없다,Adjective
.,.,.,Punctuation
자세히,자세히,자세하다,Adjective
보기,보기,보기,Noun
접근,접근,접근,Noun
IP,IP,IP,Alpha
관리,관리,관리,Noun
TIP,TIP,TIP,Alpha
국가,국가,국가,Noun
IP,IP,IP,Alpha
추가,추가,추가,Noun
하이,하이,하이,Noun
웍스,웍스,웍스,Noun
보안,보안,보안,Noun
