surface,normalized,dictionary,pos
NHN,NHN,NHN,Alpha
KCP,KCP,KCP,Alpha
서비스,서비스,서비스,Noun
알아보기,알아보기,알아보다,Verb
간편,간편,간편,Noun
신청,신청,신청,Noun
하기,하기,하다,Verb
연동,연동,연동,Noun
하기,하기,하다,Verb
신청,신청,신청,Noun
현황,현황,현황,Noun
조회,조회,조회,Noun
결제,결제,결제,Noun
내,내,내,Determiner
역,역,역,Noun
조회,조회,조회,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
인,인,인,Josa
NHN,NHN,NHN,Alpha
KCP,KCP,KCP,Alpha
이용자,이용자,이용자,Noun
사이,사이,사이,Noun
안정,안정,안정,Noun
성,성,성,Suffix
신뢰,신뢰,신뢰,Noun
성,성,성,Suffix
확보,확보,확보,Noun
위,위,위,Noun
한,한,한,Josa
표준,표준,표준,Noun
약관,약관,약관,Noun
입니다,입니다,이다,Adjective
.,.,.,Punctuation
엔에이치엔,엔에이치엔,엔에이치엔,Noun
케이,케이,케이,Noun
씨,씨,씨,Suffix
피,피,피,Noun
주식회사,주식회사,주식회사,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
는,는,늘다,Verb
이용자,이용자,이용자,Noun
개인정보,개인정보,개인정보,Noun
중요시,중요시,중요시,Noun
하며,하며,하다,Verb
",",",",",",Punctuation
정보통신망,정보통신망,정보통신망,Noun
이용,이용,이용,Noun
촉진,촉진,촉진,Noun
정보보호,정보보호,정보보호,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
개인정보보호법,개인정보보호법,개인정보보호법,Noun
준수,준수,준수,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
통,통,통,Noun
하여,하여,하다,Verb
이용자,이용자,이용자,Noun
께서,께서,께서,Josa
제공,제공,제공,Noun
하시는,하시는,하다,Verb
개인정보,개인정보,개인정보,Noun
용도,용도,용도,Noun
방식,방식,방식,Noun
이용,이용,이용,Noun
되고,되고,되다,Verb
있으며,있으며,있다,Adjective
",",",",",",Punctuation
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
위해,위해,위해,Noun
조치,조치,조치,Noun
취,취,취,Noun
해지고,해지고,하다,Verb
있는지,있는지,있다,Adjective
알려,알려,알다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
개정,개정,개정,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
웹사이트,웹사이트,웹사이트,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
또는,또는,또는,Adverb
개별,개별,개별,Noun
공지,공지,공지,Noun
통,통,통,Noun
하여,하여,하다,Verb
공지,공지,공지,Noun
할,할,하다,Verb
입니다,입니다,이다,Adjective
.,.,.,Punctuation
1,1,1,Number
조,조,조,Noun
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
2,2,2,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
목적,목적,목적,Noun
3,3,3,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
보유,보유,보유,Noun
이용기,이용기,이용기,Noun
간,간,간,Suffix
4,4,4,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
파기,파기,파기,Noun
절차,절차,절차,Noun
방법,방법,방법,Noun
5,5,5,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
제공,제공,제공,Noun
6,6,6,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
위탁,위탁,위탁,Noun
7,7,7,Number
조,조,조,Noun
이용자,이용자,이용자,Noun
법정대리인,법정대리인,법정대리인,Noun
권리,권리,권리,Noun
행사,행사,행사,Noun
방법,방법,방법,Noun
8,8,8,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
안정,안정,안정,Noun
성,성,성,Suffix
확보,확보,확보,Noun
조치,조치,조치,Noun
9,9,9,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
자동,자동,자동,Noun
수집,수집,수집,Noun
장치,장치,장치,Noun
설치,설치,설치,Noun
",",",",",",Punctuation
운영,운영,운영,Noun
거부,거부,거부,Noun
관,관,관,Noun
한,한,한,Josa
사항,사항,사항,Noun
10,10,10,Number
조,조,조,Noun
개인정보,개인정보,개인정보,Noun
관,관,관,Noun
한,한,한,Josa
민원,민원,민원,Noun
서비스,서비스,서비스,Noun
11,11,11,Number
조,조,조,Noun
고지,고지,고지,Noun
의무,의무,의무,Noun
1,1,1,Number
.,.,.,Punctuation
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
회사,회사,회사,Noun
는,는,는,Josa
결제,결제,결제,Noun
대행,대행,대행,Noun
결제,결제,결제,Noun
대금,대금,대금,Noun
예치,예치,예치,Noun
서비스,서비스,서비스,Noun
",",",",",",Punctuation
현금영수증,현금영수증,현금영수증,Noun
서비스,서비스,서비스,Noun
휴대폰,휴대폰,휴대폰,Noun
본인,본인,본인,Noun
확인,확인,확인,Noun
서비스,서비스,서비스,Noun
이하,이하,이하,Noun
서비스,서비스,서비스,Noun
”,”,”,Foreign
라,라,라,Josa
칭함,칭함,칭함,Noun
신청,신청,신청,Noun
",",",",",",Punctuation
상담,상담,상담,Noun
",",",",",",Punctuation
문의사항,문의사항,문의사항,Noun
",",",",",",Punctuation
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
위,위,위,Noun
하여,하여,하다,Verb
아래,아래,아래,Noun
같은,같은,같다,Adjective
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
1,1,1,Number
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
항목,항목,항목,Noun
1,1,1,Number
필수,필수,필수,Noun
항목,항목,항목,Noun
개인정보,개인정보,개인정보,Noun
성명,성명,성명,Noun
가맹,가맹,가맹,Noun
점,점,점,Noun
경우,경우,경우,Noun
대표자,대표자,대표자,Noun
명,명,명,Suffix
담당자,담당자,담당자,Noun
명,명,명,Suffix
생년,생년,생년,Noun
월일,월일,월일,Noun
",",",",",",Punctuation
휴대폰번호,휴대폰번호,휴대폰번호,Noun
가맹,가맹,가맹,Noun
점,점,점,Noun
경우,경우,경우,Noun
대표자,대표자,대표자,Noun
휴대폰번호,휴대폰번호,휴대폰번호,Noun
담당자,담당자,담당자,Noun
휴대폰번호,휴대폰번호,휴대폰번호,Noun
전화번호,전화번호,전화번호,Noun
회사,회사,회사,Noun
번호,번호,번호,Noun
는,는,는,Josa
해당,해당,해당,Noun
없음,없음,없다,Adjective
이메일,이메일,이메일,Noun
주소,주소,주소,Noun
가맹,가맹,가맹,Noun
점,점,점,Noun
경우,경우,경우,Noun
대표자,대표자,대표자,Noun
이메일,이메일,이메일,Noun
주소,주소,주소,Noun
담당자,담당자,담당자,Noun
이메일,이메일,이메일,Noun
주소,주소,주소,Noun
성별,성별,성별,Noun
상기,상기,상기,Noun
명시,명시,명시,Noun
된,된,되다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
이외,이외,이외,Noun
서비스,서비스,서비스,Noun
”,”,”,Foreign
이용,이용,이용,Noun
과정,과정,과정,Noun
이나,이나,이나,Josa
서비스,서비스,서비스,Noun
”,”,”,Foreign
처리,처리,처리,Noun
과정,과정,과정,Noun
같은,같은,같다,Adjective
추가,추가,추가,Noun
정보,정보,정보,Noun
자동,자동,자동,Noun
수동,수동,수동,Noun
생,생,생,Noun
성,성,성,Suffix
되어,되어,되어다,Verb
수집,수집,수집,Noun
될,될,되다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
접속,접속,접속,Noun
IP,IP,IP,Alpha
MAC,MAC,MAC,Alpha
Address,Address,Address,Alpha
",",",",",",Punctuation
쿠키,쿠키,쿠키,Noun
",",",",",",Punctuation
e,e,e,Alpha
mail,mail,mail,Alpha
",",",",",",Punctuation
서비스,서비스,서비스,Noun
접속,접속,접속,Noun
일시,일시,일시,Noun
",",",",",",Punctuation
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
기록,기록,기록,Noun
",",",",",",Punctuation
불량,불량,불량,Noun
비정상,비정상,비정상,Noun
이용,이용,이용,Noun
기록,기록,기록,Noun
",",",",",",Punctuation
결제,결제,결제,Noun
기록,기록,기록,Noun
회사,회사,회사,Noun
는,는,는,Josa
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
관련,관련,관련,Noun
한,한,한,Josa
대금,대금,대금,Noun
결제,결제,결제,Noun
",",",",",",Punctuation
환불,환불,환불,Noun
필요한,필요한,필요하다,Adjective
카드,카드,카드,Noun
사명,사명,사명,Noun
",",",",",",Punctuation
카드,카드,카드,Noun
번호,번호,번호,Noun
일부,일부,일부,Noun
은행,은행,은행,Noun
명,명,명,Suffix
",",",",",",Punctuation
계좌,계좌,계좌,Noun
번호,번호,번호,Noun
",",",",",",Punctuation
통신사,통신사,통신사,Noun
명,명,명,Suffix
",",",",",",Punctuation
상품권,상품권,상품권,Noun
ID,ID,ID,Alpha
PW,PW,PW,Alpha
결제,결제,결제,Noun
수단,수단,수단,Noun
정보,정보,정보,Noun
추가,추가,추가,Noun
수집,수집,수집,Noun
할,할,하다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
휴대폰,휴대폰,휴대폰,Noun
본인,본인,본인,Noun
확인,확인,확인,Noun
서비스,서비스,서비스,Noun
위,위,위,Noun
하여,하여,하다,Verb
성명,성명,성명,Noun
",",",",",",Punctuation
생년,생년,생년,Noun
월일,월일,월일,Noun
",",",",",",Punctuation
휴대폰번호,휴대폰번호,휴대폰번호,Noun
",",",",",",Punctuation
성별,성별,성별,Noun
",",",",",",Punctuation
내,내,내,Noun
외국인,외국인,외국인,Noun
구분,구분,구분,Noun
",",",",",",Punctuation
통신사,통신사,통신사,Noun
수집,수집,수집,Noun
할,할,하다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
2,2,2,Number
선택,선택,선택,Noun
항목,항목,항목,Noun
필수,필수,필수,Noun
항목,항목,항목,Noun
이외,이외,이외,Noun
계약,계약,계약,Noun
서류,서류,서류,Noun
기재,기재,기재,Noun
된,된,되다,Verb
정보,정보,정보,Noun
또는,또는,또는,Adverb
고객,고객,고객,Noun
제공,제공,제공,Noun
한,한,한,Josa
정보,정보,정보,Noun
