surface,normalized,dictionary,pos
YTN,YTN,YTN,Alpha
사이언스,사이언스,사이언스,Noun
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
푸,푸,푸다,Verb
터,터,터,Noun
바로가기,바로가기,바로가기,Noun
사이언스,사이언스,사이언스,Noun
투데이,투데이,투데이,Noun
프로그램,프로그램,프로그램,Noun
VOD,VOD,VOD,Alpha
시청자,시청자,시청자,Noun
코너,코너,코너,Noun
LIVE,LIVE,LIVE,Alpha
YTN,YTN,YTN,Alpha
사이언스,사이언스,사이언스,Noun
검색,검색,검색,Noun
로그인,로그인,로그인,Noun
메뉴,메뉴,메뉴,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
닫기,닫기,닫다,Verb
버튼,버튼,버튼,Noun
사이언스,사이언스,사이언스,Noun
투데이,투데이,투데이,Noun
사이언스,사이언스,사이언스,Noun
투데이,투데이,투데이,Noun
다시,다시,다시,Noun
보기,보기,보기,Noun
뉴스,뉴스,뉴스,Noun
소개,소개,소개,Noun
앵커,앵커,앵커,Noun
소개,소개,소개,Noun
기자,기자,기자,Noun
소개,소개,소개,Noun
프로그램,프로그램,프로그램,Noun
홈,홈,홈,Noun
전체,전체,전체,Noun
교양,교양,교양,Noun
다큐멘터리,다큐멘터리,다큐멘터리,Noun
교육,교육,교육,Noun
캠페인,캠페인,캠페인,Noun
스페셜,스페셜,스페셜,Noun
기획,기획,기획,Noun
해외,해외,해외,Noun
프로그램,프로그램,프로그램,Noun
종영,종영,종영,Noun
프로그램,프로그램,프로그램,Noun
VOD,VOD,VOD,Alpha
인기,인기,인기,Noun
최신,최신,최신,Noun
테마,테마,테마,Noun
별,별,별,Noun
핫클립,핫클립,핫클립,Noun
시청자,시청자,시청자,Noun
코너,코너,코너,Noun
시청자,시청자,시청자,Noun
의견,의견,의견,Noun
시청자,시청자,시청자,Noun
제보,제보,제보,Noun
On,On,On,Alpha
Air,Air,Air,Alpha
편성표,편성표,편성표,Noun
유튜브,유튜브,유튜브,Noun
페이스북,페이스북,페이스북,Noun
인스타그램,인스타그램,인스타그램,Noun
네이버,네이버,네이버,Noun
TV,TV,TV,Alpha
카카오,카카오,카카오,Noun
TV,TV,TV,Alpha
네이버,네이버,네이버,Noun
포스트,포스트,포스트,Noun
방송,방송,방송,Noun
정보,정보,정보,Noun
채널,채널,채널,Noun
안내,안내,안내,Noun
날씨,날씨,날씨,Noun
검색,검색,검색,Noun
하기,하기,하다,Verb
검색,검색,검색,Noun
닫기,닫기,닫다,Verb
버튼,버튼,버튼,Noun
위로,위로,위로,Noun
가기,가기,가기,Noun
기사,기사,기사,Noun
배열,배열,배열,Noun
기본,기본,기본,Noun
방침,방침,방침,Noun
YTN,YTN,YTN,Alpha
YTN,YTN,YTN,Alpha
관계,관계,관계,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
”,”,”,Foreign
라,라,라,Josa
합니다,합니다,하다,Verb
은,은,은,Noun
정확하고,정확하고,정확하다,Adjective
가치,가치,가치,Noun
있는,있는,있다,Adjective
콘텐츠,콘텐츠,콘텐츠,Noun
전달,전달,전달,Noun
하기,하기,하다,Verb
위해,위해,위해,Noun
기사,기사,기사,Noun
배열,배열,배열,Noun
기,기,기,Modifier
본,본,본,Modifier
방침,방침,방침,Noun
공개,공개,공개,Noun
하고,하고,하고,Josa
이를,이를,이르다,Verb
준수,준수,준수,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
서,서,서,Josa
YTN,YTN,YTN,Alpha
YTN,YTN,YTN,Alpha
관계,관계,관계,Noun
사라,사라,사라,Noun
함,함,함,Noun
은,은,은,Josa
㈜,㈜,㈜,Foreign
YTN,YTN,YTN,Alpha
",",",",",",Punctuation
㈜,㈜,㈜,Foreign
YTN,YTN,YTN,Alpha
라디오,라디오,라디오,Noun
",",",",",",Punctuation
㈜,㈜,㈜,Foreign
YTN,YTN,YTN,Alpha
dmb,dmb,dmb,Alpha
YTN,YTN,YTN,Alpha
자회사,자회사,자회사,Noun
보유,보유,보유,Noun
한,한,한,Josa
회사,회사,회사,Noun
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
다양한,다양한,다양하다,Adjective
정보,정보,정보,Noun
더,더,더,Noun
빠르고,빠르고,빠르다,Adjective
정확하게,정확하게,정확하다,Adjective
전달,전달,전달,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
뉴스,뉴스,뉴스,Noun
가치,가치,가치,Noun
의미,의미,의미,Noun
있는,있는,있다,Adjective
기사,기사,기사,Noun
정확하고,정확하고,정확하다,Adjective
신속하게,신속하게,신속하다,Adjective
전달,전달,전달,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
롭고,롭고,롭고,Josa
바른,바른,바르다,Verb
정보,정보,정보,Noun
제공,제공,제공,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
신속하게,신속하게,신속하다,Adjective
제공,제공,제공,Noun
하면서도,하면서도,하다,Verb
올바른,올바른,올바르다,Adjective
정보,정보,정보,Noun
전달,전달,전달,Noun
되도록,되도록,되다,Verb
노력,노력,노력,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
상업,상업,상업,Noun
적,적,적,Suffix
인,인,인,Josa
단순,단순,단순,Noun
홍보,홍보,홍보,Noun
",",",",",",Punctuation
선정,선정,선정,Noun
적,적,적,Suffix
인,인,인,Josa
내용,내용,내용,Noun
",",",",",",Punctuation
사행,사행,사행,Noun
심,심,심,Noun
조장,조장,조장,Noun
하는,하는,하다,Verb
기사,기사,기사,Noun
다루지,다루지,다루다,Verb
않겠습니다,않겠습니다,않다,Verb
.,.,.,Punctuation
3,3,3,Number
.,.,.,Punctuation
정치,정치,정치,Noun
적,적,적,Suffix
중립,중립,중립,Noun
지키겠습니다,지키겠습니다,지키다,Verb
.,.,.,Punctuation
특정,특정,특정,Noun
계층,계층,계층,Noun
논,논,논,Noun
조,조,조,Suffix
입장,입장,입장,Noun
지,지,지,Modifier
양하,양하,양하,Noun
고,고,고,Josa
다양한,다양한,다양하다,Adjective
정보,정보,정보,Noun
균형,균형,균형,Noun
있게,있게,있다,Adjective
제공,제공,제공,Noun
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
외부,외부,외부,Noun
간섭,간섭,간섭,Noun
이나,이나,이나,Josa
사적,사적,사적,Noun
이해,이해,이해,Noun
관계,관계,관계,Noun
흔들리지,흔들리지,흔들리다,Verb
않고,않고,않다,Verb
편집,편집,편집,Noun
독립성,독립성,독립성,Noun
지키겠습니다,지키겠습니다,지키다,Verb
.,.,.,Punctuation
