surface,normalized,dictionary,pos
헤럴드,헤럴드,헤럴드,Noun
검색,검색,검색,Noun
바로가기,바로가기,바로가기,Noun
컨텐츠,컨텐츠,컨텐츠,Noun
바로가기,바로가기,바로가기,Noun
좌측,좌측,좌측,Noun
영역,영역,영역,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
저작권,저작권,저작권,Noun
규약,규약,규약,Noun
이메일,이메일,이메일,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
컨텐츠,컨텐츠,컨텐츠,Noun
영역,영역,영역,Noun
홈,홈,홈,Noun
약관,약관,약관,Noun
정책,정책,정책,Noun
이메일,이메일,이메일,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
이메일,이메일,이메일,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
①,①,①,Foreign
든지,든지,든지,Josa
전자우편,전자우편,전자우편,Noun
주소,주소,주소,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
하는,하는,하다,Verb
의사,의사,의사,Noun
명시,명시,명시,Noun
된,된,되다,Verb
인터넷,인터넷,인터넷,Noun
홈페이지,홈페이지,홈페이지,Noun
자동,자동,자동,Noun
전자우편,전자우편,전자우편,Noun
주소,주소,주소,Noun
수집,수집,수집,Noun
하는,하는,하다,Verb
프로그램,프로그램,프로그램,Noun
이나,이나,이나,Josa
밖,밖,밖,Noun
기술,기술,기술,Noun
적,적,적,Suffix
장치,장치,장치,Noun
이용,이용,이용,Noun
하여,하여,하다,Verb
전자우편,전자우편,전자우편,Noun
주소,주소,주소,Noun
수집,수집,수집,Noun
하여,하여,하다,Verb
서는,서는,서다,Verb
된다,된다,되다,Verb
.,.,.,Punctuation
②,②,②,Foreign
든지,든지,든지,Josa
1,1,1,Number
항의,항의,항의,Noun
규정,규정,규정,Noun
위반,위반,위반,Noun
하여,하여,하다,Verb
수집,수집,수집,Noun
된,된,되다,Verb
전자우편,전자우편,전자우편,Noun
주소,주소,주소,Noun
판매,판매,판매,Noun
유통,유통,유통,Noun
하여,하여,하다,Verb
서는,서는,서다,Verb
된다,된다,되다,Verb
.,.,.,Punctuation
③,③,③,Foreign
든지,든지,든지,Josa
1,1,1,Number
항,항,항,Noun
2,2,2,Number
항의,항의,항의,Noun
규정,규정,규정,Noun
의하여,의하여,의하다,Adjective
수집,수집,수집,Noun
판매,판매,판매,Noun
유통,유통,유통,Noun
금지,금지,금지,Noun
된,된,되다,Verb
전자우편,전자우편,전자우편,Noun
주,주,주,Modifier
소임,소임,소임,Noun
알,알,알,Noun
고,고,고,Josa
이를,이를,이르다,Verb
정보,정보,정보,Noun
전송,전송,전송,Noun
이용,이용,이용,Noun
하여,하여,하다,Verb
서는,서는,서다,Verb
된다,된다,되다,Verb
.,.,.,Punctuation
※,※,※,Foreign
",",",",",",Punctuation
위,위,위,Noun
같은,같은,같다,Adjective
기술,기술,기술,Noun
적,적,적,Suffix
장치,장치,장치,Noun
사용,사용,사용,Noun
한,한,한,Josa
이메일,이메일,이메일,Noun
주소,주소,주소,Noun
무단,무단,무단,Noun
수집,수집,수집,Noun
피해,피해,피해,Noun
당하신,당하신,당하다,Adjective
경우,경우,경우,Noun
불법,불법,불법,Noun
스팸,스팸,스팸,Noun
대응,대응,대응,Noun
센터,센터,센터,Noun
전용전,전용전,전용전,Noun
화,화,화,Suffix
1336,1336,1336,Number
홈페이지,홈페이지,홈페이지,Noun
(www.spamcop.or.kr,(www.spamcop.or.kr,(www.spamcop.or.kr,URL
