surface,normalized,dictionary,pos
CUCKOO,CUCKOO,CUCKOO,Alpha
Main,Main,Main,Alpha
menu,menu,menu,Alpha
Contents,Contents,Contents,Alpha
CUCKOO,CUCKOO,CUCKOO,Alpha
직,직,직,Noun
수의,수의,수의,Noun
마스터피스,마스터피스,마스터피스,Noun
인스,인스,인스,Noun
퓨어,퓨어,퓨어,Noun
직,직,직,Noun
수,수,수,Modifier
정수기,정수기,정수기,Noun
TV,TV,TV,Alpha
광고,광고,광고,Noun
런칭,런칭,런칭,Noun
1,1,1,Number
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
B,B,B,Alpha
2,2,2,Number
B,B,B,Alpha
문의,문의,문의,Noun
제품,제품,제품,Noun
대,대,대,Modifier
메뉴,메뉴,메뉴,Noun
기획전,기획전,기획전,Noun
정기,정기,정기,Noun
구독,구독,구독,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
티비,티비,티비,Noun
마이,마이,마이,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
렌탈,렌탈,렌탈,Noun
상담,상담,상담,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
이벤트,이벤트,이벤트,Noun
스토리,스토리,스토리,Noun
장바구니,장바구니,장바구니,Noun
버튼,버튼,버튼,Noun
0,0,0,Number
장바구니,장바구니,장바구니,Noun
몰,몰,몰다,Verb
상품,상품,상품,Noun
렌탈,렌탈,렌탈,Noun
상품,상품,상품,Noun
은,은,은,Josa
동시,동시,동시,Noun
결제,결제,결제,Noun
할,할,하다,Verb
수,수,수,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
장바구니,장바구니,장바구니,Noun
확인,확인,확인,Noun
해주세요,해주세요,해주다,Verb
.,.,.,Punctuation
쿠쿠,쿠쿠,쿠쿠,Noun
몰,몰,몰다,Verb
0,0,0,Number
장바구니,장바구니,장바구니,Noun
상품,상품,상품,Noun
담아주세요,담아주세요,담다,Verb
.,.,.,Punctuation
상품,상품,상품,Noun
보러,보러,보다,Verb
가기,가기,가기,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
렌탈,렌탈,렌탈,Noun
0,0,0,Number
장바구니,장바구니,장바구니,Noun
상품,상품,상품,Noun
담아주세요,담아주세요,담다,Verb
.,.,.,Punctuation
상품,상품,상품,Noun
보러,보러,보다,Verb
가기,가기,가기,Noun
정기,정기,정기,Noun
구독,구독,구독,Noun
관,관,관,Noun
0,0,0,Number
장바구니,장바구니,장바구니,Noun
상품,상품,상품,Noun
담아주세요,담아주세요,담다,Verb
.,.,.,Punctuation
상품,상품,상품,Noun
보러,보러,보다,Verb
가기,가기,가기,Noun
장바구니,장바구니,장바구니,Noun
팝업,팝업,팝업,Noun
닫기,닫기,닫다,Verb
검색,검색,검색,Noun
버튼,버튼,버튼,Noun
삭제,삭제,삭제,Noun
검색,검색,검색,Noun
최근,최근,최근,Noun
검색어,검색어,검색어,Noun
최근,최근,최근,Noun
검색어,검색어,검색어,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
인기,인기,인기,Noun
검색어,검색어,검색어,Noun
인기,인기,인기,Noun
검색어,검색어,검색어,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
검색,검색,검색,Noun
팝업,팝업,팝업,Noun
닫기,닫기,닫다,Verb
카테고리,카테고리,카테고리,Noun
홈,홈,홈,Noun
렌탈,렌탈,렌탈,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
렌탈,렌탈,렌탈,Noun
멤버십,멤버십,멤버십,Noun
계약,계약,계약,Noun
약관,약관,약관,Noun
PDF,PDF,PDF,Alpha
다운로드,다운로드,다운로드,Noun
카카오,카카오,카카오,Noun
톡,톡,톡,Noun
상담,상담,상담,Noun
렌,렌,렌,Noun
탈신,탈신,타다,Verb
청문,청문,청문,Noun
서비스,서비스,서비스,Noun
문의,문의,문의,Noun
TOP,TOP,TOP,Alpha
이용,이용,이용,Noun
약관,약관,약관,Noun
렌탈,렌탈,렌탈,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
SAFEKEY,SAFEKEY,SAFEKEY,Alpha
발급,발급,발급,Noun
패밀리,패밀리,패밀리,Noun
사이트,사이트,사이트,Noun
넬,넬,넬,Noun
샵,샵,샵,Noun
일본,일본,일본,Noun
말레이시아,말레이시아,말레이시아,Noun
인도네시아,인도네시아,인도네시아,Noun
인도,인도,인도,Noun
베트남,베트남,베트남,Noun
중국,중국,중국,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
사회,사회,사회,Noun
복지,복지,복지,Noun
재단,재단,재단,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
몰,몰,몰다,Verb
080-720,080-720,080-720,Number
9999,9999,9999,Number
서비스,서비스,서비스,Noun
문의,문의,문의,Noun
1588-8899,1588-8899,1588-8899,Number
렌탈문,렌탈문,렌탈문,Noun
1577-0010,1577-0010,1577-0010,Number
상담시,상담시,상담시,Noun
간,간,간,Suffix
평일,평일,평일,Noun
09시,09시,09시,Number
18시,18시,18시,Number
토요일,토요일,토요일,Noun
09시,09시,09시,Number
13시,13시,13시,Number
일요일,일요일,일요일,Noun
",",",",",",Punctuation
공휴일,공휴일,공휴일,Noun
휴무,휴무,휴무,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
안내,안내,안내,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
소개,소개,소개,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
티비,티비,티비,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
채널,채널,채널,Noun
채용정보,채용정보,채용정보,Noun
투자,투자,투자,Noun
정보,정보,정보,Noun
윤리경영,윤리경영,윤리경영,Noun
블로그,블로그,블로그,Noun
페이스북,페이스북,페이스북,Noun
트위터,트위터,트위터,Noun
인스타그램,인스타그램,인스타그램,Noun
유투브,유투브,유투브,Noun
쿠쿠,쿠쿠,쿠쿠,Noun
홀딩스,홀딩스,홀딩스,Noun
