surface,normalized,dictionary,pos
미투,미투,미투,Noun
디스크,디스크,디스크,Noun
나와,나와,나오다,Verb
꼭,꼭,꼭,Noun
맞는,맞는,맞다,Verb
웹하드,웹하드,웹하드,Noun
즐겨찾기,즐겨찾기,즐겨찾기,Noun
등록,등록,등록,Noun
충전,충전,충전,Noun
하기,하기,하다,Verb
내,내,내,Noun
받은,받은,받다,Verb
자료,자료,자료,Noun
쿠폰,쿠폰,쿠폰,Noun
등록,등록,등록,Noun
출석,출석,출석,Noun
체크,체크,체크,Noun
이벤트,이벤트,이벤트,Noun
친구,친구,친구,Noun
관리,관리,관리,Noun
의견,의견,의견,Noun
남기기,남기기,남다,Verb
미투,미투,미투,Noun
디스크,디스크,디스크,Noun
는,는,는,Josa
항상,항상,항상,Noun
의견,의견,의견,Noun
듣습니다,듣습니다,듣다,Verb
.,.,.,Punctuation
미투,미투,미투,Noun
디스크,디스크,디스크,Noun
이용,이용,이용,Noun
불편함,불편함,불편하다,Adjective
또는,또는,또는,Adverb
작동,작동,작동,Noun
",",",",",",Punctuation
개선,개선,개선,Noun
사항,사항,사항,Noun
다양한,다양한,다양하다,Adjective
의견,의견,의견,Noun
남겨주세요,남겨주세요,남기다,Verb
.,.,.,Punctuation
반영,반영,반영,Noun
하여,하여,하다,Verb
더욱,더욱,더욱,Noun
발전,발전,발전,Noun
하는,하는,하다,Verb
미투,미투,미투,Noun
디스크,디스크,디스크,Noun
되도록,되도록,되다,Verb
하겠습니다,하겠습니다,하다,Verb
.,.,.,Punctuation
작성자,작성자,작성자,Noun
내용,내용,내용,Noun
보내기,보내기,보내다,Verb
충전,충전,충전,Noun
샵,샵,샵,Suffix
내,내,내,Determiner
정보,정보,정보,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
방송,방송,방송,Noun
편성표,편성표,편성표,Noun
전체,전체,전체,Noun
전체,전체,전체,Noun
영화,영화,영화,Noun
드라마,드라마,드라마,Noun
동영상,동영상,동영상,Noun
게임,게임,게임,Noun
애니,애니,애니,Noun
유틸,유틸,유틸,Noun
만화,만화,만화,Noun
교육,교육,교육,Noun
문서,문서,문서,Noun
이미지,이미지,이미지,Noun
성인,성인,성인,Noun
요청,요청,요청,Noun
판매,판매,판매,Noun
골,골,골,Noun
때리는,때리는,때리다,Verb
그녀,그녀,그녀,Noun
악마,악마,악마,Noun
와의,와의,와의,Josa
토크쇼,토크쇼,토크쇼,Noun
고딩,고딩,고딩,Noun
엄빠,엄빠,엄빠,Noun
5,5,5,Number
탐정,탐정,탐정,Noun
말로,말로,말로,Noun
아빠,아빠,아빠,Noun
하고,하고,하고,Josa
나하,나하,나하,Noun
고,고,고,Josa
는,는,는,Josa
SOLO,SOLO,SOLO,Alpha
신랑,신랑,신랑,Noun
수업,수업,수업,Noun
비키니,비키니,비키니,Noun
싱글,싱글,싱글,Noun
인,인,인,Noun
서울,서울,서울,Noun
유,유,유,Noun
퀴즈,퀴즈,퀴즈,Noun
온,온,온,Noun
더,더,더,Noun
블럭,블럭,블럭,Noun
태군,태군,태군,Noun
노래,노래,노래,Noun
자랑,자랑,자랑,Noun
2,2,2,Number
서울,서울,서울,Noun
노량,노량,노량,Noun
죽음,죽음,죽음,Noun
바다,바다,바다,Noun
인생,인생,인생,Noun
연장전,연장전,연장전,Noun
데드맨,데드맨,데드맨,Noun
주간,주간,주간,Noun
아이돌,아이돌,아이돌,Noun
도,도,도,Noun
데이즈,데이즈,데이즈,Noun
원더,원더,원더,Noun
랜드,랜드,랜드,Noun
라디오스타,라디오스타,라디오스타,Noun
설계자,설계자,설계자,Noun
퍼펙트,퍼펙트,퍼펙트,Noun
라이프,라이프,라이프,Noun
박군,박군,박다,Verb
밥상,밥상,밥상,Noun
차렷,차렷,차렷,Exclamation
용감,용감,용감,Noun
무쌍,무쌍,무쌍,Noun
용,용,용,Noun
수정,수정,수정,Noun
놀아주는,놀아주는,놀다,Verb
여자,여자,여자,Noun
외계인,외계인,외계인,Noun
2,2,2,Number
부,부,부,Noun
수지,수지,수지,Noun
맞은,맞은,맞다,Verb
파묘,파묘,파묘,Noun
