surface,normalized,dictionary,pos
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
알바몬,알바몬,알바몬,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.6,8.6,8.6,Number
현재,현재,현재,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.5,8.5,8.5,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.4,8.4,8.4,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.3,8.3,8.3,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.2,8.2,8.2,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.1,8.1,8.1,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.0,8.0,8.0,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.9,7.9,7.9,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.8,7.8,7.8,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.7,7.7,7.7,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.6,7.6,7.6,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.5,7.5,7.5,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.4,7.4,7.4,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.3,7.3,7.3,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.2,7.2,7.2,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.1,7.1,7.1,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
7.0,7.0,7.0,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
6.5,6.5,6.5,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
6.4,6.4,6.4,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
6.3,6.3,6.3,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
6.2,6.2,6.2,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
6.1,6.1,6.1,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
6.0,6.0,6.0,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.9,5.9,5.9,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.8,5.8,5.8,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.7,5.7,5.7,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.6,5.6,5.6,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.5,5.5,5.5,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.4,5.4,5.4,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.3,5.3,5.3,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.2,5.2,5.2,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.1,5.1,5.1,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
5.0,5.0,5.0,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.9,4.9,4.9,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.8,4.8,4.8,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.7,4.7,4.7,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.6,4.6,4.6,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.5,4.5,4.5,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.4,4.4,4.4,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.3,4.3,4.3,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.2,4.2,4.2,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.1,4.1,4.1,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
4.0,4.0,4.0,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.9,3.9,3.9,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.8,3.8,3.8,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.7,3.7,3.7,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.6,3.6,3.6,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.5,3.5,3.5,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.4,3.4,3.4,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.3,3.3,3.3,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.2,3.2,3.2,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.1,3.1,3.1,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
3.0,3.0,3.0,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
2.0,2.0,2.0,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
1.3,1.3,1.3,Number
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
v,v,v,Alpha
1.2,1.2,1.2,Number
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
v,v,v,Alpha
8.6,8.6,8.6,Number
현재,현재,현재,Noun
ⓒ,ⓒ,ⓒ,Foreign
JOBKOREA,JOBKOREA,JOBKOREA,Alpha
LLC,LLC,LLC,Alpha
.,.,.,Punctuation
All,All,All,Alpha
Rights,Rights,Rights,Alpha
Reserved,Reserved,Reserved,Alpha
.,.,.,Punctuation
top,top,top,Alpha
버튼,버튼,버튼,Noun
TOP,TOP,TOP,Alpha
