surface,normalized,dictionary,pos
隱私權政策,隱私權政策,隱私權政策,Foreign
GUNDAM.INFO,GUNDAM.INFO,GUNDAM.INFO,URL
使用我的頁面時請開啟,使用我的頁面時請開啟,使用我的頁面時請開啟,Foreign
Cookie,Cookie,Cookie,Alpha
設定,設定,設定,Foreign
Cookie,Cookie,Cookie,Alpha
頁面,頁面,頁面,Foreign
立刻參加,立刻參加,立刻參加,Foreign
登入,登入,登入,Foreign
DELETE,DELETE,DELETE,Alpha
繁體中文,繁體中文,繁體中文,Foreign
TW,TW,TW,Alpha
日本語,日本語,日本語,Foreign
简体中文,简体中文,简体中文,Foreign
繁體中文,繁體中文,繁體中文,Foreign
HK,HK,HK,Alpha
繁體中文,繁體中文,繁體中文,Foreign
TW,TW,TW,Alpha
ภาษาไทย,ภาษาไทย,ภาษาไทย,Foreign
English,English,English,Alpha
Fran,Fran,Fran,Alpha
ç,ç,ç,Foreign
ais,ais,ais,Alpha
Italiano,Italiano,Italiano,Alpha
한국어,한국어,한국어,Noun
最新消息,最新消息,最新消息,Foreign
新聞首頁,新聞首頁,新聞首頁,Foreign
短片・音樂,短片・音樂,短片・音樂,Foreign
鋼彈模型,鋼彈模型,鋼彈模型,Foreign
公仔,公仔,公仔,Foreign
商品,商品,商品,Foreign
服飾類,服飾類,服飾類,Foreign
咖啡廳・食物,咖啡廳・食物,咖啡廳・食物,Foreign
遊戲,遊戲,遊戲,Foreign
出版物,出版物,出版物,Foreign
活動,活動,活動,Foreign
熱門話題,熱門話題,熱門話題,Foreign
資訊,資訊,資訊,Foreign
G,G,G,Alpha
BASE,BASE,BASE,Alpha
影片,影片,影片,Foreign
動畫首頁,動畫首頁,動畫首頁,Foreign
影片,影片,影片,Foreign
鋼彈,鋼彈,鋼彈,Foreign
MS,MS,MS,Alpha
動畫圖鑑,動畫圖鑑,動畫圖鑑,Foreign
商品,商品,商品,Foreign
商品首頁,商品首頁,商品首頁,Foreign
何謂鋼彈？,何謂鋼彈？,何謂鋼彈？,Foreign
何謂鋼彈？,何謂鋼彈？,何謂鋼彈？,Foreign
鋼彈學校,鋼彈學校,鋼彈學校,Foreign
作品綜合情報,作品綜合情報,作品綜合情報,Foreign
隱私權政策,隱私權政策,隱私權政策,Foreign
最後更新：,最後更新：,最後更新：,Foreign
2023,2023,2023,Number
年,年,年,Foreign
8,8,8,Number
月,月,月,Foreign
21,21,21,Number
日,日,日,Foreign
