surface,normalized,dictionary,pos
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
매체,매체,매체,Noun
소개,소개,소개,Noun
CEO,CEO,CEO,Alpha
인사말,인사말,인사말,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
는,는,는,Josa
조직,조직,조직,Noun
도,도,도,Josa
연혁,연혁,연혁,Noun
주소,주소,주소,Noun
약도,약도,약도,Noun
CI,CI,CI,Alpha
가이드북,가이드북,가이드북,Noun
SITE,SITE,SITE,Alpha
MAP,MAP,MAP,Alpha
약관,약관,약관,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
이메일,이메일,이메일,Noun
무단,무단,무단,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
윤리,윤리,윤리,Noun
강령,강령,강령,Noun
자정,자정,자정,Noun
선언문,선언문,선언문,Noun
고충,고충,고충,Noun
처리,처리,처리,Noun
인재,인재,인재,Noun
채용,채용,채용,Noun
채용,채용,채용,Noun
공고,공고,공고,Noun
매체,매체,매체,Noun
소개,소개,소개,Noun
CEO,CEO,CEO,Alpha
인사말,인사말,인사말,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
는,는,는,Josa
조직,조직,조직,Noun
도,도,도,Josa
연혁,연혁,연혁,Noun
주소,주소,주소,Noun
약도,약도,약도,Noun
CI,CI,CI,Alpha
가이드북,가이드북,가이드북,Noun
SITE,SITE,SITE,Alpha
MAP,MAP,MAP,Alpha
약관,약관,약관,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
이메일,이메일,이메일,Noun
무단,무단,무단,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
윤리,윤리,윤리,Noun
강령,강령,강령,Noun
자정,자정,자정,Noun
선언문,선언문,선언문,Noun
고충,고충,고충,Noun
처리,처리,처리,Noun
인재,인재,인재,Noun
채용,채용,채용,Noun
채용,채용,채용,Noun
공고,공고,공고,Noun
홈,홈,홈,Noun
약관,약관,약관,Noun
정책,정책,정책,Noun
개인정보,개인정보,개인정보,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
주,주,주,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
라,라,라,Josa
함,함,함,Noun
는,는,늘다,Verb
이용자,이용자,이용자,Noun
개인정보,개인정보,개인정보,Noun
보호,보호,보호,Noun
하기,하기,하다,Verb
위해,위해,위해,Noun
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
수립,수립,수립,Noun
하고,하고,하고,Josa
이를,이를,이르다,Verb
준수,준수,준수,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
회원,회원,회원,Noun
님,님,님,Suffix
본,본,보다,Verb
사이트,사이트,사이트,Noun
최대한,최대한,최대한,Noun
효과,효과,효과,Noun
적,적,적,Suffix
이용,이용,이용,Noun
하기,하기,하다,Verb
위,위,위,Noun
하여,하여,하다,Verb
필요한,필요한,필요하다,Adjective
최소한,최소한,최소한,Noun
정보,정보,정보,Noun
이외,이외,이외,Noun
는,는,는,Josa
요구,요구,요구,Noun
하지,하지,하다,Verb
않습니다,않습니다,않다,Verb
.,.,.,Punctuation
본,본,보다,Verb
취급,취급,취급,Noun
방침,방침,방침,Noun
은,은,은,Josa
수시로,수시로,수시로,Adverb
내용,내용,내용,Noun
변경,변경,변경,Noun
될,될,되다,Verb
수,수,수,Noun
있으므로,있으므로,있다,Adjective
정기,정기,정기,Noun
적,적,적,Suffix
방문,방문,방문,Noun
하셔서,하셔서,하다,Verb
확인,확인,확인,Noun
해,해,하다,Verb
보시기,보시기,보다,Verb
바랍니다,바랍니다,바라다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
수집,수집,수집,Noun
방법,방법,방법,Noun
2,2,2,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
목적,목적,목적,Noun
3,3,3,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
제공,제공,제공,Noun
공유,공유,공유,Noun
4,4,4,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
위탁,위탁,위탁,Noun
5,5,5,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
보유,보유,보유,Noun
이용기,이용기,이용기,Noun
간,간,간,Suffix
6,6,6,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
파기,파기,파기,Noun
절차,절차,절차,Noun
방법,방법,방법,Noun
7,7,7,Number
.,.,.,Punctuation
이용자,이용자,이용자,Noun
법정대리인,법정대리인,법정대리인,Noun
권리,권리,권리,Noun
행사,행사,행사,Noun
방법,방법,방법,Noun
8,8,8,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
자동,자동,자동,Noun
수집,수집,수집,Noun
장치,장치,장치,Noun
설치,설치,설치,Noun
",",",",",",Punctuation
운영,운영,운영,Noun
거부,거부,거부,Noun
관,관,관,Noun
한,한,한,Josa
사항,사항,사항,Noun
9,9,9,Number
.,.,.,Punctuation
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
위,위,위,Noun
한,한,한,Josa
기술,기술,기술,Noun
적,적,적,Suffix
",",",",",",Punctuation
관리,관리,관리,Noun
적,적,적,Suffix
대책,대책,대책,Noun
10,10,10,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
관리,관리,관리,Noun
책임자,책임자,책임자,Noun
1,1,1,Number
.,.,.,Punctuation
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
수집,수집,수집,Noun
방법,방법,방법,Noun
1,1,1,Number
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
별도,별도,별도,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
통해,통해,통해,Noun
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
하고,하고,하고,Josa
있지,있지,있다,Adjective
않습니다,않습니다,않다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
과정,과정,과정,Noun
아래,아래,아래,Noun
같은,같은,같다,Adjective
정보,정보,정보,Noun
자동,자동,자동,Noun
생,생,생,Noun
성,성,성,Suffix
되어,되어,되어다,Verb
수집,수집,수집,Noun
될,될,되다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
IP,IP,IP,Alpha
주소,주소,주소,Noun
",",",",",",Punctuation
쿠키,쿠키,쿠키,Noun
",",",",",",Punctuation
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
기록,기록,기록,Noun
",",",",",",Punctuation
기기,기기,기기,Noun
정보,정보,정보,Noun
3,3,3,Number
.,.,.,Punctuation
이벤트,이벤트,이벤트,Noun
진행,진행,진행,Noun
시,시,시,Noun
해당,해당,해당,Noun
서비스,서비스,서비스,Noun
이용자,이용자,이용자,Noun
한해,한해,한해,Noun
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
발생,발생,발생,Noun
할,할,하다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
추가,추가,추가,Noun
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
할,할,하다,Verb
경우,경우,경우,Noun
에는,에는,에는,Josa
해당,해당,해당,Noun
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
시점,시점,시점,Noun
이용자,이용자,이용자,Noun
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
",",",",",",Punctuation
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
목적,목적,목적,Noun
",",",",",",Punctuation
개인정보,개인정보,개인정보,Noun
보관,보관,보관,Noun
기간,기간,기간,Noun
대해,대해,대해,Noun
안내,안내,안내,Noun
드리고,드리고,드리다,Verb
동의,동의,동의,Noun
받습니다,받습니다,받다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
목적,목적,목적,Noun
1,1,1,Number
.,.,.,Punctuation
보안,보안,보안,Noun
원활한,원활한,원활하다,Adjective
서비스,서비스,서비스,Noun
환경,환경,환경,Noun
구축,구축,구축,Noun
위해,위해,위해,Noun
개인정보,개인정보,개인정보,Noun
이용,이용,이용,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
이벤트,이벤트,이벤트,Noun
정보,정보,정보,Noun
