surface,normalized,dictionary,pos
부동산,부동산,부동산,Noun
부동산,부동산,부동산,Noun
정책,정책,정책,Noun
이데일리,이데일리,이데일리,Noun
메인,메인,메인,Noun
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
컨텐츠,컨텐츠,컨텐츠,Noun
바로가기,바로가기,바로가기,Noun
닫기,닫기,닫다,Verb
실시간,실시간,실시간,Noun
뉴스,뉴스,뉴스,Noun
한화,한화,한화,Noun
이글스,이글스,이글스,Noun
",",",",",",Punctuation
당진,당진,당진,Noun
9988,9988,9988,Number
병원,병원,병원,Noun
업무,업무,업무,Noun
협약,협약,협약,Noun
프로필,프로필,프로필,Noun
대법관,대법관,대법관,Noun
후보,후보,후보,Noun
숙연,숙연,숙연,Noun
고법,고법,고법,Noun
판사,판사,판사,Noun
법원,법원,법원,Noun
내,내,내,Noun
AI,AI,AI,Alpha
전문가,전문가,전문가,Noun
마,마,마,Noun
스턴,스턴,스턴,Noun
투자,투자,투자,Noun
운용,운용,운용,Noun
",",",",",",Punctuation
글로벌,글로벌,글로벌,Noun
사모,사모,사모,Noun
대출,대출,대출,Noun
컨퍼런스,컨퍼런스,컨퍼런스,Noun
토론,토론,토론,Noun
연사,연사,연사,Noun
참석,참석,참석,Noun
프로필,프로필,프로필,Noun
대법관,대법관,대법관,Noun
후보,후보,후보,Noun
박영재,박영재,박영재,Noun
부장,부장,부장,Noun
판사,판사,판사,Noun
능력,능력,능력,Noun
갖춘,갖춘,갖추다,Verb
법관,법관,법관,Noun
단독,단독,단독,Noun
KT,KT,KT,Alpha
",",",",",",Punctuation
신,신,신,Modifier
사업,사업,사업,Noun
기술,기술,기술,Noun
조,조,조,Modifier
직구,직구,직구,Noun
성,성,성,Suffix
변화,변화,변화,Noun
감지,감지,감지,Noun
AI,AI,AI,Alpha
사업,사업,사업,Noun
본부,본부,본부,Noun
수장,수장,수장,Noun
바뀌어,바뀌어,바뀌다,Verb
우주,우주,우주,Noun
중점,중점,중점,Noun
투자,투자,투자,Noun
국가,국가,국가,Noun
R,R,R,Alpha
D,D,D,Alpha
예산,예산,예산,Noun
24.8조원,24.8조원,24.8조원,Number
원상,원상,원상,Noun
복구,복구,복구,Noun
알짜,알짜,알짜,Noun
배기,배기,배기,Noun
땅,땅,땅,Noun
성수동,성수동,성수동,Noun
표,표,표,Noun
부지,부지,부지,Noun
개발,개발,개발,Noun
진척,진척,진척,Noun
사전,사전,사전,Noun
협상,협상,협상,Noun
",",",",",",Punctuation
7월,7월,7월,Number
경,경,경,Foreign
끝난다,끝난다,끝나다,Verb
마켓,마켓,마켓,Noun
인,인,인,Josa
갈길,갈길,갈다,Verb
먼,먼,멀다,Adjective
STO,STO,STO,Alpha
법,법,법,Noun
제화,제화,제화,Noun
앞서가는,앞서가는,앞서다,Verb
해외,해외,해외,Noun
상황,상황,상황,Noun
은,은,은,Josa
경찰,경찰,경찰,Noun
",",",",",",Punctuation
김하성,김하성,김하성,Noun
공갈,공갈,공갈,Noun
임혜동,임혜동,임혜동,Noun
구속영장,구속영장,구속영장,Noun
재,재,재,Noun
신청,신청,신청,Noun
보완,보완,보완,Noun
수사,수사,수사,Noun
거쳐,거쳐,거치다,Verb
”,”,”,Foreign
전문가,전문가,전문가,Noun
",",",",",",Punctuation
상속세,상속세,상속세,Noun
",",",",",",Punctuation
OECD,OECD,OECD,Alpha
평균,평균,평균,Noun
25%,25%,25%,Number
낮춰야,낮춰야,낮추다,Verb
종부세,종부세,종부세,Noun
폐지,폐지,폐지,Noun
VS,VS,VS,Alpha
완화,완화,완화,Noun
팽팽,팽팽,팽팽,Noun
구독,구독,구독,Noun
지면,지면,지면,Noun
My,My,My,Alpha
초판,초판,초판,Noun
로그인,로그인,로그인,Noun
로그아웃,로그아웃,로그아웃,Noun
NAVER,NAVER,NAVER,Alpha
FACEBOOK,FACEBOOK,FACEBOOK,Alpha
TWITTER,TWITTER,TWITTER,Alpha
YOUTUBE,YOUTUBE,YOUTUBE,Alpha
RSS,RSS,RSS,Alpha
EMAIL,EMAIL,EMAIL,Alpha
이데일리,이데일리,이데일리,Noun
이데일리,이데일리,이데일리,Noun
2024년,2024년,2024년,Number
06월,06월,06월,Number
27일,27일,27일,Number
목요일,목요일,목요일,Noun
실시간,실시간,실시간,Noun
뉴스,뉴스,뉴스,Noun
한화,한화,한화,Noun
이글스,이글스,이글스,Noun
",",",",",",Punctuation
당진,당진,당진,Noun
9988,9988,9988,Number
병원,병원,병원,Noun
업무,업무,업무,Noun
협약,협약,협약,Noun
프로필,프로필,프로필,Noun
대법관,대법관,대법관,Noun
